walk_2_2,NAME:,,
08/06/2023 10:46,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
85,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
-9.69,-1.92,0.73,61.072
-9.69,-1.92,0.73,61.145
-9.69,-1.92,0.73,61.249
-9.69,-1.92,0.73,61.322
-9.69,-1.92,0.73,61.389
-9.69,-1.92,0.73,61.491
-9.69,-1.92,0.73,61.599
-9.69,-1.92,0.73,61.671
-10.23,-1.84,0.76,61.739
-9.78,-1.22,1.29,61.81
-9.74,-0.9,1.94,61.88
-9.74,-0.9,1.94,61.994
-9.74,-0.9,1.94,62.061
-9.74,-0.9,1.94,62.136
-9.74,-0.9,1.94,62.206
-9.74,-0.9,1.94,62.278
-9.74,-0.9,1.94,62.389
-9.74,-0.9,1.94,62.461
-10.09,-0.33,1.86,62.533
-10.3,-0.67,1.31,62.64
-10.59,-0.25,0.51,62.705
-10.59,-0.25,0.51,62.775
-10.59,-0.25,0.51,62.848
-10.59,-0.25,0.51,62.958
-10.59,-0.25,0.51,63.036
