"NAME:","run_5_1"
"EXPERIMENT TIME:","Thu Jun 01 21:51:35 GMT+03:00 2023"
"ACTIVITY TYPE:","Running"
"COUNTS OF ACTUAL STEPS:","133"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"8.816427008","-16.67","2.00","-9.30"
"8.917090304","-1.73","-0.04","1.33"
"8.992587776","-2.55","-1.10","1.45"
"9.076473856","-0.86","2.12","-1.22"
"9.151971328","-19.93","-1.41","-6.75"
"9.235857408000001","-20.01","6.47","-8.98"
"9.311354880000001","-11.81","0.55","-6.55"
"9.403629568000001","4.63","1.92","-0.51"
"9.462349824","-2.71","-2.98","-1.61"
"9.571401728000001","-7.61","-2.00","-2.12"
"9.638510592000001","-20.01","2.63","-9.57"
"9.705619456","-20.01","2.31","-10.32"
"9.797894144","-8.51","2.24","-2.82"
"9.873391616000001","-1.26","0.00","0.59"
"9.957277696","1.18","1.33","-2.31"
"10.041163776000001","-11.49","-0.67","-9.69"
"10.133438464000001","-20.01","4.75","-4.79"
"10.653532160000001","-19.97","1.22","-7.14"
"11.156848640000002","-2.79","1.22","-1.06-0.43"
"11.173625856000001","-4.24","0.27","-1.57"
"11.207180288","-16.12","6.28","-14.16"
"11.215568896","-20.01","2.86","-8.94"
"11.232346112","-11.34","0.31","-7.88"
"11.249123328000001","1.65","-1.77","2.67"
"11.257511936","0.20","4.75","-2.43"
"11.265900544","-5.06","-1.26","-4.51"
"11.274289152000001","-20.01","-1.26","-8.20"
"11.291066368000001","-20.01","3.06","-7.53"
"11.299454976","-4.43","1.29","-4.16"
"11.333009408","2.71","0.71","0.27"
"11.374952448","-4.86","-2.00","-1.69"
"11.416895488000002","-13.93","-0.59","-0.86"
"11.500781568","-20.01","1.80","-8.39"
"11.584667648","-20.01","5.41","-9.61"
"11.651776512000001","-5.69","-0.08","-3.02"
"11.735662592","-1.37","0.55","-1.14"
"11.82793728","-1.06","0.94","-0.67"
"11.903434752","-17.57","-1.61","-11.53"
"11.978932224000001","-18.67","3.14","-11.06"
"12.062818304","-16.67","2.47","-5.92"
"12.1634816","-1.69","-1.84","0.31"
"12.238979072000001","0.08","1.45","-1.14"
"12.306087936","-4.47","-0.90","-2.47"
"12.381585408000001","-18.36","3.96","-9.41"
"12.473860096000001","-20.01","2.20","-12.00"
"12.557746176","-8.90","2.20","-4.04"
"12.633243648","0.63","-2.08","0.78"
"12.717129728000002","-0.24","0.16","-1.92"
"12.801015808","-6.35","-1.14","-8.39"
"12.876513280000001","-19.46","-5.77","-12.16"
"12.968787968","-20.01","5.30","-10.24"
"13.052674048","-4.28","0.00","-2.59"
"13.119782912000002","0.86","3.30","0.24"
"13.212057600000001","-4.28","-1.18","-3.22"
"13.287555072","-13.81","0.82","-12.40"
"13.371441152000001","-20.01","-4.04","-11.49"
"13.446938624000001","-11.34","1.10","-6.24"
"13.530824704","0.24","-0.43","1.22"
"13.614710784000001","-0.20","0.04","-2.28"
"13.690208256","-4.47","3.26","-4.28"
"13.765705728","-20.01","4.08","-10.20"
"13.849591808000001","-20.01","3.65","-7.88"
"13.933477888","-3.61","0.16","-2.59"
"14.034141184000001","-0.63","0.47","-1.53"
"14.118027264","-1.49","-1.41","-3.37"
"14.176747520000001","-19.93","10.67","-1.26"
"14.243856384","-19.18","-2.04","-11.14"
"14.352908288","-16.79","0.71","-7.34"
"14.436794368000001","-0.16","1.14","-1.65"
"14.529069056","-2.12","1.26","-0.63"
"14.604566528000001","-2.20","1.88","-4.47"
"14.663286784","-18.79","-4.86","-8.32"
"14.738784256","-20.01","4.90","-9.73"
"14.822670336000002","-10.63","0.63","-5.33"
"14.898167808","3.69","0.20","2.39"
"14.982053888000001","-2.75","-1.29","-5.49"
"15.057551360000001","-12.67","-2.82","-7.81"
"15.133048832","-20.01","3.77","-8.59"
"15.242100736000001","-17.93","4.71","-7.41"
"15.342764032000002","-0.86","-0.16","-1.22"
"15.418261504","-2.86","1.45","-2.04"
"15.485370368000002","-2.08","0.59","-1.26"
"15.577645056000001","-18.63","2.55","-14.95"
"15.661531136","-20.01","3.92","-5.41"
"15.737028608000001","-8.98","-0.16","-5.22"
"15.804137472","1.77","3.10","0.27"
"15.879634944000001","-1.53","-3.73","-2.47"
"15.946743808","-14.59","1.41","-7.77"
"16.047407104","-20.01","4.47","-12.51"
"16.139681792","-18.48","4.39","-9.22"
"16.65138688","-2.43","-1.18","-1.29"
"16.659775488","-0.47","-0.16","-1.65"
"16.701718528","-1.53","1.02","-1.96"
"16.710107136","-20.01","1.45","-4.94"
"16.718495744000002","-19.69","1.14","-8.51"
"16.726884352000003","-12.75","1.18","-6.79"
"16.743661568","0.16","-0.04","0.82"
"16.802381824","-1.10","-0.71","-2.43"
"16.852713472","-3.65","-2.51","-4.86"
"16.94498816","-19.46","5.06","-9.06"
"17.020485632","-20.01","4.00","-9.10"
