NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,06/06/2023 13:47,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,70,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
1187.56,-0.5100002,-2.2,0.04
1187.62,-0.22999954,-2.28,0.12
1187.67,-0.39000034,-2.12,0
1187.72,-0.4300003,-2.12,0.12
1187.77,-0.47000027,-2.16,0.08
1187.82,-0.5100002,-2.28,0.24
1187.87,-0.4300003,-2.24,0.12
1187.92,-0.4300003,-2.24,0.16
1187.97,-0.4300003,-2.24,0.08
1188.03,-0.4300003,-2.24,0.12
1188.07,-0.39000034,-2.24,0.04
1188.13,-0.35000038,-2.28,0.16
1188.18,-0.47000027,-2.12,0.12
1188.23,-0.35000038,-2.2,0.12
1188.28,-0.47000027,-2.28,0.08
1188.33,-0.47000027,-2.2,0.12
1188.38,-0.47000027,-2.31,0.16
1188.43,-0.5100002,-2.31,0.27
1188.48,-0.47000027,-2.31,0.31
1188.53,-0.47000027,-2.28,0.24
1188.58,-0.47000027,-2.28,0.27
1188.64,-0.47000027,-2.24,0.12
1188.69,-0.39000034,-2.28,0.16
1188.74,-0.5100002,-2.24,0.08
1188.79,-0.39000034,-2.16,0.16
1188.84,-0.47000027,-2.2,0.12
1188.89,-0.47000027,-2.16,0.12
1188.94,-0.31000042,-2.39,0.16
1189.2,-0.5500002,-2.47,0.39
1189.25,-0.59000015,-2.31,0.31
1189.3,-0.4300003,-2.16,0.12
1189.71,-0.5100002,-2.28,-0.24
1189.76,-0.22999954,-2.24,-0.24
1189.81,-0.5100002,-1.92,-0.43
1189.86,-0.14999962,-2,-0.35
1189.91,-0.27000046,-2.04,-0.12
1189.96,-0.18999958,-1.88,0.31
1190.02,-0.59000015,-2.04,0.47
1190.07,-0.8199997,-2.16,0.43
1190.22,-0.4300003,-1.45,-0.08
1190.27,-0.35000038,-1.77,0.31
1190.32,-0.35000038,-1.96,0.94
1190.37,0.119999886,-1.77,0.51
1190.53,-0.10999966,-0.98,2.43
1190.58,-1.8800001,-1.92,2.82
1190.63,-1.6099997,-2.39,3.69
1190.68,-1.7600002,-0.98,3.41
1190.73,-2.23,-2.28,4.51
1190.78,-2.15,-0.04,4.43
1190.83,-2.3899999,-0.16,4.86
1190.88,-2.19,-1.57,4.55
1190.93,-2.9,0.27,3.69
1190.98,-3.37,-0.67,5.14
1191.04,-3.5700002,0.43,5.33
1191.09,-2.3899999,0.63,5.14
1191.14,-2.5500002,1.53,6.12
