NAME:run_1_1.csv,,,,
EXPIRAMENT TIME:,Thu Jun 08 14:09:07 GMT+03:00 2023,,,
ACTIVITY TYPE:,Run,,,
COUNT OF ACTUAL STEPS::,140,,,
,,,,
TIME,ACCX,ACCY,ACCZ,
0,10.47,-2.08,-1.73,421
0.01,12.43,2.2,-6.51,422
0.02,12.55,-9.1,0,423
0.03,19.18,-2.98,-6.9,424
0.04,9.38,-4.86,4,425
0.05,4.9,-0.9,-1.37,426
0.06,10.87,-2.98,2,427
0.07,20.01,-10.51,6.67,428
0.08,11.61,-2.2,4.12,429
0.09,1.53,-14.16,4.94,430
0.1,15.77,-8.39,0.59,431
0.11,20.01,-5.33,-5.49,432
0.12,9.45,-3.26,2.35,433
0.13,2.39,-1.57,-1.69,434
0.14,9.06,-3.18,-0.94,435
0.15,14.79,3.02,1.02,436
0.16,2,-1.29,-2.51,437
0.17,-5.57,0.71,3.84,438
0.18,9.53,-8.36,17.3,439
0.19,16.79,0.63,3.96,440
0.2,16.36,-4.75,4,441
0.21,2.9,-1.18,-0.71,442
0.22,7.34,-2.2,1.53,443
0.23,14.32,-6.12,3.73,444
0.24,13.34,0.51,-1.33,445
0.25,6.63,-5.84,2.94,446
0.26,2.55,-6.71,-3.37,447
0.27,20.01,-2.71,12,448
0.28,16.71,-5.73,4,449
0.29,12.75,-0.75,-4.47,450
0.3,5.57,-1.96,4.75,451
0.31,1.53,-3.26,-2.2,452
0.32,9.49,0.67,-5.65,453
0.33,13.85,3.65,-4.39,454
0.34,12.12,-4.28,-7.81,455
0.35,13.73,2.28,-6.32,456
0.36,5.22,-0.27,-2.9,457
0.37,1.29,-1.29,6.47,458
0.38,4.39,-0.31,0.12,459
0.39,14.44,-7.18,-8.9,460
0.4,13.96,1.06,1.22,461
0.41,15.34,-0.75,-8.16,462
0.42,3.84,0.98,6.47,463
0.43,4.16,-0.78,1.1,464
0.44,9.34,9.53,-7.96,465
0.45,12.2,-0.43,5.41,466
0.46,18.71,0.16,1.61,467
0.47,9.41,1.53,4.98,468
0.48,5.77,2.79,-3.88,469
0.49,3.41,-11.18,-1.33,470
0.5,11.69,-12.75,11.45,471
0.51,10.83,-0.43,5.41,472
0.52,16.28,-5.69,6.39,473
0.53,4.71,-0.98,0.82,474
0.54,-0.47,-4.2,4.2,475
0.55,2.2,0.27,-3.57,476
0.56,11.18,-2.55,-1.61,477
0.57,15.93,-2.08,1.26,478
0.58,13.18,2.12,-0.82,479
0.59,13.22,-2.47,5.14,480
0.6,2.55,0.78,-0.35,481
0.61,-0.12,0,2.51,482
0.62,13.02,8.75,-3.06,483
0.63,8.79,-6,3.53,484
0.64,20.01,-7.81,2.39,485
0.65,6,-0.35,4.12,486
0.66,2.35,-3.37,2.98,487
0.67,12.67,-10.28,5.26,488
0.68,13.57,-9.61,2.86,489
0.69,20.01,1.26,2.28,490
0.7,14.55,-1.96,-1.37,491
0.71,11.02,-0.47,-0.71,492
0.72,5.3,0.12,0.24,493
0.73,-2.67,2.55,0.51,494
0.74,4.98,-4.08,2.55,495
0.75,12.55,-0.24,5.1,496
0.76,15.77,-2.2,2.55,497
0.77,6.86,-4.2,-0.04,498
0.78,-1.53,-1.96,4.79,499
0.79,9.41,2.35,0.31,500
0.8,8.43,-0.39,6.35,501
0.81,11.49,1.26,0.39,502
0.82,12.63,1.73,-0.27,503
0.83,8.32,-2.43,3.88,504
0.84,6.35,-1.14,-0.43,505
0.85,-0.71,-0.51,3.26,506
0.86,-2.08,-6.86,-3.57,507
0.87,16.67,-6.9,-4.86,508
0.88,20.01,-5.26,3.88,509
0.89,15.57,2.63,4.98,510
0.9,19.42,-1.69,4.2,511
0.91,9.49,2.79,1.92,512
0.92,11.57,-1.18,3.1,513
0.93,1.65,-0.59,2.71,514
0.94,0.08,0.47,3.8,515
0.95,5.26,-2.31,0.35,516
0.96,-0.31,-0.04,1.45,517
0.97,0.12,0.67,-0.55,518
0.98,0.71,-7.77,2.71,519
0.99,7.1,-3.8,-0.43,520
1,9.89,-2.98,-5.88,521
1.01,16.16,-3.61,0.67,522
1.02,12.94,3.33,1.33,523
1.03,18.51,-2.59,5.18,524
1.04,12.04,0.78,-0.86,525
1.05,2.79,3.14,4.82,526
1.06,1.22,-2.59,0.51,527
1.07,-0.71,1.53,0.55,528
1.08,12.71,0.94,4.31,529
1.09,20.01,-4.2,10.32,530
1.1,12.59,-3.73,8.39,531
1.11,20.01,-2.67,4.55,532
1.12,19.73,-3.18,5.73,533
1.13,9.41,-0.39,1.26,534
1.14,5.14,0.67,4.55,535
1.15,2.98,0.94,1.77,536
1.16,2.51,-1.69,3.61,537
1.17,1.06,-1.06,0.59,538
1.18,3.3,-7.14,0.31,539
1.19,18.16,-1.53,-0.16,540
1.2,12.36,2.55,-1.45,541
1.21,16.67,-1.57,4.47,542
1.22,3.53,0.9,3.41,543
1.23,3.53,2.12,2,544
1.24,7.3,-1.02,1.77,545
1.25,10.36,-1.26,2.51,546
1.26,10.36,-1.06,2.86,547
