NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,06/06/2023 13:44,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,60,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
963.99,-0.31000042,-3.22,-0.12
964.04,-0.7399998,-3.92,-0.27
964.09,-0.65999985,-3.8,0.2
964.14,-0.6999998,-3.3,-0.55
964.19,-0.65999985,-3.37,-0.35
964.24,-0.59000015,-3.1,-0.35
964.29,-0.14999962,-3.1,-0.39
964.34,-0.6199999,-3.26,-0.2
964.39,-0.97999954,-3.45,-0.2
964.45,-0.6999998,-4.04,0.71
964.5,-0.27000046,-2.94,0.67
964.55,-0.4300003,-2.59,0.78
964.6,-0.7399998,-2.47,0.51
964.65,-0.03999996,-1.8,1.1
964.7,-0.5500002,-2.12,1.41
964.75,-1.1300001,-2.51,2.16
964.8,-1.3699999,-1.77,3.1
964.85,-1.5699997,-2.98,3.14
964.9,-1.4099998,-1.96,3.84
964.96,-1.6099997,-1.57,4.24
965.01,-2.23,-1.06,4.43
965.06,-1.8000002,-1.69,4.43
965.11,-2.08,-1.61,4.55
965.16,-2.23,-1.26,4.35
965.21,-2.35,-0.78,4.12
965.26,-2.7399998,-0.51,4.86
965.31,-3.1399999,-0.2,4.31
965.36,-3.25,-0.59,5.53
965.41,-3.21,-1.1,5.41
965.47,-1.8000002,-0.98,5.33
965.52,10.01,-1.61,0.59
965.57,-9.33,1.61,-0.9
965.62,2.08,-8.2,-1.26
965.67,-3.37,-2.2,-0.39
965.72,0.71000004,1.92,0.2
965.77,-2.04,-4.28,-0.24
965.82,-1.1700001,-3.96,-0.9
965.87,-0.5100002,-3.92,0.16
965.92,-1.3699999,-3.26,-0.63
965.97,-1.21,-3.92,-0.2
966.03,-1.5299997,-4.63,0
966.08,-1.4099998,-4.16,0.35
966.13,-0.65999985,-4.98,-0.12
966.18,-0.18999958,-5.02,0.43
966.23,-0.5500002,-6.2,0.31
966.28,0.5500002,-8.55,-6.2
966.33,2.63,1.22,-2.94
966.38,1.7700005,-7.88,2.08
966.43,-3.02,-7.3,0.9
966.48,-1.7200003,-1.41,0.31
966.54,-2.19,-1.61,0.43
966.59,-3.6799998,-1.06,1.57
966.64,-4.12,-1.45,3.02
966.69,-3.8000002,-0.55,3.18
966.74,-2.8600001,-1.26,5.37
