NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,06/06/2023 11:53,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,60,,
,,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
182007,-10.081236,-1.882877,0.666852
182088,-10.04201,-1.725971,0.666852
182169,-10.081236,-1.84365,0.706079
182250,-10.081236,-1.922104,0.666852
182331,-10.120463,-1.96133,0.588399
182412,-9.963557,-1.765197,0.745305
182493,-10.04201,-1.765197,0.666852
182574,-10.15969,-1.84365,0.666852
182655,-10.04201,-1.804424,0.588399
182736,-10.04201,-1.84365,0.666852
182817,-10.15969,-1.725971,0.627626
182898,-10.04201,-1.882877,0.666852
182979,-10.120463,-1.686744,0.627626
183060,-10.081236,-1.647517,0.627626
183141,-10.04201,-1.804424,0.666852
183222,-10.120463,-1.725971,0.470719
183303,-10.04201,-1.765197,0.549172
183384,-10.198917,-1.647517,0.666852
183465,-10.04201,-1.725971,0.706079
183546,-10.04201,-1.765197,0.666852
183627,-10.15969,-1.725971,1.098345
183708,-9.80665,-1.412158,0.588399
183789,-10.473503,-1.490611,0.392266
183870,-10.120463,-1.96133,0.470719
183951,-10.198917,-2.07901,0.549172
184032,-9.218252,-2.118237,0.588399
184113,-9.649744,-1.451384,2.588956
184194,-9.963557,0.666852,2.19669
184275,-8.31604,-0.666852,2.471276
184356,-8.43372,0.078453,2.745862
184437,-8.629852,0.078453,2.588956
184518,-11.650301,-2.549729,4.785645
184599,-12.003341,-1.372931,2.039783
184680,-8.66908,-2.785089,0.156906
184761,-9.885103,-2.235916,0.274586
184842,-9.571291,-2.785089,0.156906
184923,-8.708306,-0.392266,-0.11768
185004,-9.492838,-0.549172,-0.23536
185085,-10.473503,-2.628182,1.019892
185166,-10.15969,0.470719,-1.019892
185247,-15.023788,-4.197247,0.274586
185328,-8.66908,-4.981779,-0.313813
185409,-10.74809,-1.294478,1.608291
185490,-8.943666,-1.176798,0.353039
185571,-7.021562,-0.274586,1.451384
185652,-6.511616,1.019892,2.510503
185733,-14.709976,-4.04034,-2.471276
185814,-13.415498,-0.431493,3.844207
185895,-11.375715,-3.961887,1.529837
185976,-8.629852,-1.96133,-0.509946
186057,-10.27737,-3.412714,0.470719
186138,-7.609961,-0.862985,-0.196133
186219,-10.355823,-1.098345,-0.156906
186300,-8.943666,-1.294478,1.216025
186381,-11.493395,1.176798,-0.902212
186462,-14.082351,-2.588956,-0.862985
186543,-11.179583,-4.981779,0.784532
186624,-11.375715,-0.745305,0.274586
186705,-7.531507,-0.431493,0.980665
186786,-5.805537,-1.137571,2.628182
186867,-6.276257,1.255251,1.294478
186948,-17.651972,-4.707192,3.726527
187029,-13.258593,0.196133,2.235916
187110,-7.374601,-2.706636,0.23536
187191,-8.825986,0.392266,1.333704
187272,-8.825986,-2.392823,-0.156906
187353,-7.570734,-0.862985,0
189931,-11.022676,1.765197,-0.666852
190012,-14.43539,-2.941995,-0.823759
192929,-12.552513,2.745862,1.059118
193010,-7.335374,-3.569621,1.137571
193091,-9.375158,-1.608291,1.098345
193172,-8.629852,-1.529837,0
193253,-8.747532,0,-0.196133
193334,-10.27737,-0.862985,0
193415,-10.551956,-1.019892,0
193496,-14.866882,-2.118237,0.549172
193577,-10.63041,-4.981779,-1.255251
193658,-10.74809,-3.961887,1.255251
193739,-10.002784,-0.23536,0.666852
193820,-5.687858,0.23536,1.372931
193901,-6.590069,0.509946,2.275143
193982,-19.103355,-4.903325,-2.471276
194063,-14.121577,3.373488,2.157463
194144,-12.277926,-7.178468,1.059118
194225,-6.707749,0.392266,-0.196133
194306,-10.787315,-3.098902,-0.078453
194387,-7.766868,-0.980665,-0.078453
194468,-10.04201,-0.353039,-0.11768
194549,-9.296705,-0.706079,1.294478
194630,-10.669636,1.686744,0.039227
194711,-12.827099,-3.608848,-1.882877
194792,-11.767981,-6.354709,1.725971
194873,-11.218808,1.098345,0.392266
194954,-7.413828,-0.156906,1.137571
195035,-6.11935,-0.706079,2.824315
195116,-4.981779,1.372931,0.392266
195197,-16.239815,-3.961887,5.805537
195278,-12.2387,2.353596,0.431493
195359,-8.08068,-4.746419,1.098345
195440,-9.257479,-0.784532,0.392266
195521,-8.747532,-2.510503,-0.313813
195602,-7.963,-0.902212,0.313813
195683,-10.238143,0.23536,-0.196133
195764,-10.865768,-1.412158,0.745305
195845,-13.886217,-1.255251,1.176798
195926,-10.081236,-5.530951,-1.529837
196007,-10.39505,-3.412714,2.000557
196088,-9.80665,0.11768,0.11768
196169,-5.844764,-0.23536,1.137571
196250,-6.982335,0.862985,2.157463
196331,-10.865768,-0.980665,-1.490611
196412,-13.258593,-0.549172,3.177355
196493,-10.708862,-4.511059,0.862985
196574,-8.119907,0.23536,-0.23536
196655,-10.51273,-3.765754,0.745305
196736,-7.492281,-0.902212,-0.078453
196817,-9.414385,-0.862985,-0.196133
196898,-10.081236,-1.372931,1.255251
196979,-10.591183,1.725971,1.059118
197060,-11.218808,-3.177355,-2.31437
197141,-12.513286,-7.766868,2.19669
197222,-9.885103,1.255251,-0.549172
197303,-7.100015,-0.392266,0.823759
197384,-6.393936,-0.823759,2.353596
197465,-5.805537,0.666852,1.098345
197546,-13.258593,-2.157463,5.727084
197627,-12.47406,0.470719,-0.470719
197708,-8.394493,-3.255808,0.196133
197789,-10.002784,-2.471276,1.059118
197870,-7.688414,-2.745862,-0.078453
197951,-8.198359,-0.823759,-0.23536
198032,-10.39505,-1.137571,0.509946
198113,-11.218808,1.098345,-1.412158
200710,-10.27737,2.19669,-1.451384
200791,-5.530951,-0.941438,0.823759
201196,-8.825986,-0.196133,-0.313813
201277,-9.257479,-3.255808,1.019892
201358,-8.002227,-0.509946,-0.196133
201439,-9.139798,-1.216025,-0.353039
201520,-10.04201,-1.451384,1.216025
201601,-11.571848,1.216025,2.235916
201682,-11.179583,-3.098902,-2.235916
201763,-12.670193,-6.158576,1.765197
201844,-10.238143,1.647517,-0.549172
201925,-5.923217,-0.039227,0.666852
202006,-6.040897,-0.274586,2.353596
202087,-6.550843,0.11768,1.686744
202168,-11.807208,-0.784532,5.570178
202249,-13.023232,-0.627626,-0.078453
202330,-7.256921,-1.84365,0.549172
202411,-11.218808,-3.373488,0.588399
202492,-7.531507,-2.432049,-0.11768
202573,-9.139798,-0.823759,0.23536
202654,-9.963557,-1.098345,0.666852
202735,-11.297261,1.922104,-1.216025
202816,-12.748646,-3.020448,-1.176798
202897,-12.709418,-7.727641,1.294478
