run_4_1,NAME:,,
08/06/2023 10:38,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
7.37,-15.32,-1.41,60.911
4.69,-8.62,-1.06,61.007
4.69,-8.62,-1.06,61.106
4.69,-8.62,-1.06,61.21
4.69,-8.62,-1.06,61.221
4.69,-8.62,-1.06,61.324
4.69,-8.62,-1.06,61.429
4.69,-8.62,-1.06,61.527
4.69,-8.62,-1.06,61.625
2.28,-5.28,-0.72,61.636
0.6,-0.61,0.22,61.731
2.54,-0.09,-1.43,61.826
2.54,-0.09,-1.43,61.923
2.54,-0.09,-1.43,62.02
2.54,-0.09,-1.43,62.029
2.54,-0.09,-1.43,62.132
2.54,-0.09,-1.43,62.228
2.54,-0.09,-1.43,62.324
2.54,-0.09,-1.43,62.335
1.44,2.68,-2.28,62.43
3.09,2.97,-3.77,62.519
6.81,-0.77,-2.96,62.616
6.81,-0.77,-2.96,62.714
6.81,-0.77,-2.96,62.814
6.81,-0.77,-2.96,62.914
6.81,-0.77,-2.96,62.924
6.81,-0.77,-2.96,63.016
6.81,-0.77,-2.96,63.114
6.81,-0.77,-2.96,63.211
7.64,-0.95,-4.48,63.311
6.58,-9.07,-7.07,63.321
7.85,-13.21,-8.12,63.421
7.85,-13.21,-8.12,63.517
7.85,-13.21,-8.12,63.62
7.85,-13.21,-8.12,63.72
7.85,-13.21,-8.12,63.816
7.85,-13.21,-8.12,63.826
7.85,-13.21,-8.12,63.922
7.85,-13.21,-8.12,64.019
7.51,-14.55,-7.68,64.12
8.62,-11.4,-4.25,64.219
4.28,-6.81,-4.17,64.231
4.28,-6.81,-4.17,64.33
4.28,-6.81,-4.17,64.432
4.28,-6.81,-4.17,64.535
4.28,-6.81,-4.17,64.545
4.28,-6.81,-4.17,64.648
4.28,-6.81,-4.17,64.751
4.28,-6.81,-4.17,64.859
6.51,-7.78,-2.72,64.869
7.95,-5.66,-2.39,64.97
