run_4_1,NAME:,,
08/06/2023 10:38,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
6.96,-11.9,-1.79,14.063
6.96,-11.9,-1.79,14.138
6.96,-11.9,-1.79,14.208
6.96,-11.9,-1.79,14.285
6.96,-11.9,-1.79,14.358
6.96,-11.9,-1.79,14.43
6.96,-11.9,-1.79,14.551
4.29,-15.15,-4.16,14.625
4.54,-12.72,-2.99,14.7
3.02,-10.33,-5.41,14.815
3.02,-10.33,-5.41,14.822
3.02,-10.33,-5.41,14.94
3.02,-10.33,-5.41,15.01
3.02,-10.33,-5.41,15.086
3.02,-10.33,-5.41,15.203
3.02,-10.33,-5.41,15.211
3.02,-10.33,-5.41,15.327
4.04,-6.72,-1.94,15.443
3.5,-2.04,-4.13,15.518
3.47,-1.4,-2.22,15.592
3.47,-1.4,-2.22,15.666
3.47,-1.4,-2.22,15.747
3.47,-1.4,-2.22,15.823
3.47,-1.4,-2.22,15.899
3.47,-1.4,-2.22,16.015
3.47,-1.4,-2.22,16.089
3.47,-1.4,-2.22,16.165
1.69,1.61,-4.18,16.24
1.06,2.31,-3.01,16.317
3.6,-4.65,-1.27,16.39
3.6,-4.65,-1.27,16.505
3.6,-4.65,-1.27,16.586
3.6,-4.65,-1.27,16.659
3.6,-4.65,-1.27,16.737
3.6,-4.65,-1.27,16.81
3.6,-4.65,-1.27,16.885
3.6,-4.65,-1.27,17.01
2.85,-4.01,-0.1,17.017
6.43,-11.83,1.63,17.136
4.17,-11.24,1.19,17.214
4.17,-11.24,1.19,17.288
4.17,-11.24,1.19,17.363
4.17,-11.24,1.19,17.481
4.17,-11.24,1.19,17.55
4.17,-11.24,1.19,17.621
4.17,-11.24,1.19,17.699
4.17,-11.24,1.19,17.819
9.6,-15.89,-1.29,17.827
7.37,-14.46,-1.63,17.945
5.4,-8.08,-1.66,18.024
