NAME:,walk_5_2.csv,,
EXPERIMENT TIME:,7/6/2023 21:46,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
643.79,10.08,-0.67,5.73
643.88,9.92,-0.78,5.77
643.97,10,-0.78,5.69
644.06,9.85,-0.75,5.53
644.15,9.96,-0.63,5.61
644.24,9.96,-0.43,5.53
644.33,10,-0.63,5.53
644.42,10.04,-0.59,5.53
644.52,10.04,-0.47,5.49
644.61,9.96,-0.47,5.33
644.7,10.04,-0.55,5.45
644.79,9.96,-0.43,5.57
644.88,10.08,-0.47,5.73
644.97,9.96,-0.55,5.61
645.06,9.85,-0.78,5.49
645.15,10.04,-0.31,5.84
645.24,9.89,-0.47,5.69
645.34,9.96,-0.71,5.65
645.43,9.92,-0.67,5.65
645.52,10.2,-0.39,5.65
645.61,10.2,-0.08,5.57
645.7,12.87,0.78,8.47
645.79,10.47,0.75,2.47
645.88,10.63,0.94,1.33
645.97,9.65,2,0.27
646.06,9.1,1.96,-0.16
646.15,10.63,2.24,-1.53
646.25,13.22,1.37,-0.51
646.34,12.43,-1.57,0.39
646.43,8.63,2.2,6.98
646.52,7.41,0.94,6.43
646.61,7.81,2.67,6.51
646.7,7.61,0,4.86
646.79,12.47,1.29,11.38
646.88,9.34,-4.9,8.94
646.97,10.9,-1.77,5.57
647.06,-7.69,20.01,-20.01
647.15,5.02,0.9,2.47
647.25,13.18,2.86,-2.51
647.34,12.67,-1.1,-0.59
647.43,8.67,-2.2,3.84
647.52,11.81,3.37,3.49
647.61,4.12,-1.41,7.77
647.7,5.57,6.12,4.12
647.79,12.16,1.92,8.71
647.88,11.26,-2.75,16.75
647.97,10.9,-4.31,5.77
648.07,7.88,-0.31,8.2
648.16,7.14,-0.59,2.2
648.25,9.34,2.31,-2.08
648.34,10.83,-0.51,-1.37
648.43,9.81,-2.28,1.88
648.52,11.53,2.12,5.73
648.61,3.61,-0.78,6.2
648.7,5.57,-0.43,7.49
648.79,9.49,1.88,8.87
648.88,10.16,-1.73,12.24
648.97,9.06,-4.63,5.84
649.07,11.81,2.24,7.26
649.16,7.61,0.43,1.57
649.25,6.35,1.92,-2.24
649.34,19.93,5.69,0.82
649.43,20.01,12.47,5.49
649.52,0.47,7.49,6.86
649.61,5.69,-1.41,1.73
649.7,8.94,1.88,8.32
649.79,10.28,1.02,6.04
649.88,12.2,2.75,8.75
649.98,10.08,-4.55,7.65
650.07,13.1,-1.06,2
650.16,10.75,-3.3,0.86
650.25,5.96,0.43,1.02
650.34,15.93,4.82,-2.24
650.43,20.01,-1.92,2.86
650.52,8.39,-1.1,6.83
650.61,7.41,-1.77,1.26
650.7,6.9,0.94,7.18
650.79,9.69,0.39,8.08
650.89,10.83,2.63,8.87
650.98,13.42,-3.92,11.92
651.07,12.63,-2,3.77
651.16,5.26,1.8,3.18
651.25,-1.29,-7.3,-0.63
651.34,10.55,-2.67,-1.41
651.43,16.4,2.63,-1.57
651.52,6.32,-3.57,-1.1
651.61,9.81,0.63,6.86
651.71,9.02,1.06,4.43
651.8,5.26,-0.24,6.98
651.89,10.32,1.22,8.36
651.98,15.73,-1.73,14.28
652.07,10.36,-5.73,2.75
652.16,7.45,1.06,6.51
652.25,3.45,-1.57,1.73
652.34,9.73,3.02,0.2
652.43,13.65,6.79,-5.53
652.52,19.81,-1.33,3.41
652.62,16.2,-11.45,11.69
652.71,5.37,3.33,2.47
652.8,4.86,2.24,6
652.89,10.87,0.39,9.96
652.98,9.18,-1.26,13.65
653.07,9.57,-5.53,4.2
653.16,11.77,0.39,9.85
653.25,8.47,0.63,5.22
653.34,7.14,1.88,-0.63
653.43,17.65,2.04,3.69
653.52,20.01,-2.2,1.73
653.62,-0.71,0.39,6.2
653.71,3.06,2.12,1.96
653.8,5.22,1.41,6.71
653.89,10.36,0.71,7.37
653.98,12.91,2.35,10.51
654.07,11.06,-7.49,6.55
654.16,12.4,-3.45,2.9
654.25,7.81,-15.34,10.04
654.34,5.14,1.1,-0.04
654.43,15.18,-0.08,0.82
654.53,10.51,-3.14,-3.18
654.62,8.47,-2.28,2.31
654.71,9.89,0.71,3.33
654.8,7.18,-0.55,6
