NAME:,walk_1_1.csv,,
EXPERIMENT TIME:,06/06/2023 13:43,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,52,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
899.77,-0.85999966,-2.79,1.33
899.82,-0.85999966,-2.59,1.18
899.87,-0.7399998,-2.59,1.22
899.92,-0.59000015,-2.63,1.57
899.97,-0.7399998,-2.55,1.33
900.02,-0.6999998,-2.51,1.29
900.07,-0.7399998,-2.55,1.18
900.13,-0.7399998,-2.79,1.26
900.18,-0.6999998,-2.59,1.41
900.23,-0.8199997,-2.86,1.33
900.28,-0.85999966,-2.75,1.29
900.33,-0.77999973,-2.86,1.26
900.38,-0.77999973,-2.67,1.22
900.43,-0.6999998,-2.82,1.41
900.48,-0.85999966,-2.67,1.37
900.53,-0.7399998,-2.79,1.29
900.58,-0.8199997,-2.55,1.41
900.64,-0.8199997,-2.82,1.37
900.69,-0.6999998,-2.79,1.29
900.74,-0.85999966,-2.75,1.26
900.79,-0.7399998,-2.82,1.26
900.84,-0.77999973,-2.86,1.26
900.89,-0.7399998,-2.75,1.29
900.94,-0.7399998,-2.71,1.33
900.99,-0.8199997,-2.59,1.41
901.04,-0.77999973,-2.9,1.1
901.09,-0.97999954,-2.94,1.65
901.15,-0.5500002,-2.79,1.37
901.2,-1.1000004,-2.86,1.29
901.25,-0.7399998,-2.75,1.18
901.3,-0.77999973,-2.67,0.94
901.35,-0.77999973,-2.71,1.41
901.4,-0.8999996,-3.14,1.69
901.45,-0.9399996,-2.9,1.61
901.5,-0.8999996,-2.86,1.41
901.55,-0.77999973,-2.71,1.84
901.86,-1.1700001,-2.51,2.08
902.47,-2.8200002,-0.08,4.98
902.52,-3.92,-0.12,4.67
902.57,-2.5500002,0.2,4.2
902.62,-1.25,0.75,4.63
902.68,-2.4299998,1.45,5.84
902.73,0.47000027,-3.65,4.31
902.78,10.01,-0.31,1.49
902.83,-10.86,-1.45,-1.84
902.88,1.2200003,-5.02,1.1
902.93,-0.85999966,-4.71,-2
902.98,-2.5900002,-2.67,0.86
903.03,-1.4899998,-4.98,1.37
903.08,-1.21,-2.39,-1.02
903.14,-1.3699999,-3.84,-0.35
903.19,-1.3699999,-4.47,0.08
903.24,-1.7600002,-3.92,0.43
903.29,-1.21,-3.06,0.43
903.34,-1.6800003,-5.57,-0.35
903.39,-0.27000046,-5.33,1.8
903.44,4.63,-8.04,-3.22
903.49,2.3199997,1.14,-6.59
903.54,-0.31000042,-2.12,0.55
903.59,0.39999962,-8,2
903.65,-6.4300003,-4.04,0.51
903.7,-2.8600001,-2.47,1.06
903.75,-1.8000002,-0.59,1.33
903.8,-2.08,-0.94,2.75
903.85,-5.53,-1.45,4
903.9,-4.47,-0.35,4.86
903.95,0.47000027,-5.37,6.79
904,0.5500002,-0.63,12.51
904.05,0.19999981,-1.06,-1.65
904.1,10.01,-4.08,0.67
904.16,-9.1,-2.51,-4.31
904.21,4.4700003,-5.81,-1.69
904.26,-5.33,-3.18,0.04
904.31,0.27999973,-5.26,2.94
904.36,-1.9200001,-4.47,1.65
904.41,-2.35,-4.43,1.14
904.46,-1.6099997,-3.65,-0.31
904.51,-1.4099998,-3.33,-0.12
904.56,-1.5299997,-4.9,0
904.61,0.35999966,-5.26,1.29
904.66,-0.27000046,-6.08,0.04
