"NAME:","matan w 3"
"EXPERIMENT TIME:","Thu Jun 01 12:00:05 GMT+03:00 2023"
"ACTIVITY TYPE:","Walking"
"COUNTS OF ACTUAL STEPS:","110"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"11.987320832","6.00","-1.92","-2.557.77"
"11.99570944","9.02","-1.14","-3.4915.61"
"12.020875264","10.28","-4.08","-1.45"
"12.079595520000002","12.32","-6.16","-4.82"
"12.1634816","7.77","-1.80","-4.98"
"12.24736768","8.71","-3.33","-4.98"
"12.331253760000001","10.04","-4.31","-3.30"
"12.41513984","6.94","-0.94","-1.96"
"12.499025920000001","7.45","-2.47","-1.65"
"12.599689216000002","7.81","-1.77","-3.73"
"12.666798080000001","16.40","-3.30","-7.73"
"12.733906944000001","10.04","-2.24","-4.31"
"12.876513280000001","4.31","-2.86","-5.10"
"12.901679104000001","10.20","-0.47","-4.28"
"12.985565184","7.81","-1.61","-3.33"
"13.069451264000001","6.24","-2.55","-2.31"
"13.153337344","7.49","-3.49","-0.78"
"13.220446208","6.98","-4.35","-1.80"
"13.304332288000001","11.53","-4.67","-4.71"
"13.388218368","6.98","-3.14","-5.81"
"13.480493056","7.65","-1.41","-4.12"
"13.54760192","9.10","-4.55","-2.59"
"13.614710784000001","6.79","-1.65","-2.35"
"13.765705728","8.32","-2.86","-2.43"
"13.832814592","7.65","-1.14","-2.90"
"13.866369024","14.24","-0.94","0.78"
"13.950255104","14.32","-2.75","-6.75"
"14.034141184000001","4.28","-1.80","-4.79"
"14.126415872","8.28","-2.82","-3.84"
"14.185136128000002","11.10","-1.65","-4.71"
"14.269022208","8.55","-3.14","-2.31"
"14.352908288","6.28","-3.41","-1.10"
"14.436794368000001","8.16","-2.98","-3.14"
"14.512291840000001","14.12","-4.94","-5.41"
"14.654898176000001","6.28","-4.94","-3.96"
"14.722007040000001","6.47","0.00","-4.47"
"14.789115904","8.59","-5.73","-4.12"
"14.839447552000001","9.02","-2.39","-3.57"
"14.931722240000001","7.57","-0.27","-2.16"
