NAME:,run_4_1.csv,,
EXPERIMENT TIME:,06/06/2023 14:22,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,80,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
435.31,-0.31000042,-0.63,0.27
435.37,-0.22999954,-0.63,0.12
435.42,-0.31000042,-0.59,0.2
435.47,-0.39000034,-0.67,0.2
435.52,-0.35000038,-0.67,0.24
435.57,-0.18999958,-0.63,0.2
435.62,-0.22999954,-0.67,0.08
435.67,-0.35000038,-0.67,0.2
435.72,-0.27000046,-0.67,0.24
435.77,-0.27000046,-0.63,0.24
435.82,-0.27000046,-0.78,0.35
435.87,-0.35000038,-0.75,0.24
435.93,-0.27000046,-0.71,0.16
435.98,-0.22999954,-0.67,0.16
436.03,-0.35000038,-0.75,0.39
436.08,-0.27000046,-0.71,0.24
436.13,-0.22999954,-0.75,0.27
436.18,-0.31000042,-0.75,0.24
436.23,-0.35000038,-0.75,0.27
436.28,-0.22999954,-0.67,0.2
436.33,-0.35000038,-0.75,0.24
436.39,-0.22999954,-0.71,0.24
436.44,-0.35000038,-0.78,0.43
436.49,-0.22999954,-0.78,0.31
436.54,-0.4300003,-0.82,0.47
436.59,-0.35000038,-0.71,0.55
436.64,-0.31000042,-0.94,0.51
436.69,-0.5500002,-2.35,0.94
436.74,-0.6199999,-0.98,1.02
436.79,-0.03999996,-0.43,0.12
436.84,-0.7399998,-2,0.12
436.89,-0.35000038,-1.37,0.43
436.95,-0.77999973,-2.04,0.86
437,-0.85999966,-1.8,0.43
437.05,-0.22999954,-0.24,0.16
437.1,-0.9399996,-0.98,0.63
437.15,-0.8999996,-0.9,0.47
437.2,-0.97999954,0.16,1.57
437.25,-0.7399998,-0.82,4.24
437.3,-0.4300003,-1.22,3.3
437.35,-0.5500002,-0.08,1.69
437.4,1.2600002,0.39,3.41
437.46,3.2200003,-4.51,7.92
437.51,4.2799997,-2.2,15.57
437.56,-1.6800003,11.89,6.79
437.92,6.51,-7.73,2.67
437.97,-6.2,2.59,5.84
438.02,-10.47,-1.49,0.82
438.07,-8.9,1.49,-0.94
438.12,4.3999996,-1.92,6.35
438.17,10.01,-4.39,11.22
438.22,1.8500004,-8.55,7.26
438.27,-14.16,3.41,-1.49
438.32,-16.16,6.39,-3.88
438.37,-0.5500002,-3.33,-2.71
438.42,-10.78,0.67,-6.9
438.48,10.01,-14.59,-11.06
438.53,7.42,-3.26,-2.28
438.58,9.969999,-8.83,1.1
438.63,-8.98,-5.06,1.41
438.68,-10.16,-3.61,0.67
438.73,-7.5699997,1.88,1.1
438.78,7.6100006,3.22,7.49
438.83,10.01,-3.3,6.35
438.88,2.5100002,-15.42,10.4
438.93,-4.94,7.96,0.2
438.99,-17.1,2.08,-7.92
439.04,-4.59,-1.26,0.86
439.09,2,0.98,2.51
439.14,-5.61,-5.81,0.12
439.19,10.01,10.16,5.61
439.24,10.01,-11.96,2.39
439.29,-12.9,-6.39,0.98
439.34,-10,-2.71,1.69
439.39,-5.06,0.82,-1.37
439.45,0.59000015,-0.55,-7.96
439.5,10.01,10.16,1.29
439.55,10.01,-16.44,8.43
439.6,-5.29,2.98,0.82
439.65,-19.89,4.08,-8.94
439.7,-11.22,-0.86,0.75
439.75,3.96,-6.75,4.79
439.8,-3.25,2.51,-20.01
439.85,-0.31000042,-6.98,-12.36
439.9,10.01,5.37,10.4
439.96,4.91,-4.71,0.51
440.01,-14.63,-6.67,2.47
440.06,-11.57,-1.65,1.77
440.11,-6.04,1.73,0.75
440.16,-6.74,0.82,-10.71
440.21,10.01,4.31,0.98
440.26,4.2,-13.53,9.22
440.31,-7.84,-0.16,-4.67
440.36,-21.380001,4.75,-7.26
440.42,-10.75,-1.18,-0.9
440.47,3.5699997,-3.88,2.47
440.52,10.01,10,-0.51
440.57,-4.31,-10,0.63
440.62,10.01,4,0.67
440.67,3.9300003,-2.28,5.18
440.72,-13.02,-8.36,3.26
440.77,-10.12,-0.51,0
440.82,-6.8599997,0.98,0.08
440.87,-4.98,0,-13.34
440.92,10.01,8.36,-8.24
440.98,2.2399998,-17.1,13.38
441.03,-11.41,4.2,-6.51
441.08,-20.08,7.57,-7.37
441.13,-9.45,-5.3,-0.94
441.18,-3.1399999,-4.35,2.43
441.23,10.01,20.01,20.01
441.28,-2.9,-5.69,-1.1
441.33,10.01,-2.08,1.02
441.38,-5.37,-0.78,0
441.43,-8.12,-3.65,-0.67
441.49,-9.06,-1.84,-3.26
441.54,-8.43,2.47,0.43
441.59,4.59,-2.16,2.75
441.64,10.01,-3.69,10.24
441.69,1.2600002,-13.53,11.18
441.74,-8.51,9.45,-0.67
441.79,-21.45,5.77,-4.86
441.84,-2.23,-2.79,-0.2
441.89,-5.72,-3.3,-3.88
441.95,10.01,1.73,18.83
442,-5.53,-4.08,-2.59
442.05,10.01,-0.08,-0.82
442.1,-0.03999996,-5.65,2.94
442.15,-12.63,-0.55,2.86
442.2,-9.14,-2.51,-3.33
442.25,-7.1400003,0.16,-1.02
442.3,4.12,3.14,-1.41
442.35,10.01,-4.51,8.32
442.4,5.6499996,-9.1,10.32
442.45,-1.4099998,6,-0.31
442.51,-15.41,6.35,-3.57
442.56,-13.8,-2.47,-1.18
442.61,2.71,-1.29,2.08
442.66,-17.49,4.59,-10.24
442.71,9.969999,-20.01,-17.06
442.76,6.08,-17.34,-5.57
442.81,9.93,-5.06,-5.41
442.86,-7.65,-2.35,0.24
442.91,-8.67,-2.71,-1.14
442.96,-9.22,-1.96,-4.79
443.02,-8.78,4.31,-1.18
443.07,-0.77999973,-6.04,-16.55
443.12,10.01,14.83,0.59
443.93,-8.309999,-19.61,15.34
443.98,-6.98,5.92,-6.75
444.04,-15.77,4.04,-4.28
444.09,-3.5300002,0.2,-2.98
444.14,-3.6799998,-2.43,-1.49
444.19,10.01,-0.08,-1.49
444.24,-11.49,-2.79,3.22
444.29,10.01,9.14,2.47
444.34,2.9799995,-7.3,4.08
444.39,-14.16,-4.59,3.18
444.44,-9.37,-3.02,-0.08
444.49,-6.7,1.84,-0.67
444.55,-5.84,0.47,-10.36
444.6,10.01,4.31,-2.63
444.65,6.16,-9.38,1.06
444.7,1.4899998,4.08,5.61
444.75,-16.71,2.16,-3.69
444.8,-16.28,3.33,-4.75
444.85,7.1399994,0.82,1.1
