NAME:,run_4_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:49,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,145,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
0.007,1.29,-10.36,2.63
0.064,2.98,-10.79,3.65
0.118,2.9,-11.06,3.57
0.179,2.67,-7.34,-0.27
0.205,-2.31,-9.96,-1.92
0.26,0.55,-10.71,-4.2
0.314,-2.16,-18.63,-5.3
0.368,-0.86,-15.97,-5.53
0.419,0.27,-11.26,-1.29
0.467,-3.06,-9.22,-3.26
0.524,-3.18,-3.22,-3.18
0.58,-3.65,1.8,-0.39
0.609,-1.18,-9.06,3.57
0.664,-2.2,-10.28,2.28
0.773,0.55,-12.28,1.45
0.778,4.86,-17.1,1.77
0.82,2.08,-12.91,2.12
0.864,3.65,-10.9,5.53
0.94,0.86,-3.1,1.06
0.971,0.98,-1.49,3.65
1.033,-1.06,-2.28,5.92
1.083,-3.69,-15.69,10.47
1.132,4.31,-16.08,3.06
1.182,0.2,-15.46,-6.59
1.233,-2.75,-9.89,-0.47
1.288,-2.08,-5.53,-3.96
1.353,-2.59,-0.55,1.41
1.417,-6.35,-3.41,4.98
1.44,3.69,-13.57,-6.67
1.497,-0.43,-16.51,0.59
1.548,-0.24,-13.26,-5.1
1.581,1.73,-18.44,3.41
1.639,4.86,-9.81,1.26
1.689,1.96,-4.16,-0.82
1.743,-3.37,-2.28,3.73
1.8,-3.69,1.8,10.2
1.853,4.71,-18.08,8.63
1.885,2.71,-20.01,2.79
1.937,3.65,-9.69,0.94
1.99,-4.43,-11.18,-4.31
2.065,-2.71,-1.29,-5.26
2.094,-1.41,0.71,-1.33
2.147,-2.28,6.71,3.37
2.204,-7.69,-11.77,1.33
2.252,-2.04,-16.36,3.53
2.301,-1.53,-11.45,-4.43
2.354,5.02,-17.42,9.02
2.404,2.47,-11.77,4.51
2.456,2.86,-2.63,-1.69
2.514,-4.51,-1.92,5.84
2.55,1.8,1.22,0.63
2.604,-1.92,-15.61,-1.41
2.773,-1.41,-11.38,-5.26
2.832,-5.41,-6.43,-3.26
2.856,-0.27,2.28,-3.57
2.926,-2.2,-2.63,6.04
2.956,-3.3,-3.3,19.85
3.01,0.24,-4.75,17.46
3.064,3.37,-13.18,3.3
3.116,1.26,-16.28,0.63
3.168,5.1,-19.73,5.53
3.221,5.77,-4.94,0.71
3.275,1.33,-2.55,4.47
3.357,-4.94,-0.82,0.43
3.368,5.1,2.28,8.59
3.424,0.47,-20.01,8.71
3.481,4.39,-15.14,0.78
3.535,0.55,-15.81,-0.43
3.588,-4.47,-10.2,-5.73
3.636,-0.94,-4.79,-1.49
3.691,-2,-1.88,0.39
3.742,-2.98,-2.51,4.31
3.796,0.24,-19.3,-11.34
3.844,4.2,-14.95,-0.98
3.877,-0.31,-13.38,1.49
3.927,2.16,-15.85,2.59
4.049,5.88,-14.12,4.55
4.059,1.69,-7.06,2.28
4.101,-1.26,-1.92,1.8
4.152,2.08,1.18,2.63
4.203,0.67,-10.67,0
4.234,0.63,-15.46,6.12
4.297,3.53,-15.42,2.24
4.353,-0.63,-15.77,-4.47
4.404,-2.86,-8.9,-1.8
4.455,-1.77,-5.26,-5.96
4.507,-0.47,0.78,-0.27
4.556,-1.22,-3.26,1.53
4.621,-1.88,-19.3,-12.51
4.647,2.31,-13.06,1.37
4.709,-2.86,-18.28,-1.65
4.997,1.61,-18.67,7.3
5.061,1.65,-20.01,10.71
5.115,5.49,-19.1,3.61
5.159,-1.1,-12.94,-1.8
5.311,0.47,1.22,-1.96
5.37,0.59,-2.35,5.33
5.425,2.04,-20.01,-2.16
5.474,0.63,-16.04,-4.43
5.509,-3.61,-18.12,3.18
5.572,4.51,-13.69,4.24
5.624,5.96,-11.26,5.73
5.676,3.84,-5.33,-0.94
5.73,-2.04,-2.79,4.43
5.783,2.31,0.63,-0.12
5.814,-3.65,-14.4,3.84
5.959,-2.12,-20.01,11.26
5.967,4.08,-14.59,-2.67
5.975,-3.92,-11.57,-3.61
6.029,-1.65,-8.75,-5.61
6.07,0.55,1.84,0
6.129,-3.33,0.78,2.28
6.187,-5.06,-5.33,-1.37
6.238,0.86,-11.34,3.33
6.282,0.51,-10.87,2.47
6.336,4.2,-17.02,5.3
6.391,5.61,-9.57,2.08
6.469,0.98,-3.8,1.37
6.479,-2.16,-2.35,3.69
6.591,3.84,1.29,3.77
6.602,-4.24,-13.93,-4.12
6.643,1.29,-18.99,4.75
6.696,1.57,-17.97,0.98
6.744,-2.9,-8.39,-4.86
6.794,-1.45,-12.4,-4.98
6.856,1.22,-0.35,-0.75
6.886,-1.61,-2.43,5.3
6.94,-9.41,-1.22,3.88
6.992,1.8,-9.57,-0.08
7.04,7.34,-16.99,2.28
7.094,0.51,-12.63,-2.94
7.176,1.69,-20.01,6.79
7.21,4.71,-5.88,1.41
7.265,1.53,-4.24,0.82
7.294,-2.98,-0.59,5.06
7.354,2.86,1.84,0.82
7.404,-0.51,-17.57,-2.35
7.455,2.24,-20.01,7.02
7.504,2.2,-16.87,-2.35
7.554,-4.35,-9.14,-1.65
7.608,-1.88,-5.1,-5.61
7.665,-0.82,0.51,-0.86
7.822,1.96,-16.28,3.61
7.871,-2.94,-11.02,-6.75
7.919,2.82,-16.55,5.06
7.969,4.35,-10.43,3.57
8.019,3.33,-5.77,-2.12
8.074,-2.28,-0.75,4.39
8.129,4.2,1.69,2.16
8.167,-0.04,-16.95,5.45
8.228,-0.04,-20.01,5.49
8.283,3.65,-16.91,4.71
8.335,-3.02,-10.28,1.37
8.388,-5.57,-6.86,-4.63
8.46,-0.39,-0.24,-0.16
8.497,1.84,-2.67,1.65
8.519,-11.1,-7.81,8.24
8.577,-4.55,-6.43,3.69
8.639,8.87,-19.61,-1.33
8.684,4.2,-16.99,7.22
8.737,4.31,-15.3,6.47
8.789,4.04,-5.06,1.37
8.838,-1.41,0.04,6.2
8.877,-0.98,0.08,-0.04
8.928,-1.96,-7.85,4.71
8.981,-3.77,-18.04,14.44
9.03,5.65,-16.32,2.12
9.121,-0.12,-14.67,-1.92
9.131,-3.41,-7.3,-3.41
9.187,-2.63,-2.82,-2.86
9.238,-0.67,-2.31,-2.98
9.293,-9.26,-11.06,4.71
9.344,-0.63,-8.55,4.9
9.397,-1.96,-13.38,0.82
9.447,-2.75,-19.57,-5.69
9.507,4.9,-13.53,1.41
9.557,3.22,-6.86,0.16
9.605,-0.2,-1.92,1.22
9.657,0,-1.77,2.31
9.777,2.79,-7.1,5.33
9.788,-1.73,-18.36,7.1
9.806,4.79,-16.55,1.8
9.863,-0.12,-13.02,-2.63
9.916,-4.16,-7.53,-2.35
9.95,-2.39,-2.47,-3.45
10,-0.98,-0.71,0.47
10.262,-10.24,-6.28,11.85
10.268,3.88,-6.04,1.41
10.276,0.75,-10.63,0.51
