NAME:,walk_3_2.csv,,
EXPERIMENT TIME:,07/06/2023 16:21,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,104,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
0.009,1.69,-10.32,-4.51
0.057,1.53,-9.45,-4.2
0.1,1.49,-8.67,-4.12
0.164,1.18,-7.88,-4.08
0.217,0.43,-8.32,-4.12
0.275,1.14,-9.02,-4.51
0.305,1.37,-9.41,-5.18
0.364,0.82,-9.14,-5.53
0.422,0.67,-8.9,-5.14
0.501,0.63,-8.51,-5.18
0.517,3.41,-12.94,-2.9
0.56,4.94,-12.4,-0.71
0.63,1.53,-8.51,-0.08
0.688,1.02,-7.65,-0.12
0.72,2.63,-11.65,-0.2
0.776,2.04,-9.69,-0.78
0.827,1.1,-9.69,0
0.878,0.43,-10.08,-0.43
0.924,0.04,-8.79,-0.55
0.982,0.35,-8.9,-0.08
1.034,0.2,-10.12,0.2
1.119,0.59,-10.63,-0.94
1.128,-1.57,-11.45,-1.02
1.175,0.04,-12.32,0.08
1.223,2.51,-12.2,1.57
1.286,3.22,-9.41,2.79
1.345,6.75,-12.43,0.43
1.38,2.55,-12.63,-1.14
1.455,0.43,-9.3,-2.59
1.488,1.61,-7.77,-3.26
1.541,0,-5.41,-3.61
1.591,0.2,-3.1,-3.14
1.635,1.84,-7.61,-5.22
1.721,2.12,-16.87,-2.67
1.756,1.65,-9.22,-7.69
1.807,4.59,-13.06,-6.47
1.858,5.02,-11.61,1.92
1.91,0.94,-5.26,0.2
1.966,0.78,-8.39,-0.63
1.988,2.47,-11.1,-0.08
2.044,0.04,-9.06,-0.31
2.099,2.24,-9.26,0.47
2.162,0.08,-8.87,-0.39
2.198,-1.06,-9.38,-0.75
2.249,-0.94,-9.85,-0.55
2.414,4.16,-13.1,-0.94
2.456,3.37,-12.4,4.2
2.73,6.12,-11.38,-0.16
2.749,2.2,-6.67,-2.94
2.755,1.02,-5.73,-3.88
2.762,0.31,-4.04,-3.37
2.82,1.18,-6.35,-5.3
2.87,1.84,-16.63,-4.67
2.928,2.98,-8.51,-7.61
2.994,4,-13.1,-5.26
3.032,2.71,-11.18,1.8
3.06,2.59,-3.73,0.04
3.133,0.31,-10.75,-0.39
3.184,2.35,-11.85,0.35
3.249,1.18,-8.32,-0.04
3.269,1.26,-9.41,0.24
3.325,-0.35,-8.98,-0.12
3.381,-1.84,-9.45,-1.1
3.432,-0.55,-9.49,-1.73
3.482,-3.45,-10.16,-0.9
3.531,-0.67,-12.28,0
3.582,4.75,-14.32,0.59
3.689,3.57,-10.98,3.69
3.699,6.59,-12.47,0
3.742,4.24,-12.98,-0.43
3.797,-0.98,-8.47,-2
3.825,2.24,-5.45,-1.8
3.901,0.94,-5.1,-2.63
3.929,0.82,-3.73,-2.2
3.987,1.53,-8.47,-5.14
4.043,2.35,-15.93,-2.24
4.092,-0.47,-10.24,-9.77
4.147,5.49,-7.61,-8.08
4.194,4.63,-14.47,5.96
4.238,2.75,-5.65,0.35
4.357,1.26,-8.71,-0.78
4.364,2.75,-11.57,0.63
4.402,-0.16,-9.53,0.04
4.453,0.94,-8.16,0.08
4.536,-1.02,-9.96,-0.08
4.547,-2.24,-9.45,-1.18
4.592,-0.16,-9.34,-0.63
4.644,-2.47,-10.04,0.2
4.715,0.71,-13.34,0.94
4.761,6.39,-14.75,4.24
4.813,4.35,-12.51,0.98
4.863,5.73,-12.12,0.71
4.936,0.31,-10.32,-2.82
4.975,1.29,-6.67,-2
4.998,0.9,-6.71,-2.82
5.057,1.14,-5.57,-3.02
5.105,1.06,-6.2,-2.59
5.153,1.61,-10.28,-3.53
5.211,1.57,-10.63,-4.24
5.26,2.04,-11.38,-7.3
5.323,-1.22,-8.24,-6.24
5.374,4.12,-9.57,-5.33
5.426,7.18,-12.51,5.92
5.479,1.29,-7.81,1.61
5.576,2.63,-5.57,-1.14
5.586,3.57,-11.34,3.06
5.629,0.08,-10.59,0.71
5.682,0.9,-9.3,0.59
5.736,-0.9,-8.87,-0.2
5.808,-2.16,-9.41,-0.98
5.817,-1.61,-9.57,-1.06
5.885,-2.04,-10.79,-0.27
5.939,3.88,-14.24,-0.24
5.991,4.55,-14.04,5.14
6.044,4.71,-10.59,0.71
6.073,4.75,-11.14,-0.67
6.124,0.59,-9.41,-2.63
6.212,1.61,-6.12,-2.12
