NAME:,run_1_1.csv,,
EXPERIMENT TIME:,06/06/2023 14:16,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,63,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
122.94,-0.27000046,-0.82,0.35
122.99,-0.10999966,-0.51,0.31
123.04,-0.39000034,-0.27,0.31
123.09,-0.03999996,-0.47,0.43
123.14,-0.47000027,-0.35,0.31
123.19,-0.14999962,-0.04,0.47
123.24,-0.5500002,-0.24,0.75
123.29,-0.07999992,-0.51,0.98
123.34,-0.07999992,-0.63,1.45
123.39,-0.35000038,-0.71,1.61
123.45,-0.77999973,-0.27,1.77
123.5,-1.0600004,-0.51,1.84
123.55,-0.8199997,-0.27,1.92
123.6,-0.5100002,0,0.78
123.65,-0.5100002,0,2
123.7,-0.39000034,-0.31,2.39
123.75,-0.77999973,-0.24,2.39
123.8,-0.77999973,0.04,2.55
123.85,-1.0600004,-0.55,2.43
123.9,-1.0600004,-0.04,2.12
123.96,-0.65999985,0.78,1.41
124.01,-1.0200005,1.22,1.22
124.06,-0.85999966,0.63,1.69
124.11,2.5100002,-0.94,1.26
124.16,-2.23,-1.14,1.37
124.21,-0.4300003,0.08,1.29
124.26,-0.47000027,-0.47,1.29
124.31,-0.85999966,-1.26,1.06
124.36,-0.31000042,-1.41,0.2
124.42,-0.39000034,-2.2,-0.12
124.47,-0.35000038,-1.77,-0.31
124.52,-0.31000042,-2.35,-0.31
124.57,-0.4300003,-2.39,0.59
124.62,-0.6999998,-2.08,-0.12
124.67,-0.5100002,-2,0.04
124.72,-0.5100002,-2.04,0.16
124.77,-0.65999985,-1.96,-0.43
124.82,-0.6999998,-1.61,-0.9
124.87,-0.77999973,-1.61,-1.61
124.93,-0.27000046,-2.16,-1.41
124.98,-0.6999998,-2.82,-1.06
125.03,-0.8999996,-1.33,-0.86
125.08,0.8299999,-3.41,-0.12
125.13,1.3800001,-4.82,1.29
125.18,-0.35000038,-3.45,-1.22
125.23,-1.8000002,-3.26,-1.14
125.28,1.8900003,0.16,1.84
125.33,4.79,0.04,-0.47
125.38,3.42,-2.39,4.71
125.43,4.9799995,-4.63,8.28
125.49,1.1000004,3.84,4.82
125.54,-6.59,2.55,2.08
125.59,-15.139999,0,0.47
125.64,-7.96,2.12,-1.73
125.69,10.01,9.92,3.02
125.74,-3.02,2.28,5.18
125.79,10.01,-3.37,8.67
125.84,10.01,-11.85,0.71
125.89,-8.98,0.51,1.37
125.94,-9.65,-5.45,1.22
126,-7.65,2.2,-2.67
126.05,-1.0600004,4.9,-7.18
126.1,10.01,5.57,-1.96
126.15,9.93,-17.26,9.77
126.2,2.1599998,3.84,4.24
126.25,-14.71,2.12,-4.79
126.3,-15.18,2.71,0.04
126.35,0.97999954,-4.08,-4.55
126.4,-8.940001,4.9,-9.38
127.71,-18.71,4.16,-3.88
127.76,-1.1000004,-6.32,-4.35
127.81,-7.49,1.65,0.67
127.86,10.01,-19.85,-4.55
127.92,-0.8199997,-5.84,-0.43
127.97,10.01,-8.94,-3.53
128.02,-11.41,-2.82,2.47
128.07,-8.86,-3.3,-2.98
128.12,-7.88,-0.94,-3.88
128.17,-9.96,3.45,-1.65
128.22,10.01,1.41,14.87
128.27,4.83,-3.1,20.01
128.32,-0.6999998,-11.38,-0.51
128.37,-11.690001,4.86,-4.75
128.43,-16.16,3.3,-4.08
128.48,0.6700001,-5.61,2.28
128.53,-12.47,-0.2,-5.41
128.58,10.01,-20.01,-9.69
128.63,3.4899998,-1.33,-2.82
128.68,10.01,-8.98,1.57
128.73,-9.45,-2.75,6.04
128.78,-9.61,-1.45,-1.65
128.83,-7.65,-1.73,-3.26
128.88,-6.4300003,3.22,-8.79
128.93,10.01,1.53,5.92
128.99,10.01,-14.98,8.04
129.04,0.59000015,0.39,2.43
129.09,-12.71,4.35,-6.86
129.14,-15.96,1.69,-0.35
129.19,0.8299999,-2.63,-2.94
129.24,9.93,6.08,-5.61
129.29,-4.19,-14.04,-0.51
129.34,8.08,-8.36,8.36
129.39,10.01,-6.67,1.41
129.45,-9.96,2.82,4.47
129.5,-8.2,-3.57,-2.86
129.55,-8.16,-0.51,-3.96
129.6,-8.63,2.31,-3.1
129.65,10.01,0.86,12.63
129.7,4.3199997,-9.26,16.36
129.75,0.07999992,-6.94,2.55
129.8,-13.690001,3.69,-7.18
129.85,-15.1,2.31,-3.69
129.9,5.8100004,0.24,-0.08
129.96,-11.41,3.84,-10.2
130.01,6.870001,-10.32,-14
130.06,5.1800003,-1.96,2.9
130.11,10.01,-10,2.08
130.16,-11.84,-1.26,5.73
130.21,-7.8,-0.82,-3.73
130.26,-8.74,0.63,-2.82
130.31,-8.74,3.53,-5.96
130.36,10.01,-4.04,8.87
130.41,8.790001,-2.71,9.65
130.46,-9.84,-7.73,0.71
130.52,-11.84,4.98,-5.14
130.57,-17.1,3.18,-3.14
130.62,0.47000027,-3.41,-5.18
130.67,-1.5699997,6.2,-16.2
130.72,-0.10999966,-11.85,-12.94
130.77,6.3199997,-3.33,2.35
130.82,10.01,-10.16,-1.02
130.87,-11.96,-1.02,3.8
130.92,-9.25,-2.55,-2.35
130.98,-7.29,1.92,-5.1
131.03,-8.23,1.45,-4.51
131.08,10.01,-7.73,19.85
131.13,4.08,-4.75,11.1
131.18,-8.04,-14.83,-1.92
131.23,-12.63,7.85,-3.37
131.28,-18.39,2.55,-3.41
