NAME:walk_3_2.csv,,,,
EXPIRAMENT TIME:,Thu Jun 08 14:35:13 GMT+03:00 2023,,,
ACTIVITY TYPE:,Walk,,,
COUNT OF ACTUAL STEPS::,91,,,
,,,,
TIME,ACCX,ACCY,ACCZ,
0,10.71,-1.8,0,468
0.01,10.9,-1.96,0.31,469
0.02,7.92,-0.86,-2.47,470
0.03,8.75,-1.57,1.73,471
0.04,12.16,0.43,0.59,472
0.05,6.94,-0.75,0.71,473
0.06,12.79,-2.79,0.12,474
0.07,10.16,-1.26,0.86,475
0.08,7.53,-0.82,0.08,476
0.09,7.69,-4.98,2.71,477
0.1,6.83,-3.1,0.08,478
0.11,9.18,-2.98,2.28,479
0.12,14.44,-2.59,-2.39,480
0.13,10.28,-2.55,0.75,481
0.14,8.98,-0.98,-2.35,482
0.15,8.67,0.12,0.63,483
0.16,7.73,1.65,-0.16,484
0.17,11.26,-2.71,5.3,485
0.18,14.98,-3.8,6.39,486
0.19,16.91,1.22,-2.51,487
0.2,10.83,-2.28,1.33,488
0.21,7.49,-0.86,-1.18,489
0.22,9.89,0.04,0.86,490
0.23,9.34,1.06,3.1,491
0.24,8.32,-1.92,3.88,492
0.25,13.89,-1.84,2.79,493
0.26,10.67,-3.77,-1.18,494
0.27,8.67,-0.59,-0.59,495
0.28,9.14,-1.45,1.1,496
0.29,5.88,-2.82,3.77,497
0.3,9.18,0.35,6.59,498
0.31,13.89,0.35,-3.14,499
0.32,9.38,-1.69,0.98,500
0.33,8.47,-0.82,0.47,501
0.34,7.96,-3.41,1.45,502
0.35,10.28,-2.08,1.1,503
0.36,13.89,-4.47,0.9,504
0.37,11.34,-2.55,-0.04,505
0.38,7.41,-2.71,0.43,506
0.39,8.9,-3.18,2.59,507
0.4,12.2,-1.41,2.28,508
0.41,15.61,-3.96,2.79,509
0.42,11.53,0.35,-0.9,510
0.43,9.18,-0.16,-0.59,511
0.44,9.81,-0.16,1.49,512
0.45,11.65,0.43,1.84,513
0.46,15.46,-7.49,8.51,514
0.47,12.87,-4.08,1.33,515
0.48,10.08,-0.59,-0.47,516
0.49,9.96,0.86,0.67,517
