"NAME:","elon0"
"EXPERIMENT TIME:","Thu Jun 01 12:05:19 GMT+03:00 2023"
"ACTIVITY TYPE:","Walking"
"COUNTS OF ACTUAL STEPS:","95"
"  "," "
"Time [sec]","ACC X","ACC Y","ACC Z"
"11.484004352000001","-3.92","5.18","-2.04"
"11.978932224000001","-5.61","6.32","-1.61"
"11.987320832","-10.94","9.69","-1.53"
"12.004098048000001","-7.69","12.75","-1.41-4.67"
"12.012486656","-3.37","2.63","-4.94"
"12.079595520000002","-11.57","5.18","-3.18"
"12.1634816","-7.77","6.28","-3.14"
"12.255756288","-3.80","6.98","-1.84"
"12.322865152","-6.12","5.92","-0.24"
"12.41513984","-12.00","12.40","-1.73"
"12.482248704000002","-9.85","13.14","-5.77"
"12.566134784","-6.47","4.79","-2.79"
"12.650020864","-10.71","5.88","-4.00"
"12.759072768000001","-7.45","4.82","-3.26"
"12.826181632","-5.96","2.51","-1.29"
"12.893290496","-7.22","4.28","0.00"
"12.985565184","-14.16","6.59","3.06"
"13.069451264000001","-17.81","6.35","-5.81"
"13.12817152","-7.22","4.79","0.98"
"13.212057600000001","-7.14","3.61","-2.63"
"13.304332288000001","-7.77","5.84","-3.73"
"13.388218368","-3.92","7.88","-1.88"
"13.455327232","-7.22","5.61","-2.12"
"13.539213312000001","-14.47","8.87","0.12"
"13.631488000000001","-11.49","10.20","-10.36"
"13.706985472000001","-7.41","10.24","-1.88"
"13.774094336000001","-6.86","5.49","-1.33"
"13.916700672000001","-6.71","3.69","-2.08"
"13.958643712","-6.28","2.12","-1.14"
"14.042529792000002","-10.24","6.00","-3.45"
"14.126415872","-12.40","4.47","-0.82"
"14.185136128000002","-3.84","6.67","-4.12"
"14.277410816000002","-15.46","8.28","-2.00"
"14.361296896","-5.53","5.18","-0.35"
"14.445182976000002","-4.31","5.18","-2.31"
"14.529069056","-5.26","6.20","-1.69"
"14.587789312000002","-8.83","10.79","-4.16"
"14.730395648000002","-8.51","8.90","0.63"
"14.797504512000001","-3.84","1.22","-2.51"
"14.864613376000001","-13.34","8.43","-3.30"
"14.914945024000001","-7.88","3.88","-2.86"
"14.990442496000002","-5.26","3.41","-2.12"
"15.074328576000001","-7.45","3.18","1.49"
"15.158214656","-16.91","11.45","5.22"
"15.258877952","-19.89","10.24","0.55"
"15.3092096","-3.45","1.80","-4.47"
