NAME:,run_5_1.csv,,
EXPERIMENT TIME:,06/06/2023 14:28,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,105,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
90.91,-0.47000027,-2,0.27
90.96,-0.47000027,-2.12,0.27
91.01,-0.47000027,-1.96,0.27
91.06,-0.39000034,-1.96,0.2
91.11,-0.39000034,-1.84,0.12
91.17,-0.35000038,-1.77,0.04
91.22,-0.31000042,-1.73,-0.04
91.27,-0.31000042,-1.65,0.04
91.32,-0.31000042,-1.65,0.24
91.37,-0.39000034,-1.73,0.04
91.42,-0.27000046,-1.65,0.16
91.47,-0.39000034,-1.57,0.12
91.52,-0.39000034,-1.49,0.12
91.57,-0.35000038,-1.53,0.16
91.63,-0.39000034,-1.65,0.27
91.68,-0.31000042,-1.73,0.24
91.73,-0.39000034,-1.8,0.27
91.78,-0.4300003,-1.92,0.24
91.83,-0.4300003,-2.08,0.24
91.88,-0.4300003,-2.04,0.2
91.93,-0.31000042,-1.77,0.2
91.98,-0.5100002,-1.73,-0.04
92.03,-0.47000027,-1.57,0.2
92.08,-0.4300003,-1.77,0.27
92.14,-0.5500002,-1.92,0.27
92.7,-0.8999996,-2.67,0.12
92.75,-0.59000015,-3.06,0.43
92.8,0.03999996,-3.14,-0.27
92.85,-0.4300003,-1.73,-0.12
92.9,-2.6999998,-2.2,2.43
92.95,2.3199997,-3.77,4.08
93,4.2,-5.53,3.18
93.05,-0.39000034,-3.1,1.69
93.1,-5.69,-2.24,1.69
93.15,-6.27,-2.9,-0.78
93.21,-0.27000046,-2.28,0.82
93.26,4.2,-1.45,0.75
93.31,2.71,-4.43,3.45
93.36,7.7700005,-2.67,6.08
93.41,7.8500004,1.18,6.75
93.46,-5.21,0,0.86
93.51,-12.04,-0.67,0
93.56,-10.43,2.35,-1.77
93.61,-4.55,-0.55,0.9
93.67,2.5500002,-0.51,-2.86
93.72,-1.7600002,3.73,6.12
93.77,5.9700003,-6.39,4.55
93.82,7.8099995,-8.39,5.18
93.87,-0.31000042,-0.43,0.71
93.92,-11.29,-3.92,1.96
93.97,-7.7200003,-0.82,-1.02
94.02,-3.4899998,1.45,-3.92
94.07,5.42,-1.33,-1.33
94.12,10.01,-13.42,6.28
94.18,6.83,4.98,10.04
94.23,-3.5700002,-1.84,2.79
94.28,-12.35,-2.2,1.18
94.33,-12.12,2.43,-3.1
94.38,-5.06,-7.3,-5.81
94.43,1.7299995,5.45,4.82
94.48,2.5900002,-0.47,16.83
94.53,10.01,-9.61,3.88
94.58,1.2600002,-3.69,0.24
94.63,-10.08,-1.26,2.59
94.68,-10.98,-1.69,-0.12
94.74,-5.14,0.86,-2.39
94.79,9.459999,-2.94,2.9
94.84,9.889999,-10.55,8.28
94.89,4.4399996,-0.63,13.53
94.94,-2.98,2.63,3.57
94.99,-9.69,0.12,-0.78
95.04,-12.940001,1.61,-3.26
95.09,-4.35,-2.24,1.29
95.14,4.08,5.14,1.77
95.19,-1.96,-0.94,12.04
95.25,10.01,-9.02,5.3
95.3,9.889999,-5.73,2.39
95.35,-7.76,0.39,2.9
95.4,-10.35,-3.88,0.55
95.45,-10.12,0.43,-1.37
95.5,-3.7199998,0.08,-7.1
95.55,10.01,-3.65,3.57
95.6,10.01,-8.87,8.47
95.65,4.2,7.61,6.67
95.71,-8.98,0.43,-2.2
95.76,-15.77,5.14,-4.9
95.81,-2.3899999,-4.47,-0.82
95.86,-0.35000038,2.98,5.06
95.91,0.8999996,-4.24,4.43
95.96,10.01,-6.08,6.55
96.01,8.67,-7.61,0.47
96.06,-4.94,-1.02,-0.51
96.11,-10,-2.86,1.8
96.16,-10.43,-2.28,-0.71
96.21,-3.4499998,-3.06,-7.53
96.27,10.01,2,-0.9
96.32,10.01,-5.96,7.06
96.37,5.26,4.2,8.9
96.42,-8.27,0.12,0
96.47,-15.18,1.29,-3.92
96.52,-7.37,-0.63,-2.79
96.57,-6.31,-1.84,0.08
96.62,4.3999996,0.71,9.53
96.67,1.3400002,0.59,14.2
96.72,10.01,-7.65,1.57
96.78,10.01,-6.16,1.06
96.83,-11.57,0.43,0.43
96.88,-9.92,-2.75,-1.14
96.93,-8.08,-0.08,0.12
96.98,-0.9399996,-2.47,-2
97.03,10.01,-1.29,2.04
97.08,6.040001,-8.08,12.79
97.13,-1.8400002,1.96,1.8
97.18,-9.65,-1.8,-0.9
97.24,-13.77,3.53,-3.53
97.29,0.5100002,-4.94,-3.92
97.34,1.8100004,7.77,7.65
97.39,1.4499998,-7.85,-0.31
97.44,7.7700005,-6.71,9.49
97.49,9.219999,-8.24,5.41
97.54,-5.45,-2.04,1.61
97.59,-10.51,-3.37,2.12
97.64,-7.5699997,-3.26,-1.57
97.69,-5.33,1.73,-2.51
97.75,10.01,-3.26,3.57
97.8,5.38,-10.9,12.55
97.85,2.67,-2.86,10.98
97.9,-2.7800002,5.69,-1.61
97.95,-12.86,1.92,-5.14
98,-6.8199997,-2.2,2.08
98.05,-11.37,-2.04,0.78
98.1,10.01,13.77,14.4
98.72,-13.059999,4.79,-4.35
98.77,0.78999996,-7.1,-0.35
98.82,-10.67,0.31,-6.75
98.87,5.1000004,-2.94,-5.69
98.92,-1.6400003,-7.81,0.39
98.97,8.040001,-7.34,-5.1
99.02,0.6300001,-6.32,6.67
99.07,-10.67,-1.92,2.59
99.23,7.6900005,-2.04,5.06
99.28,10.01,-9.06,14.28
99.33,2.9099998,-6.83,14.79
99.38,-5.18,7.61,-2.94
99.43,-12.86,1.65,-4.71
99.48,-11.41,1.49,-2.16
99.53,-0.77999973,-5.1,2.12
99.58,-0.7399998,0.55,4.86
99.64,-3.37,-8.9,2.94
99.69,10.01,-2.67,3.02
99.74,8.59,-7.37,4.39
99.79,-9.92,0.08,-0.71
99.84,-9.22,-3.84,0.63
99.89,-7.45,1.18,-2
99.94,-1.6800003,0.24,-11.41
99.99,10.01,4.55,-3.41
100.04,8.51,-12.55,11.3
100.09,-2.6599998,0.78,4.59
100.14,-12.2,-2.35,-1.61
100.2,-17.369999,6.9,-3.69
100.25,0.75,-5.57,1.69
100.3,-4.78,-1.65,-9.26
100.35,-5.69,-4.94,0.08
100.4,10.01,-6.71,-0.82
100.45,8.040001,-4.82,-3.57
100.5,-3.7600002,-8.94,2.71
100.55,-8.2,-0.67,2.04
100.6,-9.41,-2.86,-2.55
100.65,-6.16,-3.33,-6
100.71,10.01,-3.1,1.92
100.76,10.01,-9.65,9.53
100.81,7.1800003,-5.49,9.45
100.86,-7.65,2.55,1.88
100.91,-11.41,-1.45,-1.73
100.96,-12.35,2.63,-4.04
101.01,-3.1399999,-3.22,4.28
101.06,10.01,-8.08,13.85
101.11,-4.27,-6.2,4.2
101.17,10.01,2.43,3.53
101.22,7.0200005,-9.02,5.53
101.27,-8.71,-3.49,2.9
101.32,-8.59,-3.02,1.22
101.37,-8.39,-0.98,-1.8
101.42,-5.65,-2.08,-7.73
101.47,10.01,-3.57,1.41
101.52,8.790001,-3.53,12.08
101.57,0.39999962,-3.33,7.69
101.62,-10.47,0.47,-0.51
101.68,-15.059999,-0.08,-2.35
101.73,-8.16,0.63,-0.47
101.78,2.4700003,-1.06,5.73
101.83,-0.14999962,-5.41,2.04
101.88,10.01,-3.18,5.18
101.93,9.1,-4.63,-1.57
101.98,-0.65999985,-8.43,2.63
102.03,-9.49,-0.04,2.31
102.08,-10.08,-1.37,-1.57
102.13,-7.45,-0.24,-0.04
102.18,10.01,-4.98,4.12
102.24,10.01,-6.39,8.55
102.29,5.0200005,-8.47,11.18
102.34,-8.08,3.33,-1.96
102.39,-15.139999,2.71,-3.65
102.44,-11.26,-1.73,-0.59
102.49,-0.9399996,-2.55,5.81
102.54,-0.47000027,-8,-8.2
102.59,-2.6599998,-11.77,-2.82
102.64,10.01,-7.57,12.12
102.69,6.4400005,-8.55,0.2
102.75,-2.27,-3.69,1.06
102.8,-10.55,-2.86,2.35
102.85,-9.02,-1.73,-1.8
102.9,-6.55,1.92,-2.51
102.95,9.77,-0.24,1.22
103,10.01,-9.02,11.14
103.05,8.83,-2.28,9.45
103.1,-5.69,2.71,-1.49
103.15,-12.51,1.29,-1.33
103.21,-16.2,4.2,-0.47
103.26,-0.59000015,-2.47,3.61
103.31,-0.8999996,-4.28,6.71
103.36,-0.85999966,-12.94,-4.9
103.41,10.01,-3.69,1.57
103.46,10.01,-6.86,1.18
103.51,-10.35,-3.57,1.26
103.56,-10.04,-3.18,2.9
103.61,-8.74,0.9,-2.43
103.66,-6.63,-3.57,-9.22
103.71,10.01,-1.69,0.51
104.68,-14.08,4.82,-4.08
104.74,-6.12,-4.28,0
104.79,-9.76,-3.8,-13.14
104.84,1.8100004,-20.01,1.02
104.89,3.6099997,-12.12,4.79
104.94,9.26,-4.08,-2.47
104.99,-1.29,-3.33,-0.51
105.04,-12.75,-1.69,2.98
105.09,-8.47,-3.26,0.04
105.14,-7.5699997,0.9,-1.26
105.19,7.9699993,-0.51,3.69
105.25,10.01,-13.85,11.77
105.3,4.16,-7.3,10.79
105.35,-4.43,2.75,3.41
105.4,-11.65,0.55,-0.16
105.45,-16.32,4.12,-2.51
105.5,-1.0200005,-1.49,2.98
105.55,10.01,3.14,10.63
105.6,-4.7,-7.77,-2.35
105.65,10.01,-1.45,6.51
105.7,9.219999,-8.47,0.98
105.75,-6.94,-5.53,2.86
105.81,-8.51,-2.82,3.3
105.86,-10,-2.2,-2.94
105.91,-6.8599997,-1.41,-5.1
105.96,10.01,-3.06,2.43
106.01,10.01,-9.1,9.02
106.06,6.24,-4.59,9.85
106.11,-8.16,-1.22,-0.86
106.16,-13.059999,0.86,-1.18
106.21,-10.63,3.92,-3.45
106.26,-4.16,-1.8,2.04
106.32,10.01,-6.2,19.81
106.37,-4.7,-4.28,2.67
106.42,10.01,1.45,14.08
106.47,7.7700005,-8.83,4.59
106.52,-11.26,-1.02,1.65
106.57,-8.59,-2.67,-0.47
106.62,-9.29,-1.02,-2.94
106.67,-5.57,-1.69,-8.79
106.72,10.01,2.31,-0.27
106.78,10.01,-6.63,13.77
106.83,-0.65999985,-1.1,8.79
106.88,-9.61,-0.35,-1.61
106.93,-18.51,5.65,-6
106.98,-2.94,-3.8,-2.43
107.03,-11.26,1.77,0.98
107.08,10.01,-7.1,-3.49
107.13,-3.37,-5.84,-1.61
107.18,9.57,-2.63,-3.14
107.23,-1.1700001,-5.57,4.63
107.29,-11.57,-2.51,3.37
107.34,-9.57,-3.06,-1.33
107.39,-7.1400003,1.92,-0.98
107.44,6.549999,-1.37,2.71
107.49,10.01,-9.38,5.53
107.54,8.99,-3.37,8.87
107.59,-7.45,-2.67,1.8
107.64,-12.51,-0.16,-2.12
107.69,-15.610001,4.12,-1.69
107.74,0.59000015,-1.45,4.79
107.79,6.91,-4.94,-3.06
107.85,0.8299999,-10.67,1.8
107.9,10.01,-4.43,2.86
107.95,6,-8.71,3.92
108,-7.49,-2.2,-0.24
108.05,-11.29,-1.96,2.24
108.1,-9.88,-0.9,-3.06
108.15,-5.8,-2.75,-7.73
108.2,10.01,-0.2,4
108.25,9.85,-7.57,10.67
108.31,3.96,2.59,10.75
108.36,-8,-1.92,0.08
108.41,-14.59,-1.02,-2.63
108.46,-11.29,4.2,-2.43
108.51,-0.9399996,-5.69,3.18
108.56,10.01,2.86,5.02
108.61,-3.65,-4.28,-2.51
108.66,10.01,0.59,11.34
108.71,6.200001,-12.2,4.9
108.76,-4.86,-1.53,1.69
108.82,-12.16,-3.92,2.43
108.87,-10,-2.47,-0.86
108.92,-7.7200003,1.45,-1.84
108.97,10.01,-4.79,3.53
109.02,10.01,-6.08,6.9
109.07,6.67,-5.14,8.32
109.12,-8.39,6.63,-1.8
109.17,-14.469999,2.31,-1.41
109.22,-15.809999,0.98,-2.59
109.27,1.8100004,-1.84,4.47
109.32,10.01,2.47,13.45
109.38,-2.7800002,-7.69,8
109.43,10.01,-2.12,5.92
109.48,9.5,-6.59,4.59
109.53,-12.24,-3.06,0.86
109.58,-8.51,-1.88,2.94
109.63,-11.059999,-1.73,-2.98
109.68,-4.7,-4.94,-12.2
109.73,10.01,3.22,0.12
109.78,9.85,-12.32,12.51
109.83,3.7700005,-1.77,5.73
109.99,-5.69,-1.61,-0.39
110.04,-6.51,-1.18,-5.41
110.65,-13.14,0.82,-3.92
110.7,-11.96,1.26,-2.39
110.75,-0.8199997,-3.92,2.39
110.8,9.5,-0.24,14.67
110.86,-4.98,-3.18,2.04
110.91,10.01,0.31,6.12
110.96,6.709999,-9.1,7.02
111.01,-11.77,-2.16,0.67
111.06,-8.08,-4.82,3.88
