NAME:,run_3_3.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 12:09,,,,,,,,,,,,,
ACTIVITY TYPE:,Running,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,70,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
29434,0.823759,2.07901,-3.295035,,,,,,,,,,,
29515,-3.255808,2.471276,-10.355823,,,,,,,,,,,
29596,-17.691198,18.318823,-20.005568,,,,,,,,,,,
29677,-9.610518,-2.824315,1.686744,,,,,,,,,,,
29758,8.708306,4.393379,-5.88399,,,,,,,,,,,
29839,-7.570734,1.922104,-2.863542,,,,,,,,,,,
29920,-18.514957,-17.573517,-6.943109,,,,,,,,,,,
30001,-18.71109,4.2757,-1.333704,,,,,,,,,,,
30082,0.549172,14.356936,7.649188,,,,,,,,,,,
30163,2.039783,1.882877,-2.432049,,,,,,,,,,,
30244,-9.80665,13.258593,6.825429,,,,,,,,,,,
30325,-20.005568,3.765754,-11.375715,,,,,,,,,,,
30406,-13.219365,-3.80498,-1.490611,,,,,,,,,,,
30487,3.412714,-0.078453,-4.667965,,,,,,,,,,,
30568,-9.257479,16.279039,-10.238143,,,,,,,,,,,
30649,-13.886217,2.039783,-2.471276,,,,,,,,,,,
30730,-17.298931,2.706636,-2.902768,,,,,,,,,,,
30811,-0.941438,0.470719,-5.727084,,,,,,,,,,,
30892,2.588956,2.863542,-1.490611,,,,,,,,,,,
30973,-20.005568,2.706636,-1.098345,,,,,,,,,,,
31054,-17.730425,-4.785645,1.019892,,,,,,,,,,,
31135,0.313813,-2.902768,-3.844207,,,,,,,,,,,
31440,-13.258593,-0.196133,1.255251,,,,,,,,,,,
31645,5.256365,0.862985,-2.981222,,,,,,,,,,,
31708,-2.667409,1.255251,0.470719,,,,,,,,,,,
31783,-13.258593,-0.196133,1.255251,,,,,,,,,,,
31864,5.256365,0.862985,-2.981222,,,,,,,,,,,
31945,-2.667409,1.255251,0.470719,,,,,,,,,,,
32026,-18.867996,-0.666852,-0.039227,,,,,,,,,,,
32107,-20.005568,5.727084,-9.728197,,,,,,,,,,,
32188,-4.471833,5.88399,-2.941995,,,,,,,,,,,
32269,2.353596,2.392823,-1.84365,,,,,,,,,,,
32350,-6.472389,12.984006,-6.590069,,,,,,,,,,,
32431,-20.005568,-0.509946,-6.629296,,,,,,,,,,,
32512,-11.493395,0.11768,3.451941,,,,,,,,,,,
32593,8.159133,0.862985,-3.608848,,,,,,,,,,,
32674,-9.845878,2.392823,-2.353596,,,,,,,,,,,
32755,-20.005568,-16.906666,-0.431493,,,,,,,,,,,
32837,-18.201143,6.276257,-5.452498,,,,,,,,,,,
32918,-3.648074,4.511059,-8.198359,,,,,,,,,,,
32999,3.373488,1.84365,-2.706636,,,,,,,,,,,
33080,-15.847548,11.728755,-4.118793,,,,,,,,,,,
33161,-20.005568,-0.353039,0.470719,,,,,,,,,,,
33242,-5.413271,-1.490611,-4.393379,,,,,,,,,,,
33323,5.88399,2.510503,-3.883434,,,,,,,,,,,
33404,-20.005568,14.906109,-4.667965,,,,,,,,,,,
33485,-13.729311,-8.237586,5.727084,,,,,,,,,,,
33566,-18.005011,0.823759,-2.31437,,,,,,,,,,,
33647,-0.862985,1.176798,-4.785645,,,,,,,,,,,
33728,4.079566,3.80498,-1.412158,,,,,,,,,,,
33809,-20.005568,0.392266,-10.74809,,,,,,,,,,,
33890,-19.574074,-3.255808,2.039783,,,,,,,,,,,
33971,-0.353039,-1.137571,-3.687301,,,,,,,,,,,
34052,1.255251,2.471276,-1.725971,,,,,,,,,,,
34133,-20.005568,9.649744,-20.005568,,,,,,,,,,,
34214,-13.650858,-6.433163,6.707749,,,,,,,,,,,
34295,-12.2387,0.470719,1.019892,,,,,,,,,,,
34376,1.137571,1.372931,-2.981222,,,,,,,,,,,
34457,0,2.981222,-3.451941,,,,,,,,,,,
34538,-20.005568,5.844764,-2.785089,,,,,,,,,,,
34619,-16.945892,-2.275143,2.706636,,,,,,,,,,,
34700,-0.078453,-0.11768,-5.962444,,,,,,,,,,,
34781,-0.902212,2.039783,-1.529837,,,,,,,,,,,
34862,2.902768,18.12269,-1.765197,,,,,,,,,,,
34943,-20.005568,-6.080123,0.902212,,,,,,,,,,,
35024,-6.433163,7.649188,-6.354709,,,,,,,,,,,
35105,6.276257,3.80498,-1.019892,,,,,,,,,,,
35186,-3.961887,3.020448,-10.787315,,,,,,,,,,,
35267,-20.005568,6.080123,-9.610518,,,,,,,,,,,
35348,-13.533178,-3.138128,4.001113,,,,,,,,,,,
35429,7.531507,5.060232,-6.040897,,,,,,,,,,,
35510,-3.098902,3.334261,-0.156906,,,,,,,,,,,
35591,-18.671862,-12.670193,-1.96133,,,,,,,,,,,
35672,-19.024902,7.649188,-4.04034,,,,,,,,,,,
35753,-2.706636,5.217138,-3.569621,,,,,,,,,,,
35834,3.059675,4.118793,-3.687301,,,,,,,,,,,
35915,-10.27737,10.120463,-5.413271,,,,,,,,,,,
35996,-20.005568,0.353039,-0.745305,,,,,,,,,,,
36077,-9.335931,-1.412158,-2.31437,,,,,,,,,,,
36158,8.355267,2.981222,-2.824315,,,,,,,,,,,
36239,-13.572405,3.883434,6.943109,,,,,,,,,,,
36320,-16.74976,-17.495064,7.335374,,,,,,,,,,,
36401,-19.142582,2.785089,-5.962444,,,,,,,,,,,
36482,-1.451384,4.001113,-5.452498,,,,,,,,,,,
36563,1.490611,1.765197,-1.804424,,,,,,,,,,,
36644,-15.612188,18.397276,-0.706079,,,,,,,,,,,
36725,-20.005568,-3.098902,-0.549172,,,,,,,,,,,
36806,-6.629296,-4.001113,-2.941995,,,,,,,,,,,
36887,7.923774,1.451384,-4.550286,,,,,,,,,,,
36968,-19.927114,4.942552,0.274586,,,,,,,,,,,
37049,-18.671862,-19.848661,10.355823,,,,,,,,,,,
37241,-19.41717,16.945892,-7.453054,,,,,,,,,,,
37326,-15.455281,-12.081794,6.23703,,,,,,,,,,,
37424,-16.004454,0.196133,-1.765197,,,,,,,,,,,
37598,4.001113,2.902768,1.176798,,,,,,,,,,,
37697,-19.41717,16.945892,-7.453054,,,,,,,,,,,
37778,-15.455281,-12.081794,6.23703,,,,,,,,,,,
37859,-16.004454,0.196133,-1.765197,,,,,,,,,,,
37940,4.001113,2.902768,1.176798,,,,,,,,,,,
38021,1.647517,1.96133,-0.392266,,,,,,,,,,,
38102,-20.005568,5.138685,-10.238143,,,,,,,,,,,
38183,-17.455837,-8.590626,5.177911,,,,,,,,,,,
38264,2.31437,0.823759,-3.961887,,,,,,,,,,,
38345,0.549172,1.765197,-0.784532,,,,,,,,,,,
38426,-10.904996,11.571848,2.000557,,,,,,,,,,,
38507,-19.6133,-1.333704,1.686744,,,,,,,,,,,
38588,-7.531507,4.354153,-3.373488,,,,,,,,,,,
38669,1.255251,2.157463,-4.471833,,,,,,,,,,,
38750,-8.31604,7.649188,-7.727641,,,,,,,,,,,
38831,-20.005568,-2.549729,4.197247,,,,,,,,,,,
38912,-10.15969,-0.902212,3.216581,,,,,,,,,,,
38993,4.785645,-0.627626,-0.627626,,,,,,,,,,,
39074,-7.178468,-0.274586,-2.353596,,,,,,,,,,,
39155,12.47406,20.005568,-8.237586,,,,,,,,,,,
39236,-18.279596,-1.176798,-9.179025,,,,,,,,,,,
39317,-2.510503,8.041453,-4.197247,,,,,,,,,,,
39398,0.431493,1.137571,-5.099459,,,,,,,,,,,
39479,-6.668522,14.121577,-7.806094,,,,,,,,,,,
39560,-20.005568,3.255808,0.706079,,,,,,,,,,,
39641,-9.963557,-1.725971,0.941438,,,,,,,,,,,
39722,7.335374,-0.313813,-1.84365,,,,,,,,,,,
39803,-15.180696,5.217138,-2.824315,,,,,,,,,,,
39884,-19.495621,-15.69064,4.354153,,,,,,,,,,,
39965,-17.887331,2.07901,-2.275143,,,,,,,,,,,
40046,-0.666852,2.432049,-3.020448,,,,,,,,,,,
40127,2.157463,0.745305,-1.647517,,,,,,,,,,,
40208,-20.005568,10.120463,-9.649744,,,,,,,,,,,
40289,-20.005568,-2.118237,0.627626,,,,,,,,,,,
40370,-1.608291,-1.922104,-3.883434,,,,,,,,,,,
40451,6.315483,5.138685,-2.745862,,,,,,,,,,,
40532,-20.005568,20.005568,-10.63041,,,,,,,,,,,
40613,-19.887888,-9.963557,8.276814,,,,,,,,,,,
40694,-15.219921,6.315483,-4.824872,,,,,,,,,,,
40775,1.098345,-1.84365,-2.588956,,,,,,,,,,,
40856,1.84365,3.334261,-0.941438,,,,,,,,,,,
40937,-20.005568,12.944778,-6.158576,,,,,,,,,,,
41018,-20.005568,-3.883434,1.412158,,,,,,,,,,,
41099,-6.393936,-4.236473,-4.314926,,,,,,,,,,,
41180,5.88399,4.628739,-2.432049,,,,,,,,,,,
41261,-19.966339,20.005568,-18.005011,,,,,,,,,,,
41342,-20.005568,-14.827656,11.101129,,,,,,,,,,,
41423,-16.239815,1.216025,-3.92266,,,,,,,,,,,
41504,1.922104,-0.196133,-2.118237,,,,,,,,,,,
41585,1.765197,2.824315,-2.118237,,,,,,,,,,,
41666,-20.005568,-3.255808,-0.313813,,,,,,,,,,,
41747,-17.926558,-5.88399,3.687301,,,,,,,,,,,
41828,-5.805537,-2.981222,-7.335374,,,,,,,,,,,
41909,4.118793,5.570178,-3.059675,,,,,,,,,,,
41990,-10.787315,5.530951,-0.980665,,,,,,,,,,,
42071,-16.985119,-3.844207,1.686744,,,,,,,,,,,
42152,-7.139242,6.590069,-2.19669,,,,,,,,,,,
42233,5.295591,4.118793,-5.177911,,,,,,,,,,,
42314,-1.255251,0.980665,-10.002784,,,,,,,,,,,
42395,-20.005568,1.647517,-3.177355,,,,,,,,,,,
42476,-12.081794,-1.686744,2.392823,,,,,,,,,,,
42557,10.787315,6.040897,2.824315,,,,,,,,,,,
42638,-4.864099,2.275143,-1.804424,,,,,,,,,,,
42719,9.924331,12.434833,1.372931,,,,,,,,,,,
42800,-20.005568,-0.823759,-7.649188,,,,,,,,,,,
42881,-2.039783,7.413828,-3.059675,,,,,,,,,,,
42962,2.981222,4.079566,-4.903325,,,,,,,,,,,
