"NAME:walk_5_1.csv"
"EXPIRAMENT TIME:","Thu Jun 08 14:40:43 GMT+03:00 2023"
"ACTIVITY TYPE:","Walk"
"COUNT OF ACTUAL STEPS::","110"

"TIME","ACCX","ACCY","ACCZ"
"1.1200000000000008","6.20","-5.81","-5.96","1239"
"1.1300000000000008","9.57","3.53","-5.73","1240"
"1.1400000000000008","8.43","2.71","-5.65","1241"
"1.1500000000000008","7.22","3.45","-3.06","1242"
"1.1600000000000008","6.90","1.80","-5.22","1243"
"1.1700000000000008","6.98","-7.85","-8.47","1244"
"1.1800000000000008","11.02","4.47","-5.88","1245"
"1.1900000000000008","7.85","5.22","-4.55","1246"
"1.2000000000000008","7.77","1.29","-0.71","1247"
"1.2100000000000009","8.55","0.75","-5.65","1248"
