NAME:run_3_2.csv,,,,
EXPIRAMENT TIME:,Thu Jun 08 14:58:43 GMT+03:00 2023,,,
ACTIVITY TYPE:,Run,,,
COUNT OF ACTUAL STEPS::,113,,,
,,,,
TIME,ACCX,ACCY,ACCZ,
0,8.79,-0.35,-2.94,66
0.01,8.71,-3.22,0.39,67
0.02,17.22,-2.24,-5.06,68
0.03,10.04,-0.04,-3.77,69
0.04,4.79,0.08,-2.82,70
0.05,2.67,0.12,2.28,71
0.06,20.01,-0.78,-7.06,72
0.07,18.01,-1.65,-7.22,73
0.08,5.33,-0.31,-1.18,74
0.09,1.92,-1.18,1.22,75
0.1,16.16,-4.63,-7.18,76
0.11,18.51,-7.92,-5.14,77
0.12,5.65,1.77,-2.86,78
0.13,5.57,0.39,-1.45,79
0.14,3.18,-0.51,0.9,80
0.15,18.67,-9.81,-3.53,81
0.16,17.57,-7.1,-6.47,82
0.17,8.59,0.78,-3.41,83
0.18,5.92,-0.16,-2.28,84
0.19,1.69,0.75,-0.31,85
0.2,5.73,-0.16,2.08,86
0.21,15.3,-2.71,-8.16,87
0.22,8.43,-0.16,-3.84,88
0.23,4.16,0.86,-1.45,89
0.24,1.96,0.55,0.31,90
0.25,20.01,-5.73,-1.8,91
0.26,19.65,-5.65,-4.98,92
0.27,4.75,0.9,-3.53,93
0.28,2.55,-0.78,3.02,94
0.29,6.67,-3.45,4.82,95
0.3,18.75,-1.45,-1.88,96
0.31,15.89,-4.16,-3.1,97
0.32,6.24,-0.59,-4.16,98
0.33,2.55,1.37,0.9,99
0.34,4.67,-3.33,2.39,100
0.35,17.81,-4.94,-4.24,101
0.36,20.01,-4.51,-6.55,102
0.37,6.47,-0.63,-3.96,103
0.38,6.43,0.71,0.55,104
0.39,2.51,0.59,0,105
0.4,7.88,-0.35,3.3,106
0.41,15.65,0.35,-0.08,107
0.42,18.36,-2.31,-4.04,108
0.43,9.73,-0.78,-1.84,109
0.44,5.65,0.27,-1.96,110
0.45,2.9,1.26,0.86,111
0.46,4.79,1.26,-0.67,112
0.47,20.01,-4.9,-1.33,113
0.48,19.06,-8.71,-6.04,114
0.49,10.59,-1.14,-4.55,115
0.5,7.3,-1.26,-1.29,116
0.51,-0.31,0.31,0.59,117
0.52,7.22,-1.92,2.71,118
0.53,12.32,-4.43,-8.2,119
0.54,11.73,-2.59,-3.61,120
0.55,5.84,-2.04,-1.18,121
0.56,2.12,0.04,0.31,122
0.57,19.18,-7.14,-2.47,123
0.58,19.1,-3.65,-4.94,124
0.59,5.1,-0.35,-2.35,125
0.6,2.47,1.41,2.47,126
0.61,1.88,1.69,0.27,127
0.62,19.85,-5.37,-2.71,128
0.63,19.97,-7.02,-5.61,129
0.64,5.1,-0.08,-2.86,130
0.65,3.45,1.1,0.35,131
0.66,2.9,-0.86,1.33,132
0.67,16.71,-3.53,-4.16,133
0.68,16.75,-4.2,-3.41,134
0.69,5.18,1.49,-1.14,135
0.7,2.75,2.31,0.51,136
0.71,2.12,0.39,-2.16,137
0.72,19.42,-7.22,-1.33,138
0.73,20.01,-7.45,-4.12,139
0.74,7.02,-1.69,-1.96,140
0.75,2.55,0.35,1.57,141
0.76,2.51,0.16,1.57,142
0.77,16.79,-2.43,-1.69,143
0.78,16.24,-3.06,-2.79,144
0.79,6.55,-0.78,-1.8,145
0.8,5.02,-0.63,4.28,146
0.81,20.01,-1.02,-4.08,147
0.82,16.67,0.59,-2.79,148
0.83,7.53,0.67,-1.88,149
0.84,6.2,-0.24,-1.02,150
0.85,3.84,-0.35,1.92,151
0.86,19.93,-3.57,-3.1,152
0.87,15.49,0.75,-1.37,153
0.88,10.79,-2.08,-1.73,154
0.89,6,1.18,-3.49,155
0.9,3.02,-0.04,1.61,156
0.91,7.49,-1.49,2.55,157
0.92,15.53,-1.37,-3.06,158
0.93,12.32,-3.14,-1.65,159
0.94,6.51,-0.04,-3.61,160
0.95,3.02,1.41,0.24,161
0.96,3.18,1.29,0.39,162
0.97,17.18,-5.84,-0.67,163
0.98,12.36,-4.79,-4.35,164
0.99,9.69,-2.04,-2.94,165
1,8.51,-0.71,-1.26,166
1.01,4.98,0.04,-0.59,167
1.02,5.77,0.24,0.39,168
1.03,16.67,-2.59,0.39,169
1.04,18.04,-4.08,-2.98,170
1.05,6.94,-0.08,-0.9,171
1.06,6,-0.24,-1.49,172
1.07,3.06,1.61,2.28,173
1.08,10.98,-5.53,0,174
1.09,15.61,-0.35,-0.47,175
1.1,11.14,-2.59,-2.63,176
1.11,6,0.12,-2.2,177
1.12,3.61,1.02,2.2,178
1.13,19.65,-2.16,-6.86,179
1.14,17.3,4.35,-3.69,180
1.15,6.55,-0.43,-1.57,181
1.16,5.73,-0.67,-1.49,182
1.17,4.24,1.06,0.98,183
1.18,5.37,0.71,-2.98,184
1.19,12.12,-4.43,1.02,185
1.2,14.59,-2.04,-2.12,186
1.21,19.97,-5.3,-3.96,187
1.22,8.32,-0.24,-2.55,188
1.23,3.26,-2.63,0.31,189
1.24,13.93,-2.55,3.69,190
1.25,17.69,-7.57,-5.88,191
1.26,5.26,-1.73,-2.31,192
1.27,9.41,-0.51,-1.88,193
