NAME:,walk_4_1.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 11:54,,,,,,,,,,,,,
ACTIVITY TYPE:,Walking,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
274910,-7.649188,-4.628739,0.156906,,,,,,,,,,,
274991,-8.08068,0.706079,-0.156906,,,,,,,,,,,
275072,-9.257479,-2.510503,0.039227,,,,,,,,,,,
275153,-7.806094,-0.588399,-0.196133,,,,,,,,,,,
275234,-10.081236,-0.627626,-0.431493,,,,,,,,,,,
275315,-10.826543,-1.176798,0.823759,,,,,,,,,,,
275396,-12.827099,-0.980665,2.392823,,,,,,,,,,,
275477,-9.335931,-4.432606,-2.000557,,,,,,,,,,,
275558,-12.199473,-4.471833,2.039783,,,,,,,,,,,
275639,-8.786758,0.039227,-0.078453,,,,,,,,,,,
275720,-5.452498,-0.274586,0.627626,,,,,,,,,,,
275801,-7.178468,-0.549172,2.824315,,,,,,,,,,,
275882,-6.393936,1.294478,-1.255251,,,,,,,,,,,
275963,-12.395606,-1.255251,3.138128,,,,,,,,,,,
276044,-11.650301,-3.844207,0.784532,,,,,,,,,,,
276607,-5.452498,-0.274586,0.627626,,,,,,,,,,,
277031,-7.178468,-0.549172,2.824315,,,,,,,,,,,
277207,-6.393936,1.294478,-1.255251,,,,,,,,,,,
277983,-12.395606,-1.255251,3.138128,,,,,,,,,,,
278103,-11.650301,-3.844207,0.784532,,,,,,,,,,,
278134,-5.452498,-0.274586,0.627626,,,,,,,,,,,
278209,-7.178468,-0.549172,2.824315,,,,,,,,,,,
278262,-6.393936,1.294478,-1.255251,,,,,,,,,,,
278310,-12.395606,-1.255251,3.138128,,,,,,,,,,,
278355,-11.650301,-3.844207,0.784532,,,,,,,,,,,
278622,-8.002227,-1.529837,0.274586,,,,,,,,,,,
278703,-9.022119,-0.11768,-0.156906,,,,,,,,,,,
279594,-6.707749,-1.216025,-0.509946,,,,,,,,,,,
279675,-9.688971,-4.667965,1.372931,,,,,,,,,,,
279756,-8.394493,-1.412158,-0.509946,,,,,,,,,,,
279837,-9.532064,0.11768,-0.078453,,,,,,,,,,,
279918,-9.453611,-0.745305,0.549172,,,,,,,,,,,
279999,-12.35638,0.588399,-1.451384,,,,,,,,,,,
280080,-15.063015,-2.824315,0.509946,,,,,,,,,,,
280161,-9.885103,-5.256365,0.078453,,,,,,,,,,,
280242,-11.611073,-2.31437,0.509946,,,,,,,,,,,
280323,-8.276814,0.745305,0.23536,,,,,,,,,,,
280404,-5.295591,-0.627626,1.765197,,,,,,,,,,,
280485,-7.060789,0.745305,2.432049,,,,,,,,,,,
280566,-20.005568,-5.687858,4.393379,,,,,,,,,,,
280647,-12.081794,2.353596,1.804424,,,,,,,,,,,
280728,-7.649188,-5.021005,0.078453,,,,,,,,,,,
280809,-8.159133,0.509946,0.11768,,,,,,,,,,,
280890,-9.375158,-2.588956,-0.627626,,,,,,,,,,,
280971,-7.963,-0.11768,-0.039227,,,,,,,,,,,
281052,-10.04201,-0.431493,-0.627626,,,,,,,,,,,
281133,-10.473503,-1.765197,0.549172,,,,,,,,,,,
281214,-13.886217,-1.176798,2.31437,,,,,,,,,,,
281295,-10.316596,-4.15802,-2.275143,,,,,,,,,,,
281376,-10.865768,-5.060232,2.510503,,,,,,,,,,,
281457,-10.39505,0.313813,-0.353039,,,,,,,,,,,
281538,-5.452498,0.156906,0.784532,,,,,,,,,,,
281619,-6.197803,-0.313813,2.471276,,,,,,,,,,,
281700,-7.570734,0.588399,-0.470719,,,,,,,,,,,
281781,-13.101686,-2.118237,3.412714,,,,,,,,,,,
281862,-11.924888,-4.197247,1.608291,,,,,,,,,,,
281943,-7.884547,-1.216025,-0.784532,,,,,,,,,,,
282024,-10.591183,-4.393379,1.294478,,,,,,,,,,,
282105,-7.727641,-1.137571,0.156906,,,,,,,,,,,
282186,-9.179025,-0.313813,-0.196133,,,,,,,,,,,
282267,-9.924331,-0.627626,0.078453,,,,,,,,,,,
282348,-12.59174,0.353039,-1.176798,,,,,,,,,,,
282429,-13.925444,-2.31437,-0.23536,,,,,,,,,,,
282510,-10.787315,-5.88399,0.23536,,,,,,,,,,,
282591,-10.434276,-2.19669,0.784532,,,,,,,,,,,
282672,-8.355267,-0.156906,-0.039227,,,,,,,,,,,
282753,-5.452498,-0.862985,1.804424,,,,,,,,,,,
282834,-6.746975,1.137571,2.392823,,,,,,,,,,,
282915,-20.005568,-4.589512,3.726527,,,,,,,,,,,
282996,-13.297818,1.882877,3.020448,,,,,,,,,,,
283077,-8.276814,-4.981779,0.23536,,,,,,,,,,,
283158,-8.002227,1.059118,0.196133,,,,,,,,,,,
283239,-9.375158,-2.31437,-0.549172,,,,,,,,,,,
283320,-7.492281,-0.549172,0.196133,,,,,,,,,,,
283401,-10.04201,-0.078453,-0.392266,,,,,,,,,,,
283482,-10.904996,-0.941438,0.313813,,,,,,,,,,,
283563,-14.631523,-2.039783,1.098345,,,,,,,,,,,
283644,-10.51273,-4.511059,-2.118237,,,,,,,,,,,
283725,-11.493395,-4.746419,2.157463,,,,,,,,,,,
283806,-9.845878,0.039227,-0.588399,,,,,,,,,,,
283887,-5.491724,-0.588399,0.745305,,,,,,,,,,,
283968,-5.687858,0.156906,2.510503,,,,,,,,,,,
284049,-7.453054,0.941438,-0.745305,,,,,,,,,,,
284130,-11.336488,-0.509946,3.530394,,,,,,,,,,,
284211,-12.748646,-5.256365,-0.039227,,,,,,,,,,,
284292,-8.002227,-0.902212,0.11768,,,,,,,,,,,
284373,-10.473503,-3.020448,0.196133,,,,,,,,,,,
284454,-7.256921,-0.941438,0.078453,,,,,,,,,,,
284535,-8.865212,-0.980665,0.078453,,,,,,,,,,,
284616,-10.591183,-2.275143,0.902212,,,,,,,,,,,
284697,-12.160246,0.745305,2.471276,,,,,,,,,,,
284778,-10.081236,-3.138128,-3.138128,,,,,,,,,,,
285507,-10.944222,-4.589512,0.706079,,,,,,,,,,,
285588,-7.531507,-1.922104,-0.11768,,,,,,,,,,,
286398,-18.554182,-4.942552,5.413271,,,,,,,,,,,
286479,-12.59174,-0.980665,0.941438,,,,,,,,,,,
287451,-6.354709,1.451384,0.509946,,,,,,,,,,,
287937,-8.551399,0.470719,-0.392266,,,,,,,,,,,
288018,-9.80665,-0.549172,-0.23536,,,,,,,,,,,
288099,-11.258035,-2.432049,0.706079,,,,,,,,,,,
288180,-15.102242,-2.628182,1.255251,,,,,,,,,,,
288261,-8.904439,-3.844207,-2.039783,,,,,,,,,,,
288342,-11.611073,-5.727084,1.96133,,,,,,,,,,,
288423,-9.610518,0.274586,0.11768,,,,,,,,,,,
288504,-6.158576,-0.078453,0.549172,,,,,,,,,,,
288585,-6.629296,-0.039227,2.745862,,,,,,,,,,,
288666,-9.414385,0.039227,-0.039227,,,,,,,,,,,
288747,-13.062458,-1.176798,3.726527,,,,,,,,,,,
288828,-10.904996,-5.727084,1.019892,,,,,,,,,,,
288909,-8.276814,-0.078453,-0.549172,,,,,,,,,,,
288990,-9.924331,-3.569621,0.196133,,,,,,,,,,,
289071,-7.453054,-1.725971,0.23536,,,,,,,,,,,
289152,-9.532064,-0.470719,-0.627626,,,,,,,,,,,
289233,-10.081236,-0.980665,1.098345,,,,,,,,,,,
289314,-12.395606,0.11768,1.725971,,,,,,,,,,,
289395,-10.904996,-4.707192,-2.275143,,,,,,,,,,,
289476,-11.53262,-5.413271,2.31437,,,,,,,,,,,
289557,-9.728197,1.372931,-0.862985,,,,,,,,,,,
289638,-6.590069,-0.862985,0.980665,,,,,,,,,,,
289719,-6.511616,-0.823759,2.745862,,,,,,,,,,,
289800,-6.197803,1.608291,1.882877,,,,,,,,,,,
289881,-14.709976,-2.902768,4.589512,,,,,,,,,,,
289962,-13.415498,0.941438,-0.823759,,,,,,,,,,,
290043,-7.178468,-3.177355,0.980665,,,,,,,,,,,
290124,-11.179583,-3.059675,0.980665,,,,,,,,,,,
290205,-7.727641,-2.157463,-0.509946,,,,,,,,,,,
290286,-8.276814,-0.980665,0.039227,,,,,,,,,,,
290367,-9.532064,-0.313813,0.509946,,,,,,,,,,,
290448,-12.199473,1.451384,-1.608291,,,,,,,,,,,
290529,-13.61163,-3.608848,-0.196133,,,,,,,,,,,
290610,-10.63041,-6.11935,-0.039227,,,,,,,,,,,
290691,-10.198917,-1.569064,0.509946,,,,,,,,,,,
290772,-8.198359,0,1.019892,,,,,,,,,,,
290853,-5.805537,-0.862985,2.039783,,,,,,,,,,,
290934,-6.629296,1.137571,1.294478,,,,,,,,,,,
291015,-20.005568,-6.00167,5.099459,,,,,,,,,,,
291096,-13.454725,3.92266,2.549729,,,,,,,,,,,
291177,-7.021562,-5.88399,0.862985,,,,,,,,,,,
291258,-9.296705,0.627626,-0.274586,,,,,,,,,,,
291339,-8.825986,-3.255808,-0.078453,,,,,,,,,,,
291420,-8.119907,-0.039227,-0.509946,,,,,,,,,,,
291501,-9.728197,0.11768,-0.353039,,,,,,,,,,,
291582,-11.454168,-1.412158,1.490611,,,,,,,,,,,
291663,-14.827656,-1.059118,1.216025,,,,,,,,,,,
291744,-9.022119,-5.76631,-1.216025,,,,,,,,,,,
291825,-11.650301,-4.471833,1.882877,,,,,,,,,,,
291906,-10.081236,1.255251,-0.392266,,,,,,,,,,,
