NAME:,run_5_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:51,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,156,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
0.005,-0.55,-7.34,1.29
0.045,1.92,-10.47,1.88
0.15,2.82,-12.43,3.65
0.162,3.88,-12,3.26
0.199,1.45,-8.79,2.71
0.232,-0.27,-8.12,-4.04
0.285,-0.94,-10.43,-1.65
0.354,-0.35,-12.83,-4.35
0.409,-0.39,-10.79,-6.24
0.457,-2.2,-13.65,-5.06
0.509,-2.28,-10.87,-3.37
0.559,-1.77,-6.9,-3.41
0.585,-3.8,-4.71,1.88
0.638,-3.73,-7.45,0.2
0.69,-0.9,-11.61,2.31
0.742,-0.55,-12.32,4.24
0.851,-0.98,-17.5,0.2
0.857,4.2,-14.08,4.94
0.898,2.63,-10.08,1.53
0.956,0.39,-3.77,0.59
1.01,1.26,-2.12,2.9
1.059,-2.2,-0.94,6.55
1.118,-3.22,-14.47,7.41
1.166,4.04,-18.59,2.9
1.22,1.33,-15.89,-4.82
1.251,-1.88,-11.41,-1.61
1.31,-2.63,-4.16,-3.8
1.458,6.59,-15.69,-6
1.52,-0.39,-16.95,-0.2
1.572,1.73,-14.2,0.75
1.618,4.94,-16.24,4.2
1.669,3.84,-8.36,-0.47
1.717,-0.24,-2,1.69
1.769,-0.63,-1.53,7.26
1.826,-1.14,2.12,12.4
1.88,3.77,-20.01,6.83
1.932,2.94,-19.85,0.55
2.001,2.16,-17.34,-3.3
2.071,-4.08,-6.79,-4.59
2.075,0.47,0.9,-1.37
2.124,-4.16,-0.9,2.12
2.174,-13.89,-4,0.24
2.224,9.3,-12.79,-5.33
2.276,6.67,-17.89,0.35
2.326,0.59,-20.01,2.24
2.377,2.47,-15.34,3.61
2.429,2,-4.98,2.04
2.48,-2.04,-0.35,5.26
2.531,1.29,-0.94,0.39
2.603,-2.08,-14.47,-5.49
2.654,-2.31,-20.01,9.57
2.719,3.02,-15.97,-1.61
2.747,-4.43,-9.89,-4.35
2.788,-1.96,-3.77,-4.67
3.081,0.9,-1.33,-4.43
3.091,-1.22,-0.82,1.92
3.147,2.75,-12.43,4.04
3.2,1.37,-3.96,1.69
3.251,-2.35,-0.67,4.9
3.295,-2.08,-0.2,-2.9
3.376,1.02,-4.67,7.06
3.401,-5.84,-20.01,14.87
3.455,5.53,-12.87,-1.22
3.52,-0.82,-9.61,-1.69
3.572,-4.9,-7.49,-7.65
3.622,-3.26,-0.04,-3.88
3.67,0.08,-0.08,4.51
3.727,-8.71,-4.94,10.79
3.759,-6.67,-8.43,10.04
3.81,1.26,-12.32,-0.86
3.873,3.77,-15.53,-1.8
3.927,3.84,-20.01,6.67
4.039,5.69,-6.04,0.71
4.052,0.35,-0.55,1.73
4.076,-4.04,-2.67,2.08
4.127,3.18,0.63,6.55
4.179,2.82,-19.65,3.33
4.235,2.55,-20.01,0.78
4.287,0,-17.85,-5.14
4.315,-3.33,-7.77,-1.57
4.368,1.14,-4.16,-3.33
4.418,-3.77,-0.2,-0.27
4.487,-1.73,0,2.67
4.52,13.3,-20.01,3.77
4.648,5.37,-20.01,0.12
4.659,0.75,-13.45,-4.55
4.68,1.61,-14.71,3.92
4.733,4.9,-10.59,3.06
4.787,0.71,-4.16,-0.43
4.827,-0.2,-0.08,4.39
4.901,4.35,2.59,9.73
4.929,-0.82,-20.01,4.51
5.001,6.16,-20.01,5.02
5.031,2.47,-14.55,-0.86
5.085,-3.61,-9.41,-3.37
5.143,-1.33,-2.86,-3.73
5.236,-2,-0.82,-0.12
5.245,-1.02,9.41,10.55
5.303,8.08,-20.01,6.79
5.353,3.96,-19.34,0.59
5.403,-1.33,-14.79,-2.39
5.434,2.39,-15.14,2.04
5.511,6.28,-7.34,2.16
5.559,-0.71,-4.35,1.18
5.591,-2.43,-0.78,3.26
5.638,5.14,2.16,6.47
5.715,-3.53,-20.01,4.63
5.75,1.57,-18.01,2.86
5.797,-0.08,-16.48,-1.61
5.869,-3.06,-8.39,-3.22
5.9,-1.45,-8.24,-5.92
5.972,-0.59,1.26,0.39
6,-1.73,0.86,8
6.057,4.71,-12.79,-9.3
6.11,5.1,-14.12,-1.45
6.171,-1.18,-18.51,-2.71
6.206,5.45,-11.53,3.06
6.264,4,-11.53,5.77
6.312,-0.04,-3.33,1.73
6.362,-0.47,-1.1,2.98
6.413,-1.57,-0.71,-0.82
6.46,-0.51,-10.83,3.84
6.571,-3.45,-20.01,13.34
6.582,2.98,-16.28,-0.98
6.632,-2.08,-10.87,-3.26
6.687,-0.78,-7.57,-4.28
6.71,-0.63,-0.39,-1.96
6.768,0.35,0.04,3.18
6.827,-12.08,-4.71,2.63
6.881,2.67,-10.75,6.63
6.926,0.12,-9.96,0.55
6.981,3.84,-19.18,1.61
7.04,4.55,-11.22,2.16
7.094,3.77,-7.02,-1.1
7.117,1.06,-1.49,5.69
7.195,-1.69,-0.82,0.75
7.226,-4.55,-11.89,3.77
7.281,-3.96,-15.93,14.24
7.332,4.82,-20.01,0.47
7.385,-2.43,-14.55,-2.86
7.439,-3.69,-5.57,-4.51
7.477,0.43,-0.94,-2.12
7.547,-0.47,-0.71,1.69
7.598,-1.8,-2.28,6.94
7.649,9.18,5.18,-5.14
7.701,5.73,-13.22,2.79
7.747,0.27,-16.63,-2.51
7.819,5.96,-13.06,2.55
7.852,3.53,-5.53,-0.27
7.884,1.41,-2.43,2.16
7.949,-2.12,1.26,2.82
8.001,0.24,2.04,11.49
8.056,3.41,-20.01,6.9
8.097,2.63,-18.12,1.41
8.356,2.51,-13.53,-1.61
8.364,-1.96,-9.92,-2.04
8.373,-1.8,-4.86,-5.77
8.377,-2.47,-0.27,0.27
8.38,-3.06,-0.9,16.48
8.397,4.16,-10.67,-2.98
8.494,-0.04,-14.4,3.37
8.503,-0.47,-15.85,-2.79
8.556,5.33,-15.81,5.33
8.608,3.3,-10.43,4.47
8.658,-0.67,-2.51,2.04
8.72,-1.22,0.08,4.39
8.753,-2.9,0.35,9.61
8.809,2.43,-20.01,8.04
8.86,7.1,-18.71,3.37
8.907,0.98,-15.18,-2.43
8.96,-2.24,-7.22,-2.35
9.012,-2.86,-4.35,-3.18
9.126,-0.08,-1.18,0.51
9.136,0.86,1.73,7.06
9.158,10.67,-13.69,-6
9.219,1.49,-14.24,2.04
9.277,2.04,-16.59,-3.49
9.329,3.18,-17.57,4.67
9.375,3.1,-8.28,3.3
9.429,2.51,-3.18,-0.39
9.484,-3.57,-0.35,4.35
9.536,-4.43,0,9.65
9.584,5.3,-20.01,6.71
9.639,7.02,-20.01,3.45
9.683,-0.16,-13.1,-0.24
9.794,-3.26,-6.94,-0.98
9.803,-2.2,-4.71,-3.1
9.828,-0.98,-0.24,-0.51
9.884,-0.27,-2.82,9.22
9.945,-2.47,-19.69,3.53
9.996,-0.71,-20.01,4.43
10.051,0.04,-16.16,-0.43
10.076,4.9,-12.91,0.55
10.134,3.57,-8.83,3.37
10.188,-0.51,-1.1,-1.1
10.239,-1.33,2.08,5.45
10.29,-1.33,-1.37,1.02
10.434,2.51,-14.08,-1.96
10.488,-3.57,-10.47,-4.24
10.558,-1.1,-7.57,-5.49
10.605,1.65,0.47,-1.65
10.654,1.22,5.53,8.43
10.688,-7.61,-17.26,1.69
