""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""426651.0""","""9.53""","""-3.1""","""0.2"""
"""426752.0""","""10.04""","""-2.94""","""-0.27"""
"""426853.0""","""9.41""","""-2.94""","""0.0"""
"""426954.0""","""10.0""","""-2.35""","""-0.16"""
"""4.2705512E7""","""10.75""","""-3.49""","""0.31"""
"""427257.0""","""6.51""","""-3.3""","""3.45"""
"""427358.0""","""11.53""","""-9.41""","""3.84"""
"""427459.0""","""20.01""","""-2.79""","""-0.08"""
"""427560.0""","""7.1""","""-5.06""","""2.24"""
"""427661.0""","""-4.63""","""2.12""","""-3.49"""
"""427762.0""","""-1.06""","""-2.79""","""10.67"""
"""427863.0""","""20.01""","""5.02""","""2.63"""
"""427964.0""","""8.28""","""-6.71""","""-0.24"""
"""428065.0""","""-8.47""","""-3.88""","""1.14"""
"""428166.0""","""16.59""","""-7.73""","""-2.28"""
"""428267.0""","""20.01""","""-2.86""","""-0.71"""
"""428368.0""","""-6.24""","""-7.49""","""4.75"""
"""428469.0""","""3.53""","""-8.12""","""6.86"""
"""428570.0""","""20.01""","""17.73""","""-3.06"""
"""428671.0""","""9.61""","""4.16""","""-0.16"""
"""428772.0""","""-12.87""","""-10.04""","""6.04"""
"""428873.0""","""12.47""","""-6.2""","""2.43"""
"""428974.0""","""20.01""","""-2.0""","""-6.94"""
"""429075.0""","""-10.32""","""-5.73""","""-1.96"""
"""429176.0""","""5.3""","""-4.67""","""6.16"""
"""429277.0""","""20.01""","""14.98""","""-20.01"""
"""429378.0""","""5.41""","""1.37""","""-1.14"""
"""429479.0""","""-11.53""","""2.28""","""2.98"""
"""429580.0""","""6.55""","""4.31""","""20.01"""
"""429681.0""","""20.01""","""7.92""","""6.28"""
"""429782.0""","""-19.77""","""-1.41""","""6.67"""
"""429883.0""","""1.33""","""-9.57""","""8.59"""
"""429984.0""","""19.81""","""-6.08""","""-12.51"""
"""430085.0""","""1.65""","""2.35""","""4.75"""
"""430186.0""","""-11.34""","""3.02""","""3.73"""
"""430287.0""","""20.01""","""-20.01""","""-16.48"""
"""430388.0""","""10.83""","""5.84""","""2.16"""
"""430489.0""","""-11.92""","""4.35""","""-0.47"""
"""430590.0""","""20.01""","""-20.01""","""-20.01"""
"""430691.0""","""13.89""","""-3.92""","""12.43"""
"""430792.0""","""2.39""","""-9.02""","""-0.55"""
"""430893.0""","""-4.04""","""2.67""","""1.29"""
"""430994.0""","""-0.2""","""-8.2""","""14.55"""
"""431095.0""","""8.75""","""-1.14""","""1.88"""
"""431196.0""","""-8.63""","""2.79""","""0.31"""
"""431297.0""","""0.31""","""-20.01""","""18.4"""
"""431398.0""","""16.79""","""-4.86""","""2.24"""
"""431499.0""","""0.98""","""6.12""","""-7.77"""
"""431600.0""","""-3.1""","""0.51""","""-0.08"""
"""431701.0""","""20.01""","""-4.94""","""0.35"""
"""431802.0""","""7.81""","""-0.24""","""-4.31"""
"""431903.0""","""-3.8""","""2.43""","""-2.12"""
"""432004.0""","""20.01""","""-20.01""","""-20.01"""
"""432105.0""","""10.98""","""4.75""","""4.2"""
"""432206.0""","""-3.88""","""-12.67""","""4.0"""
"""432307.0""","""2.71""","""-2.24""","""-2.12"""
"""432610.0""","""-1.49""","""10.4""","""-3.3"""
"""432711.0""","""20.01""","""20.01""","""-12.36"""
"""432812.0""","""11.1""","""3.69""","""-1.96"""
"""432913.0""","""-3.92""","""-10.75""","""-3.53"""
"""433014.0""","""7.61""","""-4.67""","""15.85"""
"""433115.0""","""20.01""","""-0.08""","""-1.8"""
"""433216.0""","""-8.04""","""3.18""","""2.86"""
"""433317.0""","""2.51""","""-4.39""","""4.94"""
"""433418.0""","""20.01""","""18.08""","""11.22"""
"""433519.0""","""8.0""","""2.55""","""1.45"""
