Time [sec],ACC X,ACC Y,ACC Z
0.005,1.1,-9.61,-0.27
0.068,1.69,-10.16,0.71
0.118,3.53,-8.63,-1.37
0.167,-1.33,-12.51,-2.43
0.198,-0.12,-8.36,-2.2
0.323,0.94,-8.67,-2.28
0.328,0.24,-8.55,-2.2
0.361,-0.51,-8.83,-2.59
0.416,0.16,-8.71,-2.35
0.467,1.02,-9.18,-2.43
0.522,0.67,-9.89,-2.79
0.571,1.33,-9.34,-2.94
0.619,5.18,-10.04,-1.84
0.673,4.12,-14.08,0.04
0.728,1.8,-7.34,-0.67
0.787,2.63,-10.83,1.14
0.82,3.53,-10.2,0.12
0.875,1.14,-10.08,0.59
0.961,0.78,-8.04,0.47
0.967,-0.16,-8.51,0.35
1.04,0.39,-9.14,0.16
1.096,0.04,-9.3,-0.2
1.122,0.04,-9.26,0.2
1.175,0.98,-9.26,0.78
1.227,1.22,-9.96,1.53
1.28,-0.71,-10.43,0.47
1.331,0.86,-11.61,-0.55
1.384,0.78,-13.06,1.92
1.442,3.45,-12.12,2.47
1.495,1.73,-7.73,-0.51
1.541,2.71,-12.28,2.31
1.683,1.1,-7.96,-0.08
1.737,1.53,-7.69,-0.67
1.789,0.47,-8.51,-1.41
1.847,0.08,-8.87,-1.73
1.899,1.22,-10.9,-1.41
1.96,0.35,-11.96,-2.24
2.009,2.28,-13.57,-0.16
2.061,4.39,-11.92,-0.27
2.114,1.61,-6.9,0.63
2.166,0.82,-10.94,1.02
2.242,2.08,-11.02,0.75
2.253,1.41,-8.24,0.39
2.298,0.55,-8.2,0.9
2.353,-0.08,-9.22,0.59
2.401,0.35,-9.53,0.27
2.452,0.12,-9.18,0.71
2.505,0.51,-9.3,0.24
2.56,0.82,-10.75,1.14
2.615,-0.35,-10.16,-0.04
2.671,2.04,-12.59,-0.82
2.719,0.59,-12.4,2.98
2.753,2.75,-10.59,2.08
2.806,2.55,-10.87,1.53
2.965,0.71,-8.16,-0.16
3.024,0.94,-7.88,-0.59
3.317,0.59,-8.32,-0.75
3.326,0.27,-8.67,-2.24
3.335,0.63,-9.34,-2.31
3.381,0.67,-8.79,0.04
3.438,0.86,-10.28,1.77
3.497,2.31,-9.85,-0.35
3.521,1.06,-11.53,1.1
3.573,0.08,-8.32,1.18
3.622,0.67,-8.43,0.51
3.681,0.78,-9.14,0.2
3.729,0.12,-8.79,0.08
3.79,-0.67,-9.14,-0.43
3.824,0.51,-9.81,0.67
3.882,0.39,-9.73,1.45
3.932,0.12,-10,-1.29
3.987,0.78,-13.65,0.98
4.043,2.75,-11.38,2.24
4.095,1.69,-11.38,0.51
4.154,2.82,-11.85,1.92
4.233,0.63,-9.49,0.51
4.262,0.04,-7.3,-0.59
4.299,0.78,-7.34,-0.82
4.357,1.45,-7.81,-0.78
4.405,0.39,-7.34,-0.67
4.438,-0.43,-8.51,-2.04
4.489,0.04,-11.57,-0.9
4.546,0.55,-11.02,-2.28
4.603,2.08,-11.57,-3.3
4.657,5.92,-14,3.14
4.706,1.77,-7.85,1.22
4.762,1.84,-11.34,0.67
4.824,1.02,-10.47,0.63
4.846,-0.12,-9.41,1.69
4.9,0.2,-7.69,0.12
4.959,0,-8.36,0.24
5.007,0.27,-8.87,0
5.06,-0.08,-8.75,-0.27
5.111,-0.43,-9.73,-0.08
5.165,0.67,-9.06,1.18
5.224,-0.9,-9.96,-0.71
5.25,1.02,-11.14,-0.63
5.306,-0.9,-14.55,2.71
5.365,1.77,-10.98,0.39
5.414,3.1,-13.06,1.45
5.478,2.47,-12.2,0.59
5.538,-0.9,-8.79,-0.43
5.557,0.35,-6.24,-0.04
5.614,0.35,-7.61,-1.14
5.674,0.08,-7.26,-1.33
5.729,-0.2,-7.18,-1.33
5.782,0.16,-10.08,-1.22
5.835,1.88,-14.87,-0.43
5.863,-1.14,-10.87,-4.94
5.918,5.88,-17.14,3.8
5.974,2.63,-7.88,1.41
6.082,0.82,-11.02,1.06
6.095,0.55,-10.2,0.39
6.143,1.37,-9.65,0.35
6.172,-0.47,-7.41,1.02
6.24,-0.98,-7.73,0.55
6.296,0.16,-9.14,-0.04
6.342,-0.35,-8.75,0.08
6.398,-0.2,-9.26,0.24
6.45,0.16,-10.16,0.9
6.477,-1.26,-10.4,0.82
6.528,-0.75,-12.24,0.98
6.58,1.8,-13.65,4.04
6.632,2.16,-9.89,1.06
6.796,0.51,-8,-0.31
6.835,0.63,-6.98,-0.2
6.893,-0.08,-6.86,-0.75
6.946,0.71,-6.71,-0.24
6.998,0.27,-7.61,-1.1
7.051,0.08,-10.63,-1.29
7.095,0.04,-12.32,-0.98
7.151,-0.31,-10,-3.37
7.192,3.45,-16.91,0.9
7.263,2.43,-10.51,-3.18
7.345,0.98,-8.16,1.73
7.354,2.31,-10.87,1.45
7.397,0.63,-10.67,1.57
7.448,-0.35,-8.51,0.43
7.519,-1.1,-7.49,-0.24
7.542,-0.71,-8.28,0.63
7.601,0,-9.53,0.08
7.651,-0.55,-8.2,-0.35
7.704,0,-9.1,1.41
7.755,0.04,-9.92,1.69
7.812,-1.69,-10.71,0.47
7.866,-2.51,-13.34,2.2
7.92,2.39,-13.18,3.53
7.952,1.88,-9.65,1.33
8.021,2.79,-12.47,3.33
8.076,-0.86,-11.96,0.16
8.137,0.75,-7.92,-0.24
8.182,0.04,-6.16,0.16
8.231,0.16,-7.34,-0.78
8.262,0,-7.26,-0.82
8.318,-0.78,-8.47,-1.88
8.598,-0.75,-11.06,-1.06
8.607,0.04,-12,-2.31
8.634,1.77,-11.38,-0.75
8.673,0.43,-9.89,0.31
8.725,0.86,-10.4,1.18
8.8,-0.35,-6.47,0.27
8.823,-1.18,-8.16,0.47
8.875,-0.63,-8.98,0
8.93,-0.82,-8.51,0.2
8.991,-0.55,-9.53,0.63
9.027,0.98,-9.92,1.69
9.079,-0.94,-10.36,-0.27
9.131,-0.24,-13.3,2.31
9.181,1.29,-12.63,3.92
9.234,1.06,-10.75,0.86
9.286,2.86,-13.22,2.47
9.348,0.51,-10.98,0.47
9.385,-0.27,-7.65,-0.31
9.44,0.47,-6.43,-0.24
9.498,-0.35,-7.34,-0.67
9.551,0.39,-6.47,-0.9
9.608,-1.18,-8.2,-2.04
9.66,0.55,-10.87,-0.43
9.71,0.35,-11.92,-3.41
9.742,0.67,-13.34,-1.84
9.805,1.92,-12.51,-2.63
9.878,1.26,-7.77,2.31
9.904,1.53,-9.45,1.22
9.958,0.47,-10.4,0.71
10.014,-0.08,-9.53,1.29
10.078,-0.86,-7.22,0.39
10.097,-0.39,-8.67,0.47
10.156,-0.2,-8.12,-0.12
10.209,-0.86,-8.39,-0.43
10.262,0.51,-9.69,0.86
10.312,-0.39,-9.65,1.1
10.359,-3.02,-11.02,1.06
10.409,-1.18,-14.71,1.53
10.466,5.26,-12.32,3.45
10.517,0.9,-11.81,1.1
10.617,3.06,-11.41,2.67
10.625,-0.35,-9.92,0.51
10.674,0.71,-6.83,0.16
10.739,-0.2,-7.37,0
10.781,0.04,-7.37,-0.67
10.815,0.43,-7.41,-1.06
10.871,-0.67,-7.81,-2.43
10.92,-0.39,-10.43,-0.75
10.979,-0.27,-12.24,-2.79
11.034,1.65,-10.43,-2.16
11.096,6,-15.18,-0.55
11.124,-0.27,-6.83,1.06
11.271,0.12,-7.53,0.9
11.32,-0.75,-7.49,-0.04
11.371,-0.2,-8.9,0.08
11.425,-0.04,-8.36,-0.31
11.48,0.2,-8.39,0.16
11.532,0.86,-9.89,0.78
11.59,-0.9,-10.59,0.94
11.641,-2.2,-12,0.12
11.688,1.41,-14.16,3.22
11.744,2.75,-10.16,0.12
11.798,1.41,-14.98,2.94
11.96,0.27,-6.75,-0.31
11.99,-0.16,-7.37,-0.31
12.044,0.71,-7.3,-0.82
12.101,-0.12,-7.65,-1.14
12.136,-0.08,-9.96,-1.18
12.19,0.67,-12.67,-0.08
12.239,-1.41,-10.51,-3.3
12.292,2.79,-16.16,-0.24
