Time [sec],N
20.301,12.26
20.402,9.27
20.503,11.21
20.604,9.88
20.705,9.1
20.806,11.68
20.907,15.88
21.008,7.49
21.109,10.7
21.21,7.99
21.311,8.7
21.412,12.13
21.513,13.1
21.614,8.56
21.715,10.47
21.816,8.78
21.917,8.65
22.018,10.4
22.119,10.51
22.22,9.9
22.321,11.08
22.422,8.03
22.523,9.42
22.624,10.63
22.725,12.48
22.826,9.38
22.927,11.66
23.028,8.32
23.13,9.65
23.23,10.34
23.331,13.19
23.432,11.17
23.533,12.17
23.634,7.56
23.735,9.47
23.836,10.38
23.937,11.27
24.038,7.54
24.139,10.52
24.24,8.93
24.341,9.26
24.442,10.7
24.543,13.97
24.644,7.56
24.745,8.14
24.846,9.59
24.947,9.53
25.048,13.8
25.149,14.27
25.25,13.88
25.351,8.36
25.452,8.97
25.553,9.3
25.654,12.21
25.755,9.63
25.857,11.44
25.957,8
26.058,9.43
26.159,10.67
26.26,10.86
26.361,7.94
26.462,11.06
26.563,9.15
26.664,8.53
26.765,10.89
26.866,13.19
26.967,7.82
27.068,9.84
27.169,8.23
27.27,9.74
27.371,12.2
27.472,13.31
27.573,7.16
27.674,9.69
27.775,9.06
27.876,7.81
27.977,12.73
28.078,17.05
28.179,10.64
28.28,9.15
28.382,9.23
28.483,10.36
28.584,12.77
28.685,13.26
28.786,14.29
28.887,8
28.988,9.34
29.089,10.06
29.19,13.34
29.291,16.07
29.392,14.04
29.493,8.64
29.594,9.46
29.695,10.34
29.796,11.93
29.897,14.53
29.998,14.08
30.099,8.46
30.2,8.69
30.301,10.41
30.402,13.47
30.503,9.09
30.604,10.53
30.705,7.79
30.806,9.77
30.907,11.95
31.008,15.98
31.109,9.01
31.21,9.51
31.311,8.79
31.412,8.25
31.513,12.56
31.614,14.86
31.715,11.23
31.816,8.22
31.917,9.44
32.019,10.72
32.119,12.44
32.22,11.6
32.321,14.6
32.422,7.91
32.523,8.72
32.624,10.87
32.725,13.22
32.826,7.28
32.927,9.94
33.028,8.96
33.129,9.86
33.23,12.76
33.331,16.81
33.432,9.07
33.533,8.43
33.634,9.19
33.735,8.01
33.836,12.83
33.937,15.96
34.038,10.57
34.139,9.67
34.24,9.34
34.341,9.35
34.442,12.37
34.543,16.6
34.645,8.29
34.745,9.7
34.846,9.65
34.947,10.1
35.048,8.36
35.149,11.34
35.25,14.42
35.351,7.14
35.452,9.7
35.553,9.38
35.654,9.33
35.755,10.47
