Time [sec],N
0,10.94
0.101,10.8
0.202,10.93
0.303,10.61
0.404,10.78
0.505,11.15
0.606,9.89
0.707,10.65
0.808,10.02
0.909,10.27
1.01,11.83
1.111,16.64
1.212,9.22
1.313,11.74
1.414,8.04
1.515,9.52
1.616,10.46
1.717,12.14
1.818,14.54
1.919,13.73
2.02,9.13
2.121,9.54
2.222,9.62
2.323,11.56
2.424,15.66
2.525,6.32
2.626,9.9
2.727,7.48
2.828,9.52
2.93,12.11
3.03,11.44
3.131,9.28
3.232,11.55
3.333,9.17
3.434,8.77
3.535,10.6
3.636,12.14
3.737,9.71
3.838,11.96
3.939,8.31
4.04,9.61
4.141,11.38
4.242,10.27
4.343,11.32
4.444,12.67
4.545,10.19
4.646,9.64
4.747,10.83
4.848,11.43
4.949,14.24
5.05,13.27
5.151,8.76
5.252,8.96
5.353,10.52
5.454,10.8
5.555,11.05
5.656,13.42
5.757,8.95
5.858,9.3
5.959,10.74
6.06,12.05
6.161,9.73
6.262,11.47
6.363,7.7
6.464,10.06
6.565,11.75
6.666,14.77
6.767,7.58
6.868,9.87
6.969,9.18
7.07,9.24
7.171,11.38
7.272,17.84
7.373,13.86
7.474,6.99
7.575,9.98
7.676,10.01
7.777,12.84
7.878,18.04
7.979,15.46
8.08,7.43
8.181,7.6
8.282,9.77
8.383,14.07
8.484,13.05
8.585,14.59
8.686,9.19
8.787,9.67
8.888,10.27
8.989,10.72
9.09,9.64
9.191,12.17
9.292,10.33
9.393,7.96
9.494,11.02
9.595,12.69
9.696,6.52
9.797,9.33
9.898,8.82
9.999,9.43
10.1,10.49
10.201,11.03
10.302,9.31
10.403,15.56
10.504,9.73
10.605,9.15
10.706,11.14
10.807,13.83
10.908,10.73
11.009,14.65
11.11,9.03
11.211,9.04
11.312,9.26
11.413,12.56
11.514,18.31
11.615,9.51
11.716,8.16
11.817,9.45
11.918,9.49
12.019,11.2
12.12,12.28
12.221,7.54
12.322,10.41
12.423,8.66
12.524,9.29
12.625,10.66
12.726,10.89
12.827,8.99
12.928,13.59
13.029,8.94
13.13,9.19
13.231,10.18
13.332,13.25
13.433,15.04
13.534,15.22
13.635,9.02
13.736,9.67
13.837,9.65
13.938,13.95
14.039,17.83
14.14,11.01
14.241,7.06
14.342,10.4
14.443,10.09
14.544,10.57
14.645,14.59
14.746,8.55
14.847,9.42
14.948,8.66
15.049,9.34
15.15,10.95
15.251,11.35
15.352,14.18
15.453,16.63
15.554,9.51
15.655,9.6
15.756,9.14
15.857,11.69
15.958,13.98
16.059,6.89
16.16,7.98
16.261,8.75
16.362,9.71
16.463,10.33
16.564,10.65
16.665,18.15
16.766,13.13
16.867,9.5
16.968,10
17.069,9.95
17.17,10.92
17.271,11.93
17.372,10.39
17.473,9.66
17.574,14.99
17.675,9.73
17.776,10.66
17.877,10.56
17.978,10.36
18.079,10.99
18.18,10.9
18.281,10.95
18.382,10.77
18.483,11.56
18.584,10.91
18.685,10.4
18.786,10.94
18.887,10.08
18.988,10.08
19.089,11.35
19.19,10.19
19.291,10.63
19.392,9.79
19.493,11.27
19.594,15.14
19.695,7.18
19.796,11.77
19.897,7.82
19.998,9.16
20.099,10.23
20.2,10.23
