Time [sec],ACC X,ACC Y,ACC Z
9.661,1.29,-10.83,-0.43
9.718,2.43,-11.49,1.77
9.77,0.55,-8.71,-0.63
9.8,1.18,-9.02,-0.12
9.862,-0.78,-9.49,-0.86
9.913,-1.49,-9.49,-0.78
9.969,0,-9.89,-0.75
10.028,-1.8,-10.63,0.31
10.075,-0.24,-12.55,0.2
10.126,3.45,-14.2,2.31
10.19,3.3,-9.3,0.98
10.207,6.59,-12.94,0.67
10.261,2.04,-10.28,-2.04
10.318,0.86,-7.81,-1.41
10.376,1.77,-6.35,-2.67
10.431,1.02,-6.55,-2.82
10.48,0.98,-5.65,-2.24
10.533,1.29,-8.47,-5.22
10.588,2.51,-10.9,-2.86
10.619,1.61,-11.96,-6.83
10.675,3.37,-10.67,-7.77
10.737,4.31,-11.49,4.31
10.771,2.86,-5.06,-0.31
10.841,0.67,-10.2,-0.43
10.868,2.39,-11.41,0
10.927,0.82,-7.77,0.12
10.974,0.71,-8.83,-0.12
11.024,1.33,-10,0.08
11.08,-1.61,-9.45,-0.86
11.145,-1.65,-9.49,-0.9
11.196,-1.18,-10.79,-0.75
11.246,-2.04,-10.32,-1.73
11.301,2.08,-13.45,1.49
11.355,5.1,-15.49,4.04
11.381,3.88,-9.73,0.78
11.433,5.33,-12.43,0.55
11.606,1.53,-7.41,-2.86
11.662,0.82,-5.96,-3.22
11.685,0.55,-5.3,-3.65
11.759,1.26,-8.36,-2.94
11.808,3.14,-11.45,-2.86
11.84,0.75,-10.71,-7.26
11.891,-0.71,-5.41,-7.53
11.952,7.14,-20.01,4.43
12.008,1.8,-6.47,1.29
12.06,2.47,-5.22,-0.43
12.145,3.49,-9.73,-0.27
12.153,2.79,-9.96,2.82
12.212,0,-9.26,0.2
12.269,0.63,-9.22,0.47
12.298,-1.65,-9.3,-0.31
12.364,-1.45,-9.85,-0.08
12.415,-0.55,-9.85,-1.14
12.473,-1.92,-10.28,-0.39
12.521,0.67,-12,-0.47
12.574,2.35,-14.51,2.39
12.606,3.77,-10.24,2.55
12.66,5.18,-12.83,0.43
12.834,2.12,-6.9,-1.77
13.121,0.75,-6.9,-2.31
13.131,0.78,-5.73,-3.22
13.163,4.71,-18.12,-5.53
13.221,4.12,-7.85,1.02
13.274,2.47,-5.18,0.08
13.322,0.86,-11.1,0.59
13.384,2.67,-10.2,0.27
13.457,1.53,-8.87,0.86
13.486,0.75,-9.89,0.55
13.539,0.47,-9.45,0.2
13.597,-1.26,-8.79,-0.71
13.641,-0.94,-10.51,-0.24
13.693,-0.35,-9.77,-1.26
13.743,-1.53,-10.12,-1.06
13.8,0.75,-11.49,0.55
13.852,2.67,-13.96,0.78
13.904,2.75,-10.94,2.12
13.931,5.77,-12.59,-0.43
14.109,2.16,-6.9,-1.92
14.152,1.49,-6.39,-2.39
14.206,0.55,-4.75,-3.49
14.257,1.22,-6.67,-3.96
14.309,2.31,-10.83,-3.18
14.338,3.14,-11.02,-7.1
14.399,0.2,-8.32,-7.88
14.451,5.37,-17.1,-3.8
14.499,6.71,-11.77,3.45
14.552,1.61,-5.26,0.86
14.599,1.77,-8.12,-0.86
14.676,4,-12.28,2.39
14.701,0.47,-8.32,0.35
14.748,0.98,-9.41,0.86
14.801,-1.84,-8.87,-0.47
14.849,-1.96,-9.81,-0.55
14.924,-0.71,-10,-1.1
14.954,-1.41,-10.51,0.39
15.007,-0.9,-11.26,-0.67
15.063,2.12,-13.53,1.88
15.109,4.98,-11.26,2.24
15.162,4.75,-11.89,1.14
15.208,5.3,-11.53,-0.08
15.262,0.78,-9.96,-1.84
15.337,1.41,-6.39,-1.96
15.366,1.1,-6.94,-2.43
15.419,1.53,-5.61,-3.37
15.477,1.53,-4.9,-3.77
15.536,1.02,-9.96,-4.04
15.585,2.04,-13.02,-3.57
15.618,2.24,-8.2,-8.98
