Time [sec],N
0,11.39
0.101,10.08
0.202,10.38
0.303,11.53
0.404,10.23
0.505,10.63
0.606,10.52
0.707,10.73
0.808,9.18
0.909,11.57
1.01,10.14
1.111,9.35
1.212,10.18
1.313,11.27
1.414,14.36
1.515,9.42
1.616,10.99
1.717,8.98
1.818,9.08
1.919,10.68
2.02,11.32
2.121,15.09
2.222,9.15
2.324,10.36
2.424,9.49
2.525,9.8
2.626,8.91
2.727,11.78
2.828,12.23
2.929,13.34
3.03,9.13
3.131,10.61
3.232,10.13
3.333,10.34
3.434,11.47
3.535,10.8
3.636,11.86
3.737,9.61
3.838,10.07
3.939,9.37
4.04,9.79
4.141,12.01
4.242,11.08
4.343,12.89
4.444,9.38
4.545,10.04
4.646,9.32
4.747,11.72
4.848,15.21
4.949,12.34
5.05,9.13
5.151,8.61
5.252,8.61
5.353,11.41
5.454,13.3
5.556,7.79
5.656,9.52
5.757,7.93
5.858,8.8
5.959,9.85
6.06,12.62
6.161,9.17
6.262,11.94
6.363,8.69
6.464,9.89
6.565,8.8
6.666,12.4
6.767,16.11
6.868,11.47
6.969,9
7.07,8.93
7.171,9.34
7.272,13
7.373,15.61
7.475,13.77
7.576,8.02
7.677,9.15
7.778,8.9
7.879,12.08
7.98,16.37
8.081,13.47
8.182,8.3
8.283,9.15
8.384,9.97
8.485,13.43
8.586,16.25
8.687,8.28
8.788,9.91
8.889,8.56
8.99,8.88
9.092,10.51
9.192,11.28
9.293,10.21
9.394,10.19
9.495,8.7
9.596,8.74
9.697,10.68
9.798,11.03
9.899,12.31
10,14.25
10.101,8.48
10.202,8.59
10.303,10.1
10.404,13
10.505,9.95
10.606,14.02
10.707,8.83
10.808,8.47
10.909,9.86
11.01,11.81
11.111,17.55
11.212,15.67
11.313,8.63
11.414,8.53
11.515,10.01
11.616,12.38
11.717,15.44
11.818,14.24
11.919,7.64
12.02,8.36
12.121,10.06
12.222,13.35
12.323,17.48
12.424,7.5
12.525,8.69
12.626,8.87
12.727,8.89
12.828,11.46
12.929,14.02
13.03,6.06
13.131,8.18
13.232,9.25
13.333,9.15
13.434,10.5
13.535,9.64
13.636,11.16
13.737,12.3
13.838,9.44
13.939,9.21
14.04,9.11
14.141,13.32
14.242,16.38
14.343,16.39
14.444,8.28
14.545,8.92
14.646,9.42
14.747,12.43
14.848,18.91
14.949,9.92
15.05,9.01
15.151,9.04
15.252,8.33
15.353,10.75
15.454,10.95
15.555,9.93
15.656,11.09
15.757,8.77
15.858,8.96
15.959,10.65
16.06,12.74
16.162,9.61
16.262,12.41
16.363,8.56
16.464,8.75
16.565,9.84
16.666,13.2
16.767,15.64
16.868,14.89
16.969,8.61
17.07,9.35
17.171,8.26
17.272,12.76
17.373,11.02
17.474,10.11
17.575,12.02
17.676,10.61
17.777,10.07
17.878,10.14
17.979,9.96
18.08,11.89
18.181,10.33
18.282,10.17
18.383,11.31
18.484,11.22
18.585,11.3
18.686,10.42
18.787,10.83
18.888,10.34
18.989,11.04
19.09,10.41
19.191,10.01
19.292,9.93
19.393,11.26
19.494,9.75
19.595,11.99
19.696,12.67
19.797,9.57
19.898,10.46
19.999,10.25
20.1,8.66
20.201,11.09
20.302,10.92
20.403,15.03
20.504,10.69
20.605,11.42
20.706,8.36
20.807,9.9
20.908,9.14
21.009,10.5
21.11,10.49
21.211,12.01
21.312,16.07
21.413,9.77
21.514,9.43
21.615,8.73
21.716,10.13
21.817,10.47
21.918,15.46
22.02,13.67
22.12,9.03
22.221,8.95
22.322,8.76
22.423,8.84
22.524,11.53
22.625,12.87
22.726,12.57
22.827,10.21
22.928,10.86
23.03,9.99
23.13,10.01
23.231,9.46
23.332,12.06
23.433,15.86
23.534,6.38
23.635,10.51
23.736,9.14
23.837,9.46
23.938,10.11
24.039,11.17
24.14,17.1
24.241,9.88
24.342,7.22
24.443,8.86
24.544,10.33
24.645,10.08
24.746,12.14
24.847,16.21
24.948,15.03
25.05,8.98
25.15,8.59
25.251,9.63
25.352,11.74
25.453,16.89
25.555,8.23
25.655,9.4
25.756,8.47
25.857,8.76
25.958,11.09
26.06,11.27
26.16,11.81
26.261,13.19
26.362,7.92
26.463,9
26.565,10
26.665,13.29
26.766,18.93
26.868,9.86
26.968,7.93
27.07,8.98
27.17,9.61
27.271,8.99
27.373,11.9
27.473,8.82
27.575,9.16
27.675,8.54
27.776,8.86
27.878,10.96
27.978,11.41
28.08,18.45
28.18,16.48
28.281,6.9
28.383,8.97
28.483,8.91
28.585,11.51
28.685,11.02
28.786,6.8
28.888,9.95
28.988,8.32
29.09,8.88
29.19,10.84
29.291,11.63
29.393,12.71
29.493,14.04
29.594,9.29
29.695,9.59
29.796,9.81
29.898,12.12
29.998,16.78
30.099,9.04
30.2,8.05
30.301,8.81
30.403,8.62
30.503,9.95
30.604,11.18
30.705,12.32
30.806,13.66
30.908,9.91
31.009,7.62
31.109,9.28
31.21,12.97
31.311,16.38
31.412,10.31
31.514,9.16
31.614,10.05
31.715,8.17
