Time [sec],ACC X,ACC Y,ACC Z
9.89,-1.1,-8.51,-1.26
9.947,-3.1,-6.43,-6.9
10.003,-1.77,-0.2,1.02
10.029,-1.06,2.59,4.47
10.079,4.63,-13.69,-11.92
10.184,1.77,-13.26,2.63
10.193,-2.71,-10.55,0.39
10.247,2.98,-17.5,3.14
10.3,4.16,-11.65,4
10.335,3.18,-7.06,0.31
10.408,-1.53,-2.47,3.73
10.456,0.2,0.35,-1.18
10.509,-1.69,-10.59,2.12
10.555,-2.59,-16,12.75
10.609,6.98,-17.73,1.92
10.659,0.43,-12.91,-0.78
10.713,-2.43,-7.65,-2
10.781,0.59,-7.22,-3.49
10.816,-1.37,0.2,-2.79
10.84,-0.9,-2.82,0.86
10.896,-6.2,-13.53,10.16
10.964,-4.9,-14.4,-1.22
10.998,1.33,-12.83,1.53
11.047,2.82,-13.85,2.04
11.108,4.28,-13.06,4.47
11.175,5.14,-7.73,0.35
11.201,2.31,-3.14,4.35
11.255,-1.37,-2.39,2.2
11.307,-2.51,-0.59,8.2
11.389,2.51,-14.71,6.32
11.403,4.04,-17.61,1.88
11.461,2.51,-16.2,-1.88
11.517,-2.08,-11.89,-3.53
11.565,-1.29,-6.79,-5.26
11.618,-1.57,-2.71,-3.22
11.672,-1.8,-2.67,3.88
11.723,-20.01,-15.73,7.1
11.776,5.69,-4.94,-2.63
11.83,1.29,-12.94,2.12
11.88,-1.02,-15.26,-0.43
11.937,4.75,-18.67,4
11.991,6.83,-8.47,-0.35
12.125,3.61,2.51,1.84
12.191,-1.41,-15.49,-2.79
12.226,0.71,-20.01,5.69
12.279,5.37,-15.53,-0.9
12.332,-2.08,-13.1,-2
12.385,-1.45,-9.85,-4.16
12.428,0.24,-1.22,-0.27
12.495,-3.1,-0.31,0.2
12.553,-9.34,-2.94,4.82
12.599,1.41,-10.63,4.31
12.652,-0.9,-13.42,-0.86
12.68,3.77,-20.01,2.47
12.746,4,-13.26,4.82
12.79,4.47,-7.88,0.04
12.845,-0.94,-1.02,5.33
12.897,-0.71,-0.27,2.04
12.952,-5.41,0.08,7.57
13.004,5.49,-19.46,5.88
13.06,4.39,-16.95,-0.24
13.339,0.31,-13.45,-0.16
13.348,-4.47,-9.38,-6.16
13.406,-1.37,-13.61,0.39
13.449,3.18,-19.85,3.18
13.5,4.51,-14.16,7.06
13.55,3.33,-7.96,0
13.601,0.04,-1.26,4.24
13.656,-0.86,-0.24,2.98
13.713,-4.75,-4.08,3.88
13.772,-1.77,-17.38,7.92
13.818,5.41,-17.53,1.92
13.87,-0.43,-12.43,-2.35
13.918,-2.59,-8.94,-3.92
14.067,-17.73,-10.28,6.24
14.117,2.71,-8.32,2.2
14.178,-0.82,-11.81,3.26
14.226,1.96,-17.5,1.73
14.281,5.18,-12.79,1.92
14.336,5.57,-9.1,1.96
14.365,0.59,-3.22,5.02
14.417,-2.47,-1.8,1.41
14.472,-1.84,-0.16,9.92
14.527,1.69,-17.14,5.41
14.581,4.98,-19.93,3.41
14.622,0.82,-17.22,0.12
14.673,-1.84,-6.98,-2.31
