""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""93254.0""","""10.71""","""-0.08""","""4.82"""
"""93355.0""","""11.57""","""3.18""","""-0.55"""
"""93456.0""","""8.0""","""-4.08""","""-0.47"""
"""93557.0""","""5.37""","""4.51""","""-2.39"""
"""93658.0""","""10.47""","""-8.75""","""1.92"""
"""93759.0""","""9.02""","""-4.2""","""-3.06"""
"""93860.0""","""20.01""","""1.1""","""-5.1"""
"""93961.0""","""9.22""","""-3.57""","""0.86"""
"""94062.0""","""-10.08""","""2.59""","""-1.33"""
"""94163.0""","""20.01""","""5.57""","""6.63"""
"""94264.0""","""7.49""","""-1.53""","""0.59"""
"""94365.0""","""12.59""","""7.81""","""-7.1"""
"""94466.0""","""-2.9""","""0.24""","""-2.67"""
"""94567.0""","""17.57""","""5.06""","""-2.63"""
"""94668.0""","""2.75""","""-4.47""","""0.86"""
"""94769.0""","""-6.39""","""7.65""","""-2.43"""
"""94870.0""","""16.91""","""-10.12""","""-6.43"""
"""94971.0""","""19.38""","""-14.98""","""2.86"""
"""95072.0""","""6.24""","""10.59""","""-2.12"""
"""95173.0""","""2.24""","""-1.18""","""-12.47"""
"""95274.0""","""15.49""","""4.43""","""3.1"""
"""95375.0""","""2.24""","""-4.82""","""-3.92"""
"""95476.0""","""10.63""","""18.75""","""-20.01"""
"""95577.0""","""-0.35""","""-6.2""","""8.67"""
"""95678.0""","""11.73""","""-1.37""","""-10.12"""
"""95779.0""","""-2.9""","""1.37""","""1.02"""
"""95880.0""","""20.01""","""4.08""","""4.63"""
"""95981.0""","""7.37""","""-7.73""","""-1.8"""
"""96082.0""","""-10.36""","""9.57""","""2.63"""
"""96183.0""","""-1.84""","""-18.71""","""15.89"""
"""96284.0""","""18.99""","""-17.46""","""1.22"""
"""96385.0""","""2.55""","""8.51""","""-2.86"""
"""96486.0""","""10.67""","""-11.45""","""0.78"""
"""96587.0""","""6.04""","""-7.77""","""3.65"""
"""96688.0""","""2.67""","""6.39""","""-3.57"""
