Time [sec],N
0,10.86
0.101,10.12
0.202,10.63
0.304,9.86
0.404,11.79
0.505,8.01
0.606,15.83
0.707,21.41
0.809,10.72
0.909,20.75
1.01,6.83
1.111,3.96
1.212,21.96
1.314,15.93
1.414,7.4
1.515,20.29
1.616,11.64
1.717,14.63
1.819,16.72
1.919,19.81
2.021,7.84
2.121,14.18
2.222,18.59
2.323,12.47
2.424,8.29
2.526,21.07
2.626,6.94
2.727,16.21
2.828,12.01
2.929,13.38
3.031,18.26
3.131,23.1
3.232,13.83
3.334,19.32
3.434,26.49
3.536,14.62
3.636,7
3.737,20.68
3.839,6.05
3.939,7.86
4.041,23
4.141,17.39
4.242,1.83
4.344,34.13
4.444,10.54
4.546,6.88
4.646,5.36266081.00
4.849,17.47
4.949,10.34
5.051,23.95
5.151,10.27
5.252,7.23
5.354,12.95
5.454,21.64
5.556,5.88
5.656,9.37
5.757,8.14
5.858,20.43
5.959,8.19
6.061,7.3
6.161,20.4
6.262,9.49
6.364,8.11
6.464,16.79
6.566,18.23
6.666,5.82
6.767,23.77
6.869,22.68
6.969,4.18
7.07,14.26
7.171,25.63
7.272,4.28
7.374,13.82
7.474,20.45
7.576,4.41269010.00
7.777,22
7.879,12.78
7.979,10.06
8.081,24.23
8.181,23.8
8.282,11.3
8.383,7.72
8.484,17.08
8.586,4.52
8.686,15
8.787,24.53
8.889,23.1
8.989,7.88
9.091,12.35
9.191,15.05
9.292,6.3
9.394,7.18
9.494,28.32
9.596,28.83
9.696,1.12
9.797,21.48
9.899,2.17
9.999,14.19
