"""Time[sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""11.5""","""2.24""","""-3.10""","""-2.16"""
"""11.6""","""8.83""","""5.14""","""20.01"""
"""11.7""","""2.94""","""3.96""","""11.22"""
"""11.8""","""0.39""","""6.59""","""-1.65"""
"""11.9""","""1.02""","""3.26""","""4.63"""
"""12.0""","""-1.65""","""4.51""","""16.20"""
"""12.1""","""3.57""","""-4.71""","""11.38"""
"""12.2""","""2.16""","""-5.84""","""-0.43"""
"""12.3""","""5.06""","""-2.82""","""4.00"""
"""12.4""","""4.51""","""4.63""","""16.44"""
"""12.5""","""0.63""","""3.96""","""3.61"""
"""12.6""","""-2.00""","""6.43""","""-0.31"""
"""12.7""","""3.73""","""2.16""","""14.98"""
"""12.8""","""3.77""","""-2.98""","""12.59"""
"""12.9""","""3.84""","""-1.96""","""3.57"""
"""13.0""","""4.47""","""-6.04""","""2.43"""
"""13.1""","""9.57""","""-2.94""","""18.63"""
"""13.2""","""3.61""","""4.51""","""13.02"""
"""13.3""","""-0.39""","""4.28""","""0.86"""
"""13.4""","""0.67""","""5.14""","""5.61"""
"""13.5""","""3.73""","""8.24""","""14.32"""
"""13.6""","""4.79""","""2.71""","""10.79"""
"""13.7""","""2.55""","""-4.39""","""1.96"""
"""13.8""","""7.14""","""-3.57""","""7.22"""
"""13.9""","""8.04""","""4.24""","""14.28"""
"""14.0""","""4.24""","""5.30""","""5.96"""
"""14.1""","""0.31""","""6.08""","""-1.45"""
"""14.2""","""1.77""","""6.63""","""7.92"""
"""14.3""","""5.45""","""2.86""","""12.36"""
"""14.4""","""5.49""","""-3.30""","""4.86"""
"""14.5""","""4.24""","""-5.49""","""-0.94"""
"""14.6""","""8.51""","""1.73""","""20.01"""
"""14.7""","""3.33""","""8.71""","""9.41"""
"""14.8""","""-0.47""","""4.28""","""1.69"""
"""14.9""","""4.12""","""5.53""","""4.20"""
"""15.0""","""1.45""","""1.53""","""20.01"""
"""15.1""","""5.37""","""-0.75""","""9.38"""
"""15.2""","""4.08""","""-3.88""","""1.49"""
"""15.3""","""6.39""","""-3.84""","""7.69"""
"""15.4""","""7.37""","""4.82""","""13.57"""
"""15.5""","""1.49""","""4.08""","""4.35"""
"""15.6""","""-2.16""","""5.77""","""0.55"""
"""15.7""","""-0.08""","""-1.65""","""10.47"""
"""15.8""","""8.39""","""-2.98""","""14.20"""
"""15.9""","""4.75""","""0.08""","""-2.04"""
