TIME,ACCX,ACCY,ACCZ,
0,10.04,-1.49,-1.41,2737
0.01,10.08,-2.24,1.96,2738
0.02,13.69,-5.14,-2.67,2739
0.03,10.16,-2.2,-2.16,2740
0.04,8.94,-0.78,-2.24,2741
0.05,9.61,-1.18,-0.75,2742
0.06,7.88,-1.84,-1.45,2743
0.07,6.28,-1.02,-0.94,2744
0.08,7.14,1.61,0.43,2745
0.09,10.4,-5.37,0.71,2746
0.1,14.47,-1.73,-2.2,2747
0.11,6.28,-3.26,1.57,2748
0.12,16.24,-3.06,1.37,2749
0.13,13.22,-0.43,-7.14,2750
0.14,9.57,-3.84,-0.39,2751
0.15,6.79,-1.22,-0.16,2752
0.16,6.9,-0.35,-1.02,2753
0.17,7.96,0.39,-0.04,2754
0.18,11.3,-3.06,2.08,2755
0.19,8.12,-2.16,2.82,2756
0.2,16.4,-7.34,2.39,2757
0.21,13.06,-4.08,-2.04,2758
0.22,9.26,-2.86,-0.55,2759
0.23,7.85,-1.92,-1.57,2760
0.24,7.22,-1.26,-1.84,2761
0.25,7.77,-3.02,-0.75,2762
0.26,11.53,-0.63,-0.94,2763
0.27,10.16,-4.2,1.41,2764
0.28,12.4,-4.2,-1.73,2765
0.29,10.36,-1.69,-3.69,2766
0.3,8.28,-1.14,-1.73,2767
0.31,7.85,-1.45,-0.67,2768
0.32,8.67,-3.8,-0.27,2769
0.33,11.69,-1.57,-0.35,2770
0.34,5.84,-1.29,-0.27,2771
0.35,16.59,-2.94,3.8,2772
0.36,13.06,2.35,-5.57,2773
0.37,10.47,-2.08,-1.73,2774
0.38,8.2,0.16,-2.63,2775
0.39,9.38,0.47,-1.53,2776
0.4,8.04,-1.41,-1.41,2777
0.41,7.3,-3.18,-0.43,2778
0.42,9.73,-1.06,-0.9,2779
0.43,6.75,-2.55,0.08,2780
0.44,15.46,-1.88,2.9,2781
0.45,13.57,-0.08,-4.9,2782
0.46,10.12,-2.79,-1.22,2783
0.47,8.39,-1.29,-0.63,2784
0.48,9.45,0.55,-1.41,2785
0.49,8.32,-1.65,-1.53,2786
0.5,5.81,-2.55,-1.57,2787
0.51,13.1,-1.45,-2.9,2788
0.52,7.61,-2.63,1.96,2789
0.53,16.24,-3.69,2.43,2790
0.54,15.89,0.2,-4.59,2791
0.55,10.43,-2.39,-0.86,2792
0.56,9.06,-0.27,-2.86,2793
0.57,8.67,0.39,-1.33,2794
0.58,7.77,-0.39,-0.12,2795
0.59,11.45,-4.75,1.88,2796
0.6,9.26,-3.26,4.04,2797
0.61,10.79,-2.39,-2,2798
0.62,10.43,-3.1,-1.06,2799
0.63,8.04,-0.63,-2,2800
0.64,8.39,0.31,-0.59,2801
0.65,8.59,1.02,-0.12,2802
0.66,11.26,-3.77,0.47,2803
0.67,14.83,-2.82,3.1,2804
0.68,15.38,-1.8,-4.47,2805
0.69,9.77,-1.29,-0.55,2806
0.7,7.73,-1.14,-2.16,2807
0.71,8.55,-2.35,0.51,2808
0.72,10.51,-2.98,-0.47,2809
0.73,7.69,-1.96,2.67,2810
0.74,13.49,-4.16,-0.24,2811
0.75,10.9,-3.14,-4.08,2812
0.76,10.08,-1.84,-2.08,2813
0.77,6.9,-1.14,-2.24,2814
0.78,8.08,-0.16,-1.02,2815
0.79,8.28,1.06,1.06,2816
0.8,11.65,-4.16,0.31,2817
0.81,14.83,-2.59,2.75,2818
0.82,14.63,0.59,-4.28,2819
0.83,10.2,-2.08,-1.06,2820
0.84,7.61,-0.55,-1.69,2821
0.85,8.63,0.24,-1.18,2822
0.86,8.2,-0.04,-0.59,2823
0.87,12,-5.49,2.71,2824
0.88,10.83,-2,5.96,2825
0.89,14.47,-1.41,-1.37,2826
0.9,11.53,-3.77,-0.9,2827
0.91,8.83,-1.65,-1.06,2828
0.92,7.57,0.78,-0.27,2829
0.93,9.22,0.47,0.08,2830
0.94,11.26,-3.53,1.26,2831
0.95,11.57,-2.08,4.39,2832
0.96,12.94,-0.43,-3.41,2833
0.97,11.3,-2.47,-0.24,2834
0.98,7.92,-0.31,-1.45,2835
0.99,7.49,0.86,-1.14,2836
1,8.2,0.86,0.75,2837
1.01,11.53,-4.39,0.86,2838
1.02,12.16,-3.61,3.41,2839
1.03,12.36,-0.78,-3.8,2840
1.04,9.92,-0.55,-0.98,2841
1.05,7.65,-0.47,-1.49,2842
1.06,9.38,-3.49,0.2,2843
1.07,12.24,-2.24,-0.35,2844
1.08,17.77,-11.73,5.73,2845
1.09,10.9,-0.67,-2.79,2846
1.1,9.18,-0.43,-2.82,2847
1.11,10.04,0.63,-1.92,2848
1.12,8.98,-0.04,0.08,2849
1.13,12.75,-5.45,1.33,2850
1.14,13.06,-4.12,4.9,2851
1.15,13.02,1.88,-3.69,2852
1.16,10.12,-2.08,-1.18,2853
1.17,8.04,-2.08,-1.69,2854
1.18,6.2,-4.16,0.82,2855
1.19,8.43,-2.71,3.37,2856
1.2,18.01,-2.71,-1.57,2857
1.21,10.75,-3.22,-1.53,2858
1.22,9.65,-2.79,-1.18,2859
1.23,9.81,-2.55,-1.29,2860
1.24,9.69,-2.47,-1.73,2861
1.25,9.73,-2.51,-1.61,2862
1.26,9.73,-2.35,-1.65,2863
1.27,9.73,-2.43,-1.73,2864
