""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""113750.0""","""9.92""","""-1.57""","""-0.31"""
"""113851.0""","""10.08""","""-2.39""","""-1.02"""
"""113952.0""","""9.96""","""-2.59""","""-0.9"""
"""114053.0""","""9.41""","""-2.94""","""-1.41"""
"""114154.0""","""9.85""","""-3.22""","""-1.8"""
"""114255.0""","""11.22""","""-4.04""","""-0.71"""
"""114356.0""","""14.12""","""-1.14""","""-4.0"""
"""114457.0""","""12.91""","""-2.43""","""-1.92"""
"""114558.0""","""6.75""","""-0.27""","""0.04"""
"""114659.0""","""4.94""","""-1.65""","""1.96"""
"""114760.0""","""15.61""","""-4.51""","""0.39"""
"""114861.0""","""17.57""","""0.39""","""0.51"""
"""114962.0""","""10.83""","""-2.08""","""0.0"""
"""115063.0""","""5.77""","""-0.24""","""-1.57"""
"""115164.0""","""10.24""","""-5.22""","""0.04"""
"""115265.0""","""12.63""","""-1.88""","""0.31"""
"""115366.0""","""11.81""","""-1.37""","""-3.26"""
"""115467.0""","""13.45""","""-2.9""","""-1.88"""
"""115568.0""","""3.61""","""0.82""","""0.82"""
"""115669.0""","""9.34""","""-2.55""","""1.18"""
"""115770.0""","""15.61""","""0.39""","""1.1"""
"""115871.0""","""5.73""","""-0.67""","""0.24"""
"""115972.0""","""7.77""","""1.73""","""-0.55"""
"""116073.0""","""7.85""","""-4.0""","""-1.49"""
"""116174.0""","""12.04""","""-4.04""","""0.2"""
"""116275.0""","""14.91""","""0.12""","""-4.43"""
"""116376.0""","""14.79""","""-1.53""","""-1.06"""
"""116477.0""","""3.22""","""-0.39""","""-0.12"""
"""116578.0""","""7.85""","""-0.59""","""1.33"""
"""116679.0""","""13.18""","""-3.92""","""4.47"""
"""116780.0""","""11.34""","""0.47""","""-0.78"""
"""116881.0""","""11.61""","""-1.22""","""-1.33"""
"""116982.0""","""5.49""","""-4.04""","""-1.33"""
"""117083.0""","""10.83""","""-2.94""","""-0.16"""
"""117184.0""","""14.16""","""-1.96""","""-2.51"""
"""117285.0""","""13.49""","""-2.08""","""-0.51"""
"""117386.0""","""5.96""","""-2.94""","""-0.67"""
"""117487.0""","""3.22""","""-0.82""","""0.94"""
"""117588.0""","""17.5""","""-5.1""","""-0.08"""
"""117689.0""","""17.97""","""-0.35""","""-2.47"""
"""117790.0""","""9.06""","""-3.84""","""-1.37"""
"""117891.0""","""5.1""","""-1.65""","""-1.33"""
"""117992.0""","""10.04""","""-3.53""","""-0.9"""
"""118093.0""","""10.55""","""-4.04""","""0.12"""
"""118194.0""","""11.92""","""-1.33""","""-2.47"""
"""118295.0""","""10.59""","""-3.88""","""-0.2"""
"""118396.0""","""3.18""","""0.63""","""1.06"""
"""118497.0""","""8.39""","""-1.88""","""1.06"""
"""118598.0""","""14.98""","""-2.75""","""0.82"""
"""118699.0""","""6.79""","""-0.51""","""0.16"""
"""118800.0""","""7.02""","""2.39""","""-0.78"""
"""118901.0""","""7.96""","""-4.82""","""-1.33"""
"""119002.0""","""10.04""","""-2.51""","""0.08"""
"""119103.0""","""15.49""","""-3.18""","""-4.67"""
"""119204.0""","""14.59""","""-0.86""","""0.63"""
"""119305.0""","""5.3""","""-1.92""","""-0.39"""
"""119406.0""","""5.3""","""-1.22""","""1.22"""
"""119507.0""","""19.26""","""-2.2""","""2.08"""
"""119608.0""","""14.0""","""0.75""","""-1.26"""
"""1197096.1""","""9.85""","""-4.94""","""-1.14"""
"""119911.0""","""10.79""","""-4.12""","""-1.29"""
