Time [sec],ACC X,ACC Y,ACC Z
0.003,-0.9,-9.45,0.31
0.025,-1.33,-9.85,0.31
0.079,-1.88,-9.73,0.08
0.128,-1.22,-9.34,0.75
0.183,-1.88,-9.61,1.18
0.29,-1.53,-9.69,0.55
0.298,-1.77,-8.94,0.39
0.37,-2.51,-9.81,0.47
0.384,-1.65,-9.57,0.67
0.449,-1.96,-13.45,1.33
0.502,-2.67,-13.26,0.35
0.549,-2.47,-10.98,2.82
0.604,2.67,-11.3,1.61
0.637,0.35,-12.75,1.18
0.7,-0.71,-9.06,-0.51
0.977,-0.27,-7.81,0.35
0.986,-0.35,-8.32,-1.53
0.99,-1.41,-7.77,-2.39
0.997,-0.98,-10.47,-3.1
1.059,-1.33,-12.59,-1.69
1.109,-2.59,-8.98,-4.39
1.144,2.51,-17.65,2.59
1.217,3.14,-10.12,0.71
1.271,-0.12,-7.85,2.16
1.297,1.41,-8.39,0.16
1.373,0.47,-10.79,0.31
1.401,-1.29,-7.45,1.73
1.498,-0.75,-8.32,0.63
1.504,-0.55,-9.57,0.24
1.554,-1.73,-9.14,-0.31
1.619,-1.02,-8.67,0.27
1.654,-0.78,-9.77,1.37
1.719,0.82,-10.55,1.29
1.77,-1.88,-10.12,0.08
1.816,-2.51,-13.06,2.31
1.866,4.35,-14.08,4
1.916,0.63,-8.9,0.67
1.969,-0.27,-12.71,2.16
2.014,-0.39,-10.32,0.16
2.071,0.04,-7.73,0.2
2.185,0,-7.41,-0.12
2.19,0.12,-7.81,-0.55
2.219,-0.12,-8.59,-0.94
2.273,-0.27,-7.53,-1.77
2.32,-0.51,-10.2,-3.18
2.374,-0.75,-12.36,-0.98
2.429,-1.1,-9.57,-4.47
2.481,3.33,-18.71,4.51
2.535,2.51,-10.16,1.84
2.585,0.51,-8.36,2.16
2.638,1.53,-6.94,0.43
2.695,1.33,-10.87,3.14
2.781,-0.39,-7.73,-0.16
2.786,-1.73,-8.32,0.59
2.837,-0.67,-10,0.43
2.879,-0.94,-8.39,0.04
2.954,-0.55,-8.94,-0.08
2.986,1.33,-10.67,1.92
3.033,-1.06,-10.08,0.67
3.104,-0.59,-12.79,0.43
3.139,0.16,-12.83,3.14
3.188,2.43,-9.26,2.16
3.262,0.94,-14.16,1.61
3.295,-0.16,-12.51,1.1
3.356,-0.31,-7.41,-0.75
3.405,-0.71,-6.67,-0.39
3.469,0.16,-5.84,-0.63
3.495,0.27,-8.32,-1.41
3.547,-1.1,-7.65,-3.14
3.602,-1.14,-9.85,-2.24
3.654,0,-13.69,-1.69
3.705,1.37,-13.96,0.04
3.758,3.41,-13.85,-3.45
3.813,-0.31,-7.22,2.47
3.861,0.35,-10.63,1.18
3.92,2.35,-10.67,2.04
3.949,-0.35,-7.41,3.41
4.022,-1.61,-6.32,0.04
4.098,-1.14,-9.77,0.16
4.105,-1.18,-8.12,0.47
4.159,-1.26,-9.22,-0.12
4.212,2.08,-10.16,1.84
4.268,-1.92,-9.81,0.12
4.32,0.94,-13.1,-0.04
4.378,-1.33,-12.75,4.39
4.429,2.9,-9.85,1.26
4.485,0.78,-14.28,2.2
4.515,0.47,-11.69,1.45
4.568,0.67,-7.14,0.12
4.628,0.47,-7.53,0.12
4.678,-0.2,-6.51,-0.78
4.721,0.27,-6.55,-1.88
