Time [sec],ACC X,ACC Y,ACC Z,,
48302,-6.864655,-17.926558,0.156906,,
48383,-4.785645,-4.667965,-2.941995,,
48464,-3.098902,8.237586,-3.451941,,
48545,-0.313813,2.353596,-2.549729,,
48626,-11.218808,-19.652529,2.235916,,
48707,-4.589512,-16.200586,-1.725971,,
48788,-0.23536,9.649744,-1.412158,,
48869,-2.31437,-6.982335,1.765197,,
48950,-9.492838,-15.455281,1.647517,,
49031,-5.217138,-14.474616,-2.745862,,
49112,-6.472389,-1.216025,-4.864099,,
49193,-2.31437,4.589512,-3.295035,,
49274,-14.749203,-8.08068,-11.571848,,
49355,-11.493395,-20.005568,-3.098902,,
49436,1.882877,-2.039783,-2.588956,,
49517,1.294478,6.629296,0.274586,,
49598,-5.923217,-9.453611,3.92266,,
49679,-7.570734,-19.809433,0.784532,,
49760,-7.531507,-8.747532,-4.981779,,
49841,-4.707192,5.099459,-3.92266,,
49922,-3.765754,2.981222,-3.255808,,
50003,-14.592296,-20.005568,-8.159133,,
50084,-6.472389,-20.005568,-2.981222,,
50165,-2.471276,2.941995,-2.353596,,
50246,1.098345,-0.156906,-0.470719,,
50327,-20.005568,-19.456394,-9.845878,,
50408,-8.237586,-19.103355,2.353596,,
50489,-1.96133,-18.044237,-5.491724,,
50570,-2.863542,6.433163,-3.138128,,
50651,-2.353596,1.84365,-7.335374,,
50732,-17.455837,-20.005568,-0.431493,,
50813,-5.099459,-19.652529,0.039227,,
50894,-1.098345,9.179025,0.039227,,
50975,-1.725971,-5.177911,-1.84365,,
51056,-12.395606,-16.082907,-16.004454,,
51137,-8.786758,-16.945892,3.961887,,
51218,-5.76631,-8.551399,-4.903325,,
51299,-2.785089,5.727084,-4.001113,,
51380,-10.27737,-4.981779,-0.862985,,
51461,-16.828213,-20.005568,-3.844207,,
51542,-2.785089,-12.630966,0.11768,,
51623,1.804424,9.139798,-0.627626,,
51704,-3.961887,-9.414385,0.784532,,
51785,-8.472946,-15.69064,0.274586,,
51866,-6.158576,-18.514957,-2.235916,,
51947,-5.374045,0.627626,-4.942552,,
52028,-2.432049,2.157463,-3.216581,,
52109,-13.376271,-8.904439,-5.648631,,
52190,-12.003341,-19.142582,-1.216025,,
52271,-0.902212,-3.569621,-4.314926,,
52352,0.980665,4.197247,-0.509946,,
52433,-4.04034,-4.981779,1.451384,,
52514,-7.374601,-17.76965,-0.156906,,
52595,-8.629852,-12.748646,-3.726527,,
52676,-1.804424,4.432606,-4.628739,,
52757,-4.2757,1.647517,-8.198359,,
52838,-16.357494,-20.005568,3.138128,,
52919,-3.883434,-13.886217,0.039227,,
53000,-1.608291,5.570178,-0.509946,,
53081,-3.92266,-3.883434,0.274586,,
53162,0.353039,-15.847548,-4.2757,,
53243,-3.765754,-16.357494,2.510503,,
53324,-5.805537,-3.608848,-2.432049,,
53405,-1.882877,3.295035,-2.981222,,
53486,-7.923774,-4.314926,-0.392266,,
53567,-15.612188,-16.985119,-0.549172,,
53590,-20.005568,-20.005568,-10.826543,,
53622,-4.824872,-16.945892,2.471276,,
53686,-8.08068,-5.530951,-3.844207,,
53720,-2.039783,2.902768,-2.432049,,
53776,-9.218252,-1.333704,-0.902212,,
53913,-17.887331,-19.495621,-1.059118,,
53989,-1.059118,-10.198917,-0.784532,,
54144,0.549172,10.591183,0.156906,,
54159,-5.844764,-12.513286,4.707192,,
54201,-1.137571,-1.922104,-1.137571,,
54215,-19.456394,-19.887888,-1.569064,,
54296,-6.550843,-20.005568,0.941438,,
54377,0.509946,2.235916,1.059118,,
54458,-1.137571,-1.922104,-1.137571,,
54539,-20.005568,-20.005568,-10.826543,,
54620,-4.824872,-16.945892,2.471276,,
54701,-8.08068,-5.530951,-3.844207,,
54782,-2.039783,2.902768,-2.432049,,
54863,-9.218252,-1.333704,-0.902212,,
54944,-17.887331,-19.495621,-1.059118,,
55025,-1.059118,-10.198917,-0.784532,,
55106,0.549172,10.591183,0.156906,,
55187,-5.844764,-12.513286,4.707192,,
55268,-14.160804,-15.612188,1.176798,,
55349,-4.981779,-11.336488,-1.490611,,
55430,-4.511059,1.608291,-3.92266,,
55511,-2.275143,3.92266,-2.549729,,
55592,-15.298375,-11.807208,-9.296705,,
55673,-13.493951,-17.848104,-1.922104,,
55754,-1.529837,-3.020448,-4.824872,,
55835,0.549172,4.471833,-2.275143,,
55916,-13.101686,-12.042567,5.374045,,
55997,-6.746975,-16.318266,2.981222,,
56078,-8.66908,-11.218808,-4.707192,,
56159,-3.373488,6.511616,-2.824315,,
56240,-1.490611,2.471276,-1.608291,,
56321,-20.005568,-20.005568,-4.707192,,
56402,-6.982335,-18.671862,-0.470719,,
56483,-0.392266,5.962444,-2.902768,,
56564,-0.509946,-3.608848,-0.431493,,
56645,-18.044237,-14.827656,-10.27737,,
56726,-9.453611,-13.650858,1.686744,,
56807,-6.786202,-4.2757,-3.451941,,
56888,-1.647517,5.687858,-3.059675,,
56969,-9.296705,-6.158576,-0.823759,,
57050,-19.181808,-16.553627,-0.941438,,
57131,-2.353596,-11.846434,-0.274586,,
57212,1.098345,8.904439,-0.353039,,
57293,-8.943666,-8.904439,3.569621,,
57374,-9.610518,-18.985676,2.039783,,
57455,-7.374601,-11.493395,-1.490611,,
57536,-3.451941,1.059118,-4.981779,,
57617,-2.039783,1.608291,-2.981222,,
57698,-13.415498,-16.475172,-6.903882,,
57779,-8.825986,-20.005568,-2.628182,,
57860,-0.588399,-2.471276,-3.80498,,
57941,-0.980665,3.883434,-0.627626,,
58022,-13.258593,-17.887331,-3.255808,,
58103,-8.865212,-16.592852,4.314926,,
58184,-7.374601,-11.88566,-4.197247,,
58265,-1.569064,6.746975,-3.961887,,
58346,-2.118237,-0.470719,-2.07901,,
58427,-20.005568,-20.005568,-1.216025,,
58508,-4.707192,-18.318823,1.922104,,
58589,-0.470719,7.453054,-1.922104,,
58670,0,-5.217138,-2.275143,,
58751,-7.84532,-14.866882,0.627626,,
58832,-6.080123,-16.082907,1.412158,,
58913,-6.903882,-4.589512,-3.80498,,
58994,-1.019892,6.825429,-3.020448,,
