ACC Z,ACC Y,ACC X,Time [sec]
2.9,-9.11,-1.58,0.062
2.99,-9.01,-1.67,0.155
3.14,-8.96,-1.79,0.269
3.18,-8.93,-1.97,0.325
3.18,-8.93,-1.97,0.435
3.18,-8.93,-1.97,0.493
3.18,-8.93,-1.97,0.573
3.18,-8.93,-1.97,0.659
3.18,-8.93,-1.97,0.747
3.18,-8.93,-1.97,0.832
3.18,-8.93,-1.97,0.892
3.23,-8.89,-2.08,0.976
3.19,-8.89,-2.11,1.06
3.28,-8.81,-2.08,1.147
3.28,-8.81,-2.08,1.203
3.28,-8.81,-2.08,1.291
3.28,-8.81,-2.08,1.374
3.28,-8.81,-2.08,1.454
3.28,-8.81,-2.08,1.54
3.28,-8.81,-2.08,1.592
3.28,-8.81,-2.08,1.676
3.13,-10.98,-2.75,1.757
2.82,-11.55,-3.48,1.847
1.27,-9.51,-2.98,1.942
1.27,-9.51,-2.98,2.022
1.27,-9.51,-2.98,2.102
1.27,-9.51,-2.98,2.19
1.27,-9.51,-2.98,2.276
1.27,-9.51,-2.98,2.362
1.27,-9.51,-2.98,2.449
1.27,-9.51,-2.98,2.532
1.48,-11.09,-1.37,2.619
0.8,-10.02,-0.51,2.708
0.68,-8.56,-1.05,2.761
0.68,-8.56,-1.05,2.851
0.68,-8.56,-1.05,2.917
0.68,-8.56,-1.05,3
0.68,-8.56,-1.05,3.093
0.68,-8.56,-1.05,3.149
0.68,-8.56,-1.05,3.24
0.68,-8.56,-1.05,3.332
0.51,-8.56,-0.44,3.426
0.44,-9.44,-0.44,3.488
1.1,-8.97,-0.2,3.572
1.1,-8.97,-0.2,3.665
1.1,-8.97,-0.2,3.721
1.1,-8.97,-0.2,3.812
1.1,-8.97,-0.2,3.9
1.1,-8.97,-0.2,3.964
1.1,-8.97,-0.2,4.045
1.1,-8.97,-0.2,4.132
1.2,-8.97,-1.28,4.224
0.81,-8.15,-0.97,4.316
-0.97,-8.39,-0.39,4.407
-0.97,-8.39,-0.39,4.463
-0.97,-8.39,-0.39,4.52
-0.97,-8.39,-0.39,4.613
-0.97,-8.39,-0.39,4.703
-0.97,-8.39,-0.39,4.796
-0.97,-8.39,-0.39,4.885
-0.97,-8.39,-0.39,4.946
-0.9,-8.39,-0.37,5.001
-0.22,-6.11,-0.89,5.094
0.75,-6.51,-1.24,5.19
0.75,-6.51,-1.24,5.287
0.75,-6.51,-1.24,5.38
0.75,-6.51,-1.24,5.442
0.75,-6.51,-1.24,5.534
0.75,-6.51,-1.24,5.596
0.75,-6.51,-1.24,5.686
0.75,-6.51,-1.24,5.747
-0.29,-5.86,-2.64,5.834
0.04,-4.08,-1.6,5.927
1.19,-5.75,-1.43,6.016
1.19,-5.75,-1.43,6.076
1.19,-5.75,-1.43,6.167
1.19,-5.75,-1.43,6.227
1.19,-5.75,-1.43,6.32
1.19,-5.75,-1.43,6.412
1.19,-5.75,-1.43,6.505
1.19,-5.75,-1.43,6.564
0.75,1.18,0,6.655
-0.89,-0.67,-0.18,6.716
-0.34,-5.95,-4.9,6.807
-0.34,-5.95,-4.9,6.897
-0.34,-5.95,-4.9,6.995
-0.34,-5.95,-4.9,7.058
-0.34,-5.95,-4.9,7.147
-0.34,-5.95,-4.9,7.211
-0.34,-5.95,-4.9,7.299
-0.34,-5.95,-4.9,7.361
-0.46,-6.9,-6.13,7.456
2.01,-9.87,-7.11,7.551
2.5,-8.07,-4.69,7.621
2.5,-8.07,-4.69,7.707
2.5,-8.07,-4.69,7.772
2.5,-8.07,-4.69,7.873
2.5,-8.07,-4.69,7.937
2.5,-8.07,-4.69,8.032
2.5,-8.07,-4.69,8.127
2.5,-8.07,-4.69,8.189
3.47,-7.98,-4.6,8.274
5.56,-11.19,-0.97,8.369
4.65,-12.46,2.51,8.469
4.65,-12.46,2.51,8.477
4.65,-12.46,2.51,8.57
4.65,-12.46,2.51,8.659
4.65,-12.46,2.51,8.752
4.65,-12.46,2.51,8.845
4.65,-12.46,2.51,8.931
4.65,-12.46,2.51,8.988
5.7,-14.23,3.52,9.077
3.19,-13.7,1.69,9.14
2.33,-14.33,1.32,9.229
2.33,-14.33,1.32,9.313
2.33,-14.33,1.32,9.4
2.33,-14.33,1.32,9.497
2.33,-14.33,1.32,9.556
2.33,-14.33,1.32,9.65
2.33,-14.33,1.32,9.742
2.33,-14.33,1.32,9.805
2.29,-19.29,7.31,9.897
4.33,-20.01,6.09,9.96
3.99,-13.57,4.99,10.051
3.99,-13.57,4.99,10.144
3.99,-13.57,4.99,10.208
3.99,-13.57,4.99,10.301
3.99,-13.57,4.99,10.36
3.99,-13.57,4.99,10.417
3.99,-13.57,4.99,10.505
3.99,-13.57,4.99,10.594
5.15,-13.55,2.31,10.686
4.28,-12.17,4.68,10.781
6.97,-11.34,3.71,10.844
6.97,-11.34,3.71,10.934
6.97,-11.34,3.71,11.032
6.97,-11.34,3.71,11.095
6.97,-11.34,3.71,11.189
6.97,-11.34,3.71,11.283
6.97,-11.34,3.71,11.344
6.97,-11.34,3.71,11.434
4.28,-7.28,0.13,11.494
2.21,-0.56,-1.78,11.59
0.8,-6.64,-1.27,11.683
0.8,-6.64,-1.27,11.773
0.8,-6.64,-1.27,11.845
0.8,-6.64,-1.27,11.939
0.8,-6.64,-1.27,12.009
0.8,-6.64,-1.27,12.102
0.8,-6.64,-1.27,12.16
0.8,-6.64,-1.27,12.221
0.75,-2.67,-1.45,12.313
3.45,-10.76,-1.7,12.41
2.93,-11.95,-1.37,12.504
2.93,-11.95,-1.37,12.561
2.93,-11.95,-1.37,12.653
2.93,-11.95,-1.37,12.718
2.93,-11.95,-1.37,12.808
2.93,-11.95,-1.37,12.905
2.93,-11.95,-1.37,12.968
2.93,-11.95,-1.37,13.025
7.45,-20.01,-2.11,13.12
4.48,-20.01,-2.69,13.216
4.31,-11.53,-1.77,13.309
4.31,-11.53,-1.77,13.406
4.31,-11.53,-1.77,13.47
4.31,-11.53,-1.77,13.53
4.31,-11.53,-1.77,13.625
4.31,-11.53,-1.77,13.692
4.31,-11.53,-1.77,13.782
4.31,-11.53,-1.77,13.848
-0.55,-11.53,-1.92,13.942
-0.34,-3.84,-1.14,14.044
0.99,-5.77,-1.77,14.104
0.99,-5.77,-1.77,14.192
0.99,-5.77,-1.77,14.291
0.99,-5.77,-1.77,14.357
0.99,-5.77,-1.77,14.411
0.99,-5.77,-1.77,14.51
