Time [sec],N
0,10.89
0.102,10.44
0.202,10.72
0.304,10.37
0.404,10.55
0.505,10.24
0.607,10.84
0.707,10.51
0.809,10.17
0.909,8.42
1.01,11.55
1.112,9.44
1.212,9.55
1.314,11.96
1.414,16.48
1.515,17.55
1.617,15.09
1.717,5.83
1.819,16.64
1.919,7.89
2.02,14.71
2.122,9.31
2.222,8.93
2.324,20.9
2.424,10.18
2.525,6.48
2.627,26.46
2.727,10.21
2.829,8.75
2.929,19.4
3.03,9.74
3.132,13.45
3.232,22.34
3.334,20.41
3.434,6.83
3.535,27.56
3.636,19.91
3.737,10.41
3.839,23.81
3.939,15.94
4.04,4.69
4.141,28.46
4.242,20.31
4.344,11.68
4.444,20.11
4.545,20.37
4.647,2.52
4.747,10.36
4.848,14.67
4.949,9.39
5.05,9.51
5.152,12.55
5.252,5.14
5.353,6.65
5.454,21.28
5.555,14.95
5.656,1.66
5.757,10.54
5.858,25.27
5.959,20.59
6.06,3.37
6.161,6.99
6.262,11.47
6.363,14.12
6.464,5.32
6.565,12.34
6.666,8.82
6.767,7.48
6.868,9.85
6.969,20.25
7.07,13.83
7.171,6.61
7.272,18.49
7.373,8.16
7.474,4.51
7.575,21.34
7.676,12.13
7.777,7.62
7.878,13.97
7.979,20.87
8.08,7.56
8.181,20.75
8.282,8.13
8.383,8.23
8.484,17.89
8.585,8.74
8.686,10.11
8.787,21.37
8.888,18.85
8.989,9.4
9.09,20.38
9.191,15.71
9.292,3.9
9.393,17.34
9.494,17.02
9.595,7.99
9.696,19.95
9.797,20.06
9.898,4.16
9.999,19.4
10.1,15.8
10.201,6.57
10.302,4.5
10.403,16.9
10.504,10.56
10.605,8.18
10.706,21.55
10.807,21.7
10.908,7.51
11.009,23.55
11.11,11.84
11.211,10.36
11.312,10.27
11.413,22.3
11.514,7.08
11.615,5.44
11.716,10.47
11.817,14.48
11.918,14.79
12.019,5.85
12.12,12.69
12.221,12.57
12.322,8.38
12.423,12.85
