ACC Z,ACC Y,ACC X,Time [sec]
1.65,-9.72,-2.46,0.012
1.86,-9.7,-2.47,0.095
1.97,-9.61,-2.42,0.197
1.97,-9.61,-2.42,0.265
1.97,-9.61,-2.42,0.327
1.97,-9.61,-2.42,0.399
1.97,-9.61,-2.42,0.482
1.97,-9.61,-2.42,0.58
1.97,-9.61,-2.42,0.659
1.97,-9.61,-2.42,0.743
2.25,-9.61,-2.67,0.812
2.18,-9.14,-2.8,0.905
2.3,-8.12,-3.24,0.982
2.3,-8.12,-3.24,1.059
2.3,-8.12,-3.24,1.139
2.3,-8.12,-3.24,1.232
2.3,-8.12,-3.24,1.319
2.3,-8.12,-3.24,1.389
2.3,-8.12,-3.24,1.452
2.3,-8.12,-3.24,1.529
1.96,-11.27,-2.77,1.629
1.99,-12.74,-2.2,1.703
0.64,-10.12,-1.94,1.783
0.64,-10.12,-1.94,1.889
0.64,-10.12,-1.94,1.972
0.64,-10.12,-1.94,2.048
0.64,-10.12,-1.94,2.119
0.64,-10.12,-1.94,2.195
0.64,-10.12,-1.94,2.271
0.64,-10.12,-1.94,2.344
1.32,-9.48,-2.18,2.444
0.24,-5.95,-2.6,2.53
0,-4.56,-1.79,2.601
0,-4.56,-1.79,2.668
0,-4.56,-1.79,2.775
0,-4.56,-1.79,2.858
0,-4.56,-1.79,2.925
0,-4.56,-1.79,2.992
0,-4.56,-1.79,3.091
0,-4.56,-1.79,3.173
0.04,-3.53,-1.87,3.252
0.47,-3.88,-0.8,3.331
1.28,-4.13,0.09,3.4
1.28,-4.13,0.09,3.488
1.28,-4.13,0.09,3.566
1.28,-4.13,0.09,3.651
1.28,-4.13,0.09,3.732
1.28,-4.13,0.09,3.815
1.28,-4.13,0.09,3.892
1.28,-4.13,0.09,3.98
0.92,1.61,-0.03,4.054
3.19,4.88,-0.8,4.158
7.54,-0.48,-4.52,4.24
7.54,-0.48,-4.52,4.308
7.54,-0.48,-4.52,4.379
7.54,-0.48,-4.52,4.458
7.54,-0.48,-4.52,4.555
7.54,-0.48,-4.52,4.627
7.54,-0.48,-4.52,4.703
7.54,-0.48,-4.52,4.784
6.12,-0.42,-4.38,4.86
4.92,-8.62,-4.73,4.968
2.48,-11.47,-1.62,5.059
2.48,-11.47,-1.62,5.127
2.48,-11.47,-1.62,5.197
2.48,-11.47,-1.62,5.271
2.48,-11.47,-1.62,5.358
2.48,-11.47,-1.62,5.434
2.48,-11.47,-1.62,5.502
2.48,-11.47,-1.62,5.599
5.54,-14.47,-0.12,5.673
7.87,-13.96,-0.47,5.761
6.59,-13.96,-1.41,5.838
6.59,-13.96,-1.41,5.935
6.59,-13.96,-1.41,6.013
6.59,-13.96,-1.41,6.1
6.59,-13.96,-1.41,6.178
6.59,-13.96,-1.41,6.254
6.59,-13.96,-1.41,6.327
6.59,-13.96,-1.41,6.4
9.24,-18.78,-2.25,6.493
6.29,-19.72,-0.99,6.572
5.53,-10.7,0.26,6.654
5.53,-10.7,0.26,6.731
5.53,-10.7,0.26,6.812
5.53,-10.7,0.26,6.889
5.53,-10.7,0.26,6.976
5.53,-10.7,0.26,7.053
5.53,-10.7,0.26,7.124
5.53,-10.7,0.26,7.207
-0.12,-8.7,-0.84,7.288
0.09,0.03,-0.14,7.368
1.05,-4.3,-2.75,7.45
1.05,-4.3,-2.75,7.528
1.05,-4.3,-2.75,7.607
1.05,-4.3,-2.75,7.715
