""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""145162.0""","""14.04""","""-5.22""","""-0.47"""
"""145263.0""","""4.28""","""1.06""","""0.43"""
"""145364.0""","""6.47""","""-2.04""","""1.18"""
"""145465.0""","""13.06""","""-4.24""","""3.18"""
"""145566.0""","""18.95""","""-1.61""","""-0.2"""
"""145667.0""","""12.12""","""-3.22""","""-1.22"""
"""145768.0""","""4.31""","""-2.0""","""-0.63"""
"""145869.0""","""9.34""","""-5.65""","""0.08"""
"""145970.0""","""10.12""","""-2.71""","""-0.31"""
"""146071.0""","""14.83""","""-4.31""","""-3.88"""
"""146172.0""","""14.36""","""-0.67""","""-1.1"""
"""146273.0""","""5.73""","""-1.53""","""-0.2"""
"""146374.0""","""3.65""","""-1.92""","""2.08"""
"""146475.0""","""16.83""","""-4.04""","""1.29"""
"""146576.0""","""20.01""","""-2.0""","""-2.08"""
"""146677.0""","""6.86""","""-3.33""","""-0.59"""
"""146778.0""","""7.1""","""-0.43""","""-1.37"""
"""146879.0""","""7.81""","""-3.96""","""-0.24"""
"""146980.0""","""10.98""","""-1.88""","""-0.71"""
"""147081.0""","""16.63""","""-3.22""","""-3.41"""
"""147182.0""","""13.49""","""-0.31""","""-0.55"""
"""147283.0""","""5.61""","""-2.94""","""-1.18"""
"""147384.0""","""4.98""","""-0.71""","""1.84"""
"""147485.0""","""13.18""","""-4.12""","""-0.63"""
"""147586.0""","""20.01""","""2.47""","""-1.88"""
"""147687.0""","""8.83""","""-2.82""","""-1.8"""
"""147788.0""","""4.98""","""-0.04""","""-1.8"""
"""147889.0""","""9.61""","""-4.43""","""0.24"""
"""147990.0""","""8.55""","""-4.55""","""0.08"""
"""148091.0""","""14.95""","""-1.57""","""-1.33"""
"""148192.0""","""12.51""","""-1.84""","""0.16"""
"""148293.0""","""7.06""","""-2.55""","""0.08"""
"""148394.0""","""4.08""","""-4.0""","""2.0"""
"""148495.0""","""11.92""","""-2.55""","""0.94"""
"""148596.0""","""13.65""","""-1.69""","""-0.59"""
"""148697.0""","""5.65""","""-4.04""","""-0.67"""
"""148798.0""","""8.98""","""-0.75""","""-1.33"""
"""148899.0""","""6.86""","""-0.71""","""-0.55"""
"""149000.0""","""10.9""","""-2.35""","""-0.39"""
"""149101.0""","""10.63""","""-5.88""","""0.2"""
"""149202.0""","""13.18""","""-2.24""","""-4.16"""
"""149303.0""","""10.55""","""-2.9""","""-0.67"""
"""149404.0""","""4.82""","""0.24""","""0.16"""
"""149505.0""","""8.39""","""0.27""","""1.69"""
"""149606.0""","""10.79""","""-6.94""","""4.08"""
"""149707.0""","""20.01""","""0.71""","""-3.33"""
"""149808.0""","""9.06""","""-5.84""","""-1.49"""
"""149909.0""","""4.98""","""-2.16""","""-1.02"""
"""150010.0""","""7.02""","""-4.82""","""0.98"""
"""150111.0""","""10.12""","""-4.08""","""0.75"""
"""150212.0""","""12.91""","""-3.69""","""-6.16"""
"""150313.0""","""15.14""","""-2.55""","""-1.65"""
"""150414.0""","""5.06""","""-0.35""","""0.24"""
"""150515.0""","""5.84""","""-1.49""","""1.37"""
"""150616.0""","""14.36""","""-3.8""","""0.2"""
"""150717.0""","""20.01""","""-1.41""","""-1.61"""
"""150818.0""","""9.57""","""-4.94""","""-1.02"""
"""150919.0""","""6.35""","""-0.35""","""-0.39"""
"""151020.0""","""8.67""","""-4.75""","""-0.51"""
"""151121.0""","""10.08""","""-2.9""","""-0.55"""
"""151222.0""","""16.51""","""-4.35""","""-3.96"""
"""151323.0""","""11.92""","""-0.27""","""-0.27"""
"""151424.0""","""6.08""","""-2.47""","""-0.39"""
"""151525.0""","""5.14""","""-1.29""","""1.8"""
"""151626.0""","""11.85""","""-3.33""","""0.35"""
"""151727.0""","""10.98""","""-4.79""","""2.51"""
"""151828.0""","""7.37""","""0.27""","""-0.78"""
"""151929.0""","""7.69""","""1.57""","""-0.27"""
"""152030.0""","""7.49""","""-2.55""","""-1.8"""
"""152131.0""","""9.34""","""-3.96""","""-0.75"""
"""152232.0""","""12.87""","""-3.02""","""-1.06"""
"""152333.0""","""9.06""","""-1.92""","""-1.77"""
"""152434.0""","""11.3""","""-4.47""","""-1.18"""
"""152535.0""","""4.31""","""0.75""","""0.55"""
"""152636.0""","""8.12""","""-1.69""","""1.84"""
"""152737.0""","""11.1""","""-5.49""","""4.35"""
"""152838.0""","""11.49""","""0.9""","""-0.59"""
"""152939.0""","""11.45""","""-3.8""","""-2.2"""
"""153040.0""","""5.92""","""-1.29""","""-0.98"""
"""153141.0""","""9.22""","""-3.88""","""-0.04"""
"""1.5324214E7""","""12.47""","""-1.1""","""-0.78"""
"""153444.0""","""12.04""","""-3.45""","""-0.86"""
"""153545.0""","""6.32""","""-0.86""","""0.31"""
"""153646.0""","""5.88""","""-2.16""","""1.14"""
"""153747.0""","""11.69""","""-2.67""","""0.27"""
"""153848.0""","""19.93""","""-2.47""","""1.26"""
"""153949.0""","""6.32""","""-2.04""","""-0.47"""
"""154050.0""","""6.16""","""-0.16""","""-0.43"""
"""154151.0""","""8.24""","""-1.77""","""-1.26"""
"""154252.0""","""9.38""","""-2.43""","""0.47"""
"""154353.0""","""13.77""","""-3.65""","""-1.65"""
"""154454.0""","""9.89""","""-2.12""","""-0.63"""
"""154555.0""","""10.59""","""-4.59""","""-1.26"""
"""1546569.1""","""3.45""","""-0.12""","""0.51"""
"""154858.0""","""11.65""","""-5.81""","""6.51"""
"""154959.0""","""10.98""","""2.47""","""-0.63"""
"""155060.0""","""10.59""","""-2.63""","""-1.53"""
"""155161.0""","""6.63""","""-2.43""","""-1.29"""
