""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""273634.0""","""9.53""","""-2.79""","""2.67"""
"""273735.0""","""9.34""","""-2.47""","""2.63"""
"""273836.0""","""9.1""","""-2.75""","""2.9"""
"""273937.0""","""8.79""","""-3.1""","""3.14"""
"""274038.0""","""7.77""","""-1.69""","""3.22"""
"""274139.0""","""10.32""","""-4.24""","""4.59"""
"""274240.0""","""6.47""","""-1.84""","""1.53"""
"""274341.0""","""13.53""","""-1.84""","""0.71"""
"""274442.0""","""5.69""","""-1.73""","""-2.04"""
"""274543.0""","""7.41""","""-2.98""","""-0.08"""
"""274644.0""","""10.4""","""-6.47""","""1.92"""
"""274745.0""","""12.98""","""-4.98""","""-6.79"""
"""274846.0""","""16.4""","""-2.75""","""-1.65"""
"""274947.0""","""1.8""","""-0.35""","""2.35"""
"""275048.0""","""8.04""","""-0.86""","""1.92"""
"""275149.0""","""9.92""","""-7.69""","""5.81"""
"""275250.0""","""6.71""","""2.28""","""0.94"""
"""275351.0""","""12.0""","""-1.45""","""-0.86"""
"""275452.0""","""4.39""","""-5.1""","""-0.78"""
"""275553.0""","""9.38""","""-3.88""","""0.9"""
"""275654.0""","""19.1""","""-3.57""","""-3.02"""
"""275755.0""","""11.41""","""-1.49""","""-0.24"""
"""275856.0""","""5.53""","""-3.18""","""0.86"""
"""275957.0""","""3.37""","""-1.49""","""2.47"""
"""276058.0""","""10.36""","""-4.08""","""2.47"""
"""276159.0""","""18.83""","""-1.69""","""0.12"""
"""276260.0""","""10.67""","""-5.02""","""-0.59"""
"""276361.0""","""6.59""","""0.86""","""-1.37"""
"""276462.0""","""4.43""","""-4.67""","""0.04"""
"""276563.0""","""9.92""","""-3.96""","""1.73"""
"""276664.0""","""17.93""","""-2.51""","""-4.47"""
"""276765.0""","""12.24""","""0.2""","""0.08"""
"""276866.0""","""7.61""","""-3.37""","""0.31"""
"""276967.0""","""3.45""","""-0.59""","""1.92"""
"""277068.0""","""7.65""","""-2.9""","""1.22"""
"""277169.0""","""8.39""","""-6.08""","""3.88"""
"""277270.0""","""6.79""","""2.04""","""-3.65"""
"""277371.0""","""11.89""","""1.88""","""0.2"""
"""277472.0""","""5.88""","""-5.61""","""-0.51"""
"""277573.0""","""3.53""","""-1.73""","""1.8"""
"""277674.0""","""8.28""","""-8.04""","""1.06"""
"""277775.0""","""10.24""","""3.14""","""-4.59"""
"""277876.0""","""16.75""","""-7.81""","""4.67"""
"""277977.0""","""1.61""","""-7.73""","""2.79"""
"""278078.0""","""-1.73""","""1.61""","""1.41"""
"""278179.0""","""12.55""","""-1.1""","""-0.43"""
"""278280.0""","""2.35""","""-10.87""","""2.55"""
"""278381.0""","""12.79""","""-1.06""","""-0.08"""
"""278482.0""","""4.16""","""-4.71""","""1.57"""
"""278583.0""","""6.47""","""0.0""","""-1.84"""
"""278684.0""","""20.01""","""-12.87""","""4.79"""
"""278785.0""","""6.08""","""-8.79""","""3.14"""
"""278886.0""","""-0.51""","""2.04""","""1.45"""
"""278987.0""","""14.59""","""5.06""","""-4.39"""
"""279088.0""","""16.51""","""-16.95""","""4.04"""
"""279189.0""","""10.0""","""-0.78""","""0.08"""
"""279290.0""","""1.53""","""-2.98""","""1.53"""
"""279391.0""","""7.37""","""-2.24""","""-3.65"""
"""279492.0""","""20.01""","""-5.61""","""1.73"""
"""279593.0""","""3.37""","""-5.84""","""3.8"""
"""279694.0""","""3.41""","""2.71""","""-0.98"""
"""279795.0""","""20.01""","""-0.98""","""-3.61"""
"""279896.0""","""6.55""","""-4.71""","""5.1"""
"""279997.0""","""7.92""","""-2.67""","""0.12"""
"""280098.0""","""5.69""","""-2.94""","""0.59"""
"""280199.0""","""7.18""","""-4.82""","""-1.96"""
"""280300.0""","""20.01""","""-1.14""","""2.75"""
"""280401.0""","""8.39""","""-8.55""","""1.33"""
"""280502.0""","""-1.26""","""0.86""","""2.43"""
"""280603.0""","""20.01""","""-4.24""","""4.2"""
"""280704.0""","""20.01""","""-7.41""","""3.14"""
"""280805.0""","""12.75""","""-7.73""","""-0.67"""
"""280906.0""","""4.51""","""0.94""","""0.12"""
"""281007.0""","""10.36""","""-3.96""","""-2.43"""
"""281108.0""","""7.57""","""-6.04""","""2.08"""
"""281209.0""","""16.51""","""-3.06""","""-5.26"""
"""281310.0""","""17.46""","""-4.2""","""-0.04"""
"""281411.0""","""2.24""","""0.16""","""-0.08"""
"""281512.0""","""6.47""","""1.45""","""1.57"""
"""281613.0""","""14.91""","""-7.41""","""2.82"""
"""281714.0""","""6.2""","""0.67""","""-0.67"""
"""281815.0""","""14.91""","""1.37""","""-2.12"""
"""281916.0""","""2.67""","""-4.16""","""-2.63"""
"""282017.0""","""10.94""","""-8.04""","""0.39"""
"""282118.0""","""10.24""","""-3.3""","""1.02"""
"""282219.0""","""13.14""","""-2.2""","""-1.57"""
"""282320.0""","""9.53""","""-6.16""","""0.39"""
"""282421.0""","""2.2""","""0.16""","""1.65"""
"""282522.0""","""6.86""","""-4.51""","""0.98"""
"""282623.0""","""14.91""","""-0.94""","""-0.35"""
"""282724.0""","""4.75""","""-2.43""","""0.35"""
"""282825.0""","""10.04""","""3.26""","""-0.08"""
"""282926.0""","""6.08""","""-4.51""","""-0.63"""
"""283027.0""","""9.38""","""-4.63""","""-0.24"""
"""283128.0""","""13.85""","""-3.3""","""0.55"""
"""283229.0""","""10.94""","""-1.29""","""-0.94"""
"""283330.0""","""10.2""","""-6.08""","""0.67"""
"""283431.0""","""3.88""","""0.47""","""2.24"""
"""283532.0""","""7.77""","""0.24""","""1.18"""
"""283633.0""","""8.55""","""-9.22""","""3.8"""
"""283734.0""","""5.73""","""2.71""","""0.08"""
"""283835.0""","""16.04""","""-0.82""","""-0.55"""
"""283936.0""","""4.31""","""-2.63""","""-1.33"""
"""284037.0""","""3.77""","""-3.06""","""1.18"""
"""284138.0""","""6.83""","""-4.86""","""3.37"""
"""284239.0""","""20.01""","""4.43""","""-3.88"""
"""284340.0""","""12.98""","""-9.73""","""2.47"""
"""284441.0""","""-0.51""","""-0.08""","""2.04"""
"""284542.0""","""3.33""","""0.55""","""-0.98"""
"""284643.0""","""12.83""","""4.04""","""-0.78"""
"""284744.0""","""3.84""","""-6.9""","""5.3"""
"""284845.0""","""9.89""","""-2.31""","""-0.51"""
"""284946.0""","""3.18""","""-1.26""","""-0.55"""
"""285047.0""","""10.43""","""-0.08""","""-2.08"""
"""285148.0""","""15.06""","""-4.9""","""3.73"""
"""285249.0""","""1.77""","""-0.63""","""3.65"""
"""285350.0""","""1.73""","""0.39""","""0.2"""
"""285451.0""","""20.01""","""-12.24""","""-2.04"""
"""285552.0""","""10.36""","""-2.55""","""3.61"""
"""285653.0""","""2.98""","""-6.35""","""0.27"""
"""285754.0""","""2.43""","""-0.24""","""0.86"""
"""285855.0""","""10.0""","""-3.37""","""-0.47"""
"""285956.0""","""14.16""","""-7.3""","""6.0"""
"""286057.0""","""2.75""","""-3.1""","""1.37"""
"""286158.0""","""-1.8""","""0.31""","""0.04"""
"""286259.0""","""15.1""","""-4.04""","""5.06"""
"""286360.0""","""5.02""","""-8.55""","""-3.14"""
"""286461.0""","""13.57""","""-0.55""","""-2.82"""
