""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""544718.0""","""16.59""","""1.73""","""-2.31"""
"""544819.0""","""9.34""","""-2.98""","""4.47"""
"""544920.0""","""9.1""","""-0.08""","""-0.71"""
"""545021.0""","""5.96""","""-1.57""","""-1.22"""
"""545122.0""","""9.45""","""-3.88""","""-0.59"""
"""545223.0""","""8.9""","""-2.67""","""-0.2"""
"""545324.0""","""8.36""","""-4.31""","""-0.94"""
"""545425.0""","""10.71""","""-5.57""","""0.47"""
"""545526.0""","""18.67""","""-2.12""","""-2.79"""
"""545627.0""","""11.22""","""-4.67""","""-1.14"""
"""545728.0""","""5.02""","""-0.16""","""1.41"""
"""545829.0""","""5.14""","""-1.45""","""2.98"""
"""545930.0""","""7.57""","""-3.88""","""3.53"""
"""546031.0""","""9.77""","""-4.51""","""6.55"""
"""546132.0""","""10.04""","""2.63""","""-0.55"""
"""546233.0""","""12.91""","""-2.08""","""-0.86"""
"""546334.0""","""3.84""","""-1.14""","""-0.24"""
"""546435.0""","""8.55""","""-5.02""","""-0.24"""
"""546536.0""","""11.45""","""-2.59""","""1.14"""
"""546637.0""","""17.14""","""-7.69""","""-2.98"""
"""546738.0""","""12.2""","""0.0""","""-0.78"""
"""546839.0""","""4.35""","""-1.49""","""-0.78"""
"""546940.0""","""3.1""","""-0.51""","""2.16"""
"""547041.0""","""11.45""","""-3.41""","""3.84"""
"""547142.0""","""12.24""","""-8.2""","""3.3"""
"""547243.0""","""7.49""","""-0.12""","""-0.04"""
"""547344.0""","""9.57""","""-3.14""","""0.55"""
"""547445.0""","""6.24""","""0.35""","""-0.82"""
"""547546.0""","""7.53""","""-4.35""","""-1.8"""
"""547647.0""","""12.83""","""-4.39""","""2.28"""
"""547748.0""","""13.1""","""-2.04""","""-3.22"""
"""547849.0""","""13.73""","""-4.04""","""-0.59"""
"""547950.0""","""2.51""","""0.27""","""1.18"""
"""548051.0""","""9.92""","""-1.73""","""2.16"""
"""548152.0""","""8.94""","""-5.88""","""2.98"""
"""548253.0""","""19.93""","""2.12""","""-2.63"""
"""548354.0""","""7.34""","""-1.14""","""0.51"""
"""548455.0""","""8.12""","""-0.31""","""0.04"""
"""548556.0""","""6.94""","""-1.57""","""-0.82"""
"""548657.0""","""9.96""","""-4.98""","""-0.67"""
"""548758.0""","""13.06""","""-4.47""","""1.14"""
"""548859.0""","""11.26""","""-1.57""","""-2.63"""
"""548960.0""","""9.77""","""-3.02""","""-0.12"""
"""549061.0""","""0.98""","""0.08""","""1.49"""
"""549162.0""","""9.57""","""-0.27""","""3.77"""
"""549263.0""","""7.73""","""-8.24""","""6.94"""
"""549364.0""","""9.18""","""3.84""","""-0.51"""
"""549465.0""","""12.28""","""-4.71""","""-1.33"""
"""549566.0""","""4.59""","""-1.26""","""0.12"""
"""549667.0""","""10.12""","""-5.69""","""-0.9"""
"""549768.0""","""10.71""","""-2.75""","""-0.12"""
"""549869.0""","""12.51""","""-8.2""","""-2.9"""
"""549970.0""","""14.16""","""-1.37""","""-0.16"""
"""550071.0""","""5.06""","""-1.92""","""0.08"""
"""550172.0""","""2.28""","""-0.9""","""1.69"""
"""550273.0""","""12.75""","""-5.77""","""0.75"""
