""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""446041.0""","""7.85""","""-2.63""","""-1.69"""
"""446142.0""","""7.81""","""-2.35""","""-0.9"""
"""446243.0""","""9.89""","""-3.88""","""-0.86"""
"""446344.0""","""7.73""","""-2.67""","""-0.67"""
"""446445.0""","""10.28""","""-3.8""","""0.24"""
"""446546.0""","""14.95""","""-6.94""","""-2.35"""
"""446647.0""","""13.69""","""-0.04""","""-0.43"""
"""446748.0""","""6.86""","""-0.67""","""0.35"""
"""446849.0""","""5.69""","""-1.49""","""1.49"""
"""446950.0""","""9.22""","""-4.28""","""0.35"""
"""447051.0""","""9.57""","""-5.73""","""4.59"""
"""447152.0""","""8.55""","""0.63""","""1.02"""
"""447253.0""","""14.36""","""-2.39""","""-1.45"""
"""447354.0""","""4.59""","""-2.04""","""-0.47"""
"""447455.0""","""9.02""","""-6.24""","""0.24"""
"""447556.0""","""10.12""","""-2.24""","""0.43"""
"""447657.0""","""15.81""","""-3.22""","""-1.26"""
"""447758.0""","""15.73""","""-1.69""","""0.12"""
"""447859.0""","""5.45""","""-2.63""","""0.04"""
"""447960.0""","""3.37""","""-0.67""","""1.26"""
"""448061.0""","""12.16""","""-4.0""","""-0.67"""
"""448162.0""","""6.59""","""-7.34""","""4.39"""
"""448263.0""","""6.28""","""2.94""","""-1.73"""
"""448364.0""","""14.0""","""-1.37""","""-1.61"""
"""448465.0""","""3.65""","""-2.24""","""-1.84"""
"""448566.0""","""11.69""","""-6.28""","""-1.49"""
"""448667.0""","""8.71""","""-5.57""","""1.65"""
"""448768.0""","""13.77""","""-3.57""","""-0.55"""
"""448869.0""","""12.0""","""-7.57""","""2.9"""
"""448970.0""","""5.02""","""-2.67""","""0.59"""
"""449071.0""","""4.9""","""-2.08""","""1.49"""
"""449172.0""","""11.61""","""-2.71""","""0.35"""
"""449273.0""","""8.47""","""-4.51""","""5.61"""
"""449374.0""","""3.22""","""2.35""","""-3.18"""
"""449475.0""","""10.43""","""2.47""","""-0.43"""
"""449576.0""","""5.53""","""-1.53""","""-2.31"""
"""449677.0""","""8.67""","""-5.92""","""-0.43"""
"""449778.0""","""10.59""","""-4.98""","""0.82"""
"""449879.0""","""9.41""","""-4.12""","""-3.14"""
"""449980.0""","""16.83""","""-1.49""","""0.12"""
"""450081.0""","""5.14""","""-1.57""","""1.37"""
"""450182.0""","""5.37""","""-0.31""","""1.96"""
"""450283.0""","""13.53""","""-5.41""","""4.08"""
"""450384.0""","""20.01""","""1.37""","""-3.22"""
"""450485.0""","""4.31""","""-4.35""","""0.35"""
"""450586.0""","""7.69""","""2.39""","""0.82"""
"""450687.0""","""7.34""","""-3.92""","""0.67"""
"""450788.0""","""10.12""","""-1.61""","""-1.41"""
"""450889.0""","""13.57""","""-4.39""","""-0.39"""
"""450990.0""","""13.34""","""-1.73""","""-1.49"""
"""451091.0""","""8.55""","""-3.8""","""1.02"""
"""451192.0""","""4.51""","""-1.22""","""1.14"""
"""451293.0""","""6.71""","""-1.1""","""1.29"""
"""451394.0""","""8.16""","""-8.04""","""5.26"""
"""451495.0""","""10.16""","""2.31""","""0.86"""
"""451596.0""","""14.16""","""-2.35""","""-1.96"""
"""451697.0""","""3.8""","""-1.96""","""-1.06"""
"""451798.0""","""7.61""","""-6.47""","""0.94"""
"""451899.0""","""9.06""","""-1.18""","""0.86"""
"""452000.0""","""14.71""","""-8.04""","""-4.98"""
"""452101.0""","""14.79""","""0.2""","""0.59"""
"""452202.0""","""6.47""","""-3.33""","""0.71"""
"""452303.0""","""4.12""","""-2.86""","""2.9"""
"""452404.0""","""13.65""","""-4.51""","""1.69"""
"""452505.0""","""6.35""","""-5.41""","""4.2"""
"""452606.0""","""8.63""","""1.1""","""0.0"""
"""452707.0""","""12.24""","""-1.18""","""-1.45"""
"""452808.0""","""4.39""","""-0.98""","""-1.49"""
"""452909.0""","""9.06""","""-8.24""","""0.75"""
"""453010.0""","""10.36""","""-0.75""","""0.24"""
"""453111.0""","""13.81""","""-5.61""","""-2.75"""
"""453212.0""","""14.44""","""-0.75""","""0.04"""
"""453313.0""","""5.1""","""-3.1""","""0.47"""
"""453414.0""","""3.8""","""-0.39""","""2.08"""
"""453515.0""","""13.69""","""-5.45""","""0.94"""
"""453616.0""","""18.16""","""-0.39""","""-1.92"""
"""453717.0""","""3.88""","""-1.77""","""-0.12"""
"""453818.0""","""7.69""","""1.18""","""0.31"""
"""453919.0""","""7.1""","""-4.12""","""0.0"""
"""454020.0""","""10.32""","""-2.71""","""-0.04"""
"""454121.0""","""16.44""","""-2.79""","""-3.37"""
"""454222.0""","""13.1""","""0.27""","""0.12"""
"""454323.0""","""6.55""","""-3.8""","""0.51"""
"""454424.0""","""3.57""","""-0.51""","""1.88"""
"""454525.0""","""11.77""","""-3.73""","""1.57"""
"""454626.0""","""10.0""","""-6.32""","""2.31"""
"""454727.0""","""3.26""","""3.02""","""1.14"""
"""454828.0""","""13.3""","""1.06""","""-1.53"""
"""454929.0""","""4.71""","""-2.24""","""-0.94"""
"""455030.0""","""8.94""","""-5.41""","""0.51"""
"""455131.0""","""11.06""","""-1.88""","""-0.2"""
"""455232.0""","""12.47""","""-5.33""","""-1.92"""
"""455333.0""","""15.65""","""-0.24""","""-0.43"""
"""455434.0""","""5.53""","""-3.88""","""0.51"""
"""455535.0""","""4.39""","""-1.06""","""1.88"""
"""455636.0""","""11.85""","""-3.1""","""1.45"""
"""455737.0""","""7.1""","""-8.2""","""4.55"""
"""455838.0""","""11.45""","""1.77""","""1.73"""
"""455939.0""","""14.0""","""-4.16""","""-1.49"""
"""456040.0""","""3.77""","""0.0""","""-0.63"""
"""456141.0""","""8.36""","""-7.61""","""0.59"""
"""456242.0""","""8.9""","""-0.39""","""-0.2"""
"""456343.0""","""14.04""","""-5.65""","""-1.77"""
"""456444.0""","""11.14""","""-0.39""","""-0.27"""
"""456545.0""","""10.59""","""-4.35""","""0.27"""
"""456646.0""","""3.92""","""-0.43""","""1.1"""
"""456747.0""","""8.36""","""-1.14""","""1.88"""
"""456848.0""","""8.32""","""-6.51""","""4.94"""
"""456949.0""","""20.01""","""-1.45""","""2.51"""
"""457050.0""","""10.63""","""-6.9""","""0.0"""
"""457151.0""","""5.61""","""-0.94""","""-0.04"""
"""457252.0""","""8.36""","""-2.94""","""-0.47"""
"""457353.0""","""8.79""","""-2.43""","""-0.51"""
"""457454.0""","""11.53""","""-3.77""","""1.37"""
"""457555.0""","""10.0""","""-0.08""","""-1.92"""
"""457656.0""","""12.63""","""-4.71""","""-0.2"""
"""457757.0""","""4.16""","""-0.67""","""0.82"""
"""457858.0""","""6.47""","""-0.47""","""1.96"""
"""457959.0""","""11.65""","""-6.9""","""3.84"""
"""458060.0""","""20.01""","""-2.2""","""-1.53"""
"""458161.0""","""7.34""","""-5.1""","""-0.51"""
"""458262.0""","""7.53""","""-0.63""","""-0.39"""
"""458363.0""","""8.04""","""-4.04""","""0.31"""
"""458464.0""","""8.43""","""-2.04""","""0.43"""
"""458565.0""","""15.14""","""-4.86""","""0.08"""
"""458666.0""","""12.59""","""-0.67""","""-2.08"""
"""458767.0""","""9.02""","""-5.69""","""-0.16"""
"""458868.0""","""4.04""","""-1.06""","""1.8"""
"""458969.0""","""7.14""","""-1.37""","""2.2"""
"""459070.0""","""9.18""","""-7.49""","""6.08"""
"""459171.0""","""9.53""","""1.84""","""0.9"""
"""459272.0""","""10.63""","""0.2""","""-0.98"""
"""459373.0""","""5.84""","""-2.63""","""-0.82"""
"""459474.0""","""9.3""","""-7.02""","""0.63"""
"""459575.0""","""9.57""","""-3.3""","""0.51"""
"""459676.0""","""14.32""","""-4.24""","""-3.8"""
"""459777.0""","""12.83""","""-0.94""","""0.94"""
"""459878.0""","""7.96""","""-2.63""","""0.27"""
"""459979.0""","""4.04""","""-1.22""","""2.51"""
"""4.6008016E7""","""11.89""","""-3.22""","""-0.47"""
"""460282.0""","""4.75""","""-0.43""","""-0.51"""
"""460383.0""","""9.49""","""2.35""","""-0.12"""
"""460484.0""","""6.59""","""-3.18""","""-0.9"""
"""460585.0""","""9.57""","""-4.04""","""-0.24"""
"""460686.0""","""9.92""","""-5.49""","""1.65"""
"""460787.0""","""12.51""","""-2.04""","""-4.2"""
"""460888.0""","""14.98""","""-3.02""","""0.55"""
"""460989.0""","""5.37""","""-1.45""","""0.78"""
"""461090.0""","""5.14""","""-1.88""","""2.28"""
"""461191.0""","""13.73""","""-4.35""","""1.26"""
"""461292.0""","""16.91""","""-0.98""","""-3.02"""
"""461393.0""","""5.69""","""-3.53""","""0.27"""
"""461494.0""","""8.36""","""2.63""","""-0.2"""
"""461595.0""","""8.08""","""-3.77""","""-1.1"""
"""461696.0""","""9.06""","""-5.26""","""0.75"""
"""461797.0""","""10.67""","""-4.47""","""0.75"""
"""461898.0""","""11.89""","""-2.39""","""-3.96"""
"""461999.0""","""13.57""","""-4.28""","""-0.47"""
"""462100.0""","""5.53""","""-0.94""","""0.51"""
"""462201.0""","""5.26""","""-1.29""","""2.71"""
"""462302.0""","""14.24""","""-4.39""","""1.84"""
"""462403.0""","""20.01""","""-2.67""","""0.67"""
"""462504.0""","""7.37""","""-2.63""","""-0.08"""
"""462605.0""","""7.49""","""0.16""","""-0.63"""
"""462706.0""","""7.77""","""-3.73""","""-0.35"""
