Time [sec],ACC X,ACC Y,ACC Z
82.54,-0.03999996,-0.08,-0.31
82.59,-0.35000038,-0.12,-0.43
82.64,0,-0.35,-0.43
82.69,0,-0.08,-0.31
82.75,-0.07999992,-0.04,-0.59
82.8,-0.10999966,-0.12,-0.24
82.85,-1.0200005,-0.35,-0.35
82.9,-0.31000042,-0.51,-0.43
82.95,0.39999962,-0.75,-0.86
83,-0.18999958,-0.16,-0.82
83.05,0.03999996,0.31,-1.29
83.1,-0.03999996,0.35,-0.86
83.15,0.07999992,0.2,-0.75
83.2,-0.03999996,-1.26,-0.67
83.25,-0.5100002,-0.78,-0.16
83.31,0.39999962,0.08,0.59
83.36,0,0.51,0.16
83.41,-0.6199999,0.78,1.61
83.46,0.27999973,-3.22,2.31
83.51,-1.4099998,-2.39,3.37
83.56,-2,-1.61,2.79
83.61,-1.4899998,-0.78,2.08
83.66,-0.35000038,-0.98,3.14
83.71,-0.97999954,-1.61,1.29
83.76,-1.3699999,-2.2,2.51
83.82,-1.8000002,-2.16,2.63
83.87,-1.7200003,-1.33,3.33
83.92,-1.7200003,-1.92,3.06
83.97,-0.97999954,-1.61,2.43
84.02,4.95,1.22,-1.37
84.07,-4,-1.57,-0.59
84.12,1.4099998,-4.08,-0.47
84.17,-0.47000027,-2.39,-0.24
84.22,-0.27000046,0.31,-1.69
84.28,-0.47000027,-0.98,-0.35
84.33,-1.29,-2.75,-1.37
84.38,-0.07999992,-2.2,-1.06
84.43,-0.65999985,-1.8,-1.18
84.48,-0.18999958,-0.35,-2
84.53,-0.03999996,-1.37,-1.49
84.58,0.8299999,-1.92,-1.96
84.63,0.6700001,-2.55,-1.37
84.68,3.1000004,-1.69,-2.47
84.73,-1.25,0.55,-0.27
84.79,2.2799997,-0.51,0.67
84.84,1.0200005,0.82,0.24
84.89,-1.3299999,0.08,0.59
84.94,-1.7200003,-0.24,0.63
84.99,-1.7600002,-0.82,0.59
85.04,-2.8600001,-1.92,1.61
85.09,-2.94,-2.04,2.75
85.14,-1.5299997,-4.63,4.43
85.19,-0.5500002,-3.73,2.63
85.24,-2,-3.33,2.2
85.29,9.459999,-0.9,0.55
85.35,-4.12,0.08,-1.37
85.4,-1.4499998,-2.79,-0.51
85.45,0.5500002,-2.63,0.35
85.5,0.15999985,-1.77,-1.02
85.55,-0.97999954,0.51,-0.75
85.6,-0.65999985,-2.94,-1.45
85.65,-0.65999985,-3.06,-0.94
85.7,-0.77999973,-2.31,-0.59
85.75,0.3199997,-1.29,-2.08
85.81,-0.03999996,-1.61,-0.98
85.86,0.27999973,-3.45,-1.49
85.91,4,-1.18,-1.84
85.96,-0.8999996,1.29,-0.16
86.01,2.1599998,-0.43,1.73
86.21,-2.3899999,0.51,1.61
86.98,0.5500002,-4.08,-0.75
87.03,4.4700003,1.06,-2.16
87.08,-0.97999954,3.26,0.9
87.13,5.26,-1.37,0.67
87.18,0.119999886,-2.55,2.16
87.23,-2.15,-3.02,2
87.28,-3.6100001,-0.51,1.02
87.33,-4,0.82,1.29
87.39,-5.88,-0.27,2.08
87.44,-4.47,-3.3,3.1
87.49,5.8900003,-5.65,4.12
87.54,-3.1399999,-4.08,4.39
87.59,1.1400003,0.94,9.85
87.64,-3.6100001,0.71,2.67
87.69,-5.21,-4.04,0.63
87.74,4.4399996,3.73,0.12
87.79,1.4899998,-1.88,-2.67
87.85,-4.12,-1.84,-1.88
87.9,0.8699999,-2.47,-1.1
87.95,-2.04,-2.2,-0.94
88,-1.0200005,-1.73,-0.67
88.05,-0.07999992,-3.73,-1.22
88.1,-0.03999996,-4.2,-0.71
88.15,3.7299995,-1.41,-2.71
88.2,0.75,3.8,0.75
88.25,4.83,-0.78,0.16
88.3,1.3400002,-2.9,1.73
88.36,-0.8199997,-4.08,1.37
88.41,-4.51,-0.63,0
88.46,-6.63,0.12,0.59
88.51,-5.65,0.59,2.04
88.56,-3.4499998,-3.26,2.79
88.61,4.12,-4.9,5.81
88.66,-0.39000034,-4.86,4.59
88.71,2.83,2.16,-0.43
88.76,-7.96,0.78,-4.79
88.81,9.969999,0.08,-1.49
88.86,-1.4499998,-2.39,-2.35
88.92,-1.0600004,-1.57,-0.9
88.97,-0.8199997,-1.88,-1.1
89.02,-1.8400002,-2.51,-0.75
89.07,-2.15,-3.02,-0.39
89.12,0,-2.35,-1.57
89.17,-0.10999966,-2.55,-2.24
89.22,0.07999992,-3.33,-1.45
89.27,1.7299995,-1.92,-3.26
89.32,2.87,5.37,0.39
89.37,4.2799997,-3.1,0.75
89.43,0.03999996,-3.92,2.16
89.48,-3.4499998,-1.26,0.55
89.53,-3.1399999,1.49,1.1
89.58,-3.65,-0.16,0.55
89.63,-4.98,-0.67,1.96
89.68,-4.04,-3.18,2.94
89.73,1.3800001,-4.59,6.47
89.78,1.4099998,-1.73,2.9
89.83,6,-3.8,2.82
89.89,-4.94,-0.31,4.39
89.94,0.59000015,-4.86,-1.26
89.99,-0.27000046,1.18,0.35
90.04,-0.03999996,-0.86,-1.45
90.09,-2.94,-1.29,-2.43
90.14,-0.8999996,-2.79,-0.98
90.19,-1.7600002,-2.82,-0.75
90.24,-1.3299999,-2.04,-1.73
90.29,0.03999996,-1.96,-1.77
90.34,-0.22999954,-3.96,-0.94
90.39,3.9300003,-2.55,-2.59
90.45,0.8699999,4.43,0.16
90.5,4,-0.51,1.29
90.55,0.03999996,-3.37,0.82
90.6,-2.15,-2.51,0.78
90.65,-3.7600002,0.04,0.47
90.7,-2.98,1.8,0.98
90.75,-3.6799998,-0.24,1.26
90.8,-4.08,-2.35,3.18
90.85,-0.5500002,-6.39,4.55
90.9,0.5500002,-3.73,2.2
90.96,10.01,-6,-0.16
91.01,-7.02,-0.08,1.49
91.06,2.67,-6,-2
91.11,-1.4499998,-0.86,1.14
91.16,-0.07999992,-0.55,-2.31
91.21,-1.7600002,-1.33,-2.2
91.26,-1.0600004,-2.63,-0.71
91.31,-1.8400002,-2.75,-0.59
91.36,-0.47000027,-1.73,-1.29
91.42,-0.22999954,-1.65,-2.28
91.47,-0.5100002,-4.59,-0.35
91.52,2.4700003,-1.73,-1.49
91.57,1.3000002,4.43,1.37
91.62,5.3,-2.82,0.51
91.67,0.15999985,-2.9,2.31
91.72,-2.4699998,-2.43,1.06
91.77,-4.04,0.24,0.86
91.82,-4.43,1.18,0.55
91.87,-4.94,-0.75,1.8
91.93,-2.63,-3.88,2.94
91.98,3.8900003,-5.69,5.81
92.03,-1.4499998,-4.39,3.53
92.08,9.299999,-1.57,0.27
92.13,-5.8,0.43,0.47
92.18,0.97999954,-1.96,-4
93,-4.98,0.35,1.88
93.05,-5.18,-2,3.06
93.1,2.87,-4.31,5.81
93.15,-1.6400003,-3.1,3.1
93.2,9.299999,-3.22,2
93.25,-4.67,-1.57,4.08
93.3,0.119999886,-4.98,-4.43
93.35,-0.35000038,1.29,1.88
93.4,-0.07999992,-1.18,-2
93.46,-2.5100002,-1.29,-1.96
93.51,-0.85999966,-3.8,-1.26
93.56,-2.08,-1.8,-0.9
93.61,-0.59000015,-1.61,-1.02
93.66,-0.18999958,-0.94,-2.12
93.71,0.59000015,-3.73,0.39
93.76,3.4899998,-3.26,-2.59
93.81,1.1000004,3.65,-0.51
93.96,-1.4099998,-3.22,1.88
94.02,-3.33,-0.94,0.94
94.07,-4.19,0.35,1.37
94.12,-4.94,0,1.29
94.17,-4.59,-2.55,2.47
94.22,3.6499996,-5.41,5.84
94.27,-1.3699999,-5.22,3.18
