"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""9.437184""","""12.98""","""-1.65""","""-2.31"""
"""9.512681472""","""7.53""","""-4.24""","""-4.08"""
"""9.554624512""","""5.61""","""0.43""","""-3.02"""
"""9.638510592000001""","""10.55""","""-6.00""","""-3.41"""
"""9.730785280000001""","""8.47""","""-1.69""","""-3.18"""
"""9.797894144""","""7.81""","""-0.55""","""-1.84"""
"""9.890168832""","""6.59""","""-1.41""","""-0.12"""
"""9.965666304""","""12.32""","""-0.94""","""-2.82"""
"""10.041163776000001""","""13.77""","""-6.28""","""-7.18"""
"""10.125049856""","""9.69""","""1.02""","""-5.02"""
"""10.200547328""","""4.39""","""-2.16""","""-3.41"""
"""10.334765056""","""12.67""","""-1.53""","""-3.61"""
"""10.40187392""","""6.67""","""-3.18""","""-2.94"""
"""10.468982784000001""","""7.65""","""-2.75""","""-2.08"""
"""10.536091648000001""","""7.57""","""-2.35""","""-0.86"""
"""10.628366336000001""","""9.34""","""-2.00""","""-1.88"""
"""10.6954752""","""12.28""","""-3.30""","""-2.79"""
"""10.77936128""","""6.71""","""-4.94""","""-4.63"""
"""10.854858752""","""7.73""","""0.31""","""-4.90"""
"""10.94713344""","""10.00""","""-3.92""","""-3.49"""
"""11.031019520000001""","""7.65""","""-2.86""","""-3.53"""
"""11.156848640000002""","""8.04""","""-1.22""","""-2.43"""
"""11.215568896""","""6.79""","""-0.59""","""-1.14"""
"""11.291066368000001""","""10.63""","""-1.61""","""-4.82"""
"""11.349786624""","""13.53""","""-4.86""","""-5.69"""
"""11.416895488000002""","""3.41""","""4.39""","""-5.18"""
"""11.49239296""","""3.80""","""-3.33""","""-3.77"""
"""11.584667648""","""10.94""","""-0.31""","""-4.79"""
"""11.676942336000002""","""8.00""","""-1.73""","""-3.02"""
"""11.760828416""","""7.49""","""-3.30""","""-2.71"""
"""11.844714496""","""6.67""","""-2.71""","""-1.10"""
"""11.911823360000001""","""9.30""","""-2.67""","""-1.88"""
"""11.99570944""","""14.20""","""-3.33""","""-3.14"""
"""12.104761344""","""6.32""","""-4.79""","""-5.81"""
"""12.1634816""","""7.88""","""-0.04""","""-4.51"""
"""12.230590464""","""9.49""","""-5.49""","""-2.98"""
"""12.364808192""","""7.73""","""-2.67""","""-2.94"""
"""12.431917056000001""","""8.63""","""-0.82""","""-2.75"""
"""12.490637312""","""6.83""","""-1.14""","""-1.14"""
"""12.566134784""","""11.89""","""-2.63""","""-3.22"""
"""12.62485504""","""16.28""","""-3.22""","""-3.02"""
"""12.717129728000002""","""6.24""","""0.08""","""-4.86"""
"""13.220446208""","""6.94""","""-3.18""","""-3.65"""
"""13.748928512""","""13.81""","""-2.16""","""-4.04"""
"""13.748928512""","""8.87""","""-0.86""","""-2.94"""
"""13.757317120000002""","""7.06""","""-3.65""","""-1.49"""
"""13.765705728""","""7.41""","""-2.86""","""-0.7112.36"""
"""13.782482944000002""","""7.18""","""-0.78""","""-2.39"""
"""13.866369024""","""14.44""","""-1.06""","""0.16"""
"""13.916700672000001""","""13.53""","""-1.18""","""-4.47"""
"""14.034141184000001""","""2.94""","""-1.18""","""-4.67"""
"""14.101250048""","""9.69""","""-1.02""","""-4.63"""
"""14.227079168000001""","""10.79""","""-1.41""","""-4.12"""
"""14.294188032000001""","""8.36""","""-2.08""","""-2.71"""
"""14.344519680000001""","""6.71""","""-2.86""","""-1.14"""
"""14.42840576""","""8.20""","""-2.39""","""-1.37"""
"""14.495514624""","""14.55""","""-5.88""","""-1.96"""
"""14.579400704000001""","""14.63""","""-7.34""","""-4.82"""
"""14.663286784""","""3.10""","""0.31""","""-2.86"""
"""14.755561472""","""13.69""","""-6.55""","""-4.71"""
"""14.831058944""","""9.45""","""-3.14""","""-2.75"""
"""14.914945024000001""","""8.04""","""-0.98""","""-3.02"""
"""14.990442496000002""","""6.71""","""-0.59""","""-1.65"""
"""15.133048832""","""9.69""","""-0.86""","""-2.82"""
"""15.200157696000002""","""12.91""","""-2.00""","""-0.51"""
"""15.267266560000001""","""16.51""","""-3.45""","""-2.20"""
"""15.3092096""","""3.57""","""-2.55""","""-4.12"""
"""15.384707072000001""","""8.87""","""0.55""","""-4.71"""
"""15.485370368000002""","""9.30""","""-1.80""","""-3.30"""
"""15.56086784""","""7.61""","""-3.18""","""-2.98"""
"""15.644753920000001""","""6.32""","""-2.67""","""-0.86"""
"""15.720251392000002""","""8.94""","""-3.18""","""-2.43"""
"""15.804137472""","""13.22""","""-2.20""","""-2.67"""
"""15.929966592000001""","""10.67""","""-6.47""","""-4.90"""
"""15.997075456000001""","""4.98""","""1.84""","""-3.69"""
"""16.064184320000003""","""12.71""","""-6.71""","""-5.14"""
"""16.139681792""","""8.59""","""-2.67""","""-2.79"""
