"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""9.252634624""","""-20.01""","""5.30""","""-8.90"""
"""9.336520704""","""-9.30""","""0.78""","""-3.88"""
"""9.403629568000001""","""3.37""","""1.77""","""0.75"""
"""9.487515648""","""0.00""","""-1.41""","""-1.29"""
"""9.56301312""","""-8.94""","""-2.55""","""-8.39"""
"""9.638510592000001""","""-20.01""","""5.06""","""-11.14"""
"""9.722396672""","""-20.01""","""0.63""","""-9.34"""
"""9.823059968""","""-3.69""","""-0.31""","""-2.59"""
"""9.890168832""","""-0.75""","""1.26""","""-0.47"""
"""9.98244352""","""-1.53""","""1.26""","""-2.67"""
"""10.057940992""","""-18.67""","""2.28""","""-8.87"""
"""10.141827072""","""-18.83""","""4.39""","""-9.02"""
"""10.225713152""","""-15.42""","""0.08""","""-6.32"""
"""10.309599232""","""-0.35""","""2.28""","""-0.20"""
"""10.376708096""","""-0.90""","""1.29""","""-1.96"""
"""10.494148608000001""","""-2.63""","""-4.67""","""-2.82"""
"""10.552868864""","""-20.01""","""11.53""","""-11.18"""
"""10.619977728""","""-20.01""","""4.82""","""-7.96"""
"""10.703863808000001""","""-8.32""","""0.90""","""-2.86"""
"""10.796138496000001""","""-1.41""","""-1.33""","""1.22"""
"""10.871635968000001""","""0.35""","""1.65""","""-2.31"""
"""10.955522048""","""-8.55""","""0.82""","""-10.00"""
"""11.031019520000001""","""-20.01""","""5.45""","""-10.47"""
"""11.1149056""","""-16.87""","""-0.08""","""-7.18"""
"""11.207180288""","""0.82""","""2.55""","""-2.67"""
"""11.274289152000001""","""-1.14""","""-0.24""","""-0.04"""
"""11.349786624""","""0.51""","""-2.16""","""-4.63"""
"""11.425284096""","""-20.01""","""5.73""","""-16.44"""
"""11.509170176000001""","""-20.01""","""-2.79""","""-10.40"""
"""11.601444864000001""","""-9.06""","""0.75""","""-5.37"""
"""11.693719552000001""","""2.12""","""-2.00""","""1.02"""
"""11.777605632""","""-3.49""","""3.26""","""-2.67"""
"""11.853103104""","""-4.79""","""-1.33""","""-5.37"""
"""11.920211968""","""-20.01""","""4.20""","""-7.18"""
"""11.99570944""","""-20.01""","""3.61""","""-7.14"""
