Time [sec],ACC X,ACC Y,ACC Z
0.008,-0.47,-9.22,0.9
0.029,-0.63,-8.55,0.94
0.072,-0.27,-9.3,0.98
0.136,0.27,-9.26,-0.16
0.181,-0.04,-8.94,-0.2
0.236,0.16,-11.73,-0.82
0.281,0.12,-11.85,-2.43
0.344,0.2,-13.65,-1.77
0.4,1.57,-10.2,0.51
0.456,2.35,-14.4,1.84
0.482,1.69,-9.77,-1.26
0.595,1.65,-5.41,-0.31
0.612,-4.24,-11.77,1.41
0.644,-1.26,-14.71,-2.51
0.704,-0.78,-15.02,-5.18
0.748,-3.1,-12.63,0.75
0.817,-2.79,-7.81,-3.22
0.842,-2.98,-1.18,1.8
0.899,-9.57,-3.02,3.53
0.95,5.53,-14.16,2.86
1.011,-1.92,-10.24,3.3
1.058,-2.79,-12.94,-1.41
1.117,-0.24,-14.91,1.88
1.166,2.35,-10.71,-0.71
1.236,-1.69,-8.79,3.26
1.252,-0.43,-0.39,2.71
1.31,1.1,-1.29,-0.27
1.37,0.31,-8.75,2.98
1.424,-4,-16.51,4.2
1.474,4.86,-8.2,-1.02
1.504,-3.96,-15.18,-3.14
1.58,-2.08,-12.59,-3.57
1.612,-1.57,-6.79,-4.47
1.663,0.98,-3.41,0.39
1.714,-2.39,-1.14,-1.45
1.775,-8.59,-12.59,7.49
1.827,-1.92,-17.46,3.61
1.947,-0.9,-7.02,1.92
1.957,1.61,-14.04,0.35
1.971,2.35,-15.69,1.73
2.027,0.47,-6.28,-1.41
2.068,0.9,-4.08,6.12
2.131,2.79,0.35,3.37
2.176,-5.26,-16.28,-5.26
2.23,-1.73,-16.32,3.02
2.284,2.79,-12.04,-2.04
2.338,-2.35,-13.93,-4.08
2.395,-1.96,-8.98,-2.86
2.441,-2.59,-5.92,-4.12
2.525,-2.04,-5.02,0.31
2.537,-4.16,-3.14,11.92
2.585,-1.18,-12.36,1.41
2.632,-1.49,-12.24,2.63
2.695,-1.06,-12.4,-0.86
2.749,6.24,-4.98,3.73
2.794,3.8,-11.02,0.08
2.853,1.84,-10.2,0.08
2.904,0.16,-4.59,2.75
2.952,0.98,-0.24,7.22
2.981,-4.86,-13.96,0.2
3.055,0.43,-12.94,2.67
3.102,-3.3,-11.77,-2
3.172,-1.18,-13.14,-2.94
3.206,-4.04,-10.51,-6.98
3.256,-3.26,-4.86,-3.18
3.288,2,-2.75,1.26
3.344,-9.45,-5.45,2.55
4.139,0.12,-11.92,-1.37
4.632,-4.28,-13.14,1.96
4.66,-0.04,-8.94,-0.08
4.682,4.35,-10.63,-1.92
4.72,-0.51,-13.06,-1.61
4.793,-3.49,-12.04,-3.92
4.846,-2.16,-6.79,-3.49
4.874,0.55,-2.63,0.67
4.926,-8.16,-0.39,3.84
4.984,10.67,-14.28,2.79
5.037,-1.18,-10.75,2.63
5.094,-0.63,-15.3,-0.31
5.131,2.9,-15.57,1.1
5.176,5.14,-12.16,1.14
5.246,2.12,-5.88,3.22
5.282,-1.65,-1.92,1.8
5.349,-1.37,-0.04,8.47
5.402,-2.43,-16.75,3.96
5.433,3.22,-19.46,1.73
5.484,0.55,-11.3,-1.41
5.555,-3.61,-11.57,-3.14
5.585,-1.37,-6,-2.9
5.661,-0.59,-2.9,1.06
5.69,-7.06,-2.9,7.73
