ACC Z,ACC Y,ACC X,Time [sec]
1.92,-1.8,-1.22,14.303
1.92,-1.8,-1.22,14.376
1.92,-1.8,-1.22,14.464
1.92,-1.8,-1.22,14.544
1.92,-1.8,-1.22,14.623
1.92,-1.8,-1.22,14.703
1.92,-1.8,-1.22,14.782
1.92,-1.8,-1.22,14.87
-0.22,1.99,-1.84,14.944
0.08,0.67,-2.03,15.029
2.54,-1.52,-2,15.12
2.54,-1.52,-2,15.195
2.54,-1.52,-2,15.287
2.54,-1.52,-2,15.376
2.54,-1.52,-2,15.427
2.54,-1.52,-2,15.532
2.54,-1.52,-2,15.61
2.54,-1.52,-2,15.688
3.35,0.3,-0.59,15.765
3.97,-0.72,0.82,15.864
6.2,-5.81,2.05,15.933
6.2,-5.81,2.05,16.01
6.2,-5.81,2.05,16.091
6.2,-5.81,2.05,16.183
6.2,-5.81,2.05,16.268
6.2,-5.81,2.05,16.337
6.2,-5.81,2.05,16.415
6.2,-5.81,2.05,16.496
5.43,-7.01,2.22,16.572
9.44,-12.98,0.9,16.65
4.65,-12.98,-1.05,16.73
4.65,-12.98,-1.05,16.806
4.65,-12.98,-1.05,16.913
4.65,-12.98,-1.05,17
4.65,-12.98,-1.05,17.06
4.65,-12.98,-1.05,17.147
4.65,-12.98,-1.05,17.227
4.65,-12.98,-1.05,17.312
10.6,-20.01,-0.56,17.382
6.76,-20.01,-0.9,17.456
7.07,-10.9,-0.59,17.538
7.07,-10.9,-0.59,17.625
7.07,-10.9,-0.59,17.701
7.07,-10.9,-0.59,17.801
7.07,-10.9,-0.59,17.877
7.07,-10.9,-0.59,17.953
7.07,-10.9,-0.59,18.027
7.07,-10.9,-0.59,18.117
0.86,-10.9,-0.9,18.206
0.2,-3.48,0.82,18.281
0.78,-6.25,0.65,18.36
0.78,-6.25,0.65,18.442
0.78,-6.25,0.65,18.515
0.78,-6.25,0.65,18.594
0.78,-6.25,0.65,18.677
0.78,-6.25,0.65,18.767
0.78,-6.25,0.65,18.851
0.78,-6.25,0.65,18.918
0.84,1.87,-0.48,18.992
0.73,-1.05,-1.65,19.082
0.35,-7.37,-1.97,19.163
0.35,-7.37,-1.97,19.259
0.35,-7.37,-1.97,19.337
0.35,-7.37,-1.97,19.412
