"""TIME""","""ACCX""","""ACCY""","""ACCZ"""
"""0.0""","""6.83""","""-0.43""","""-7.02""","""752"""
"""0.01""","""6.39""","""-0.82""","""-6.32""","""753"""
"""0.02""","""6.35""","""1.10""","""-7.18""","""754"""
"""0.03""","""8.28""","""2.00""","""-8.20""","""755"""
"""0.04""","""2.98""","""0.16""","""-4.04""","""756"""
"""0.05""","""-0.20""","""-0.78""","""3.33""","""757"""
"""0.060000000000000005""","""-7.65""","""-11.73""","""-2.39""","""758"""
"""0.07""","""4.28""","""-9.26""","""-5.92""","""759"""
"""0.08""","""17.65""","""-4.59""","""-12.36""","""760"""
"""0.09""","""7.34""","""4.98""","""-3.49""","""761"""
"""0.09999999999999999""","""12.32""","""1.88""","""-6.04""","""762"""
"""0.10999999999999999""","""11.22""","""0.78""","""-14.79""","""763"""
"""0.11999999999999998""","""5.45""","""-0.04""","""-8.12""","""764"""
"""0.12999999999999998""","""2.04""","""2.04""","""0.75""","""765"""
"""0.13999999999999999""","""-1.22""","""2.59""","""2.86""","""766"""
"""0.15""","""-0.75""","""-10.47""","""-0.24""","""767"""
"""0.16""","""20.01""","""15.38""","""-12.63""","""768"""
"""0.17""","""14.59""","""1.77""","""-9.38""","""769"""
"""0.18000000000000002""","""14.98""","""-0.12""","""-12.24""","""770"""
"""0.19000000000000003""","""10.16""","""-2.55""","""-4.55""","""771"""
"""0.20000000000000004""","""2.43""","""-3.61""","""-1.96""","""772"""
"""0.21000000000000005""","""-6.75""","""-5.84""","""1.14""","""773"""
"""0.22000000000000006""","""14.04""","""-16.87""","""-2.63""","""774"""
"""0.23000000000000007""","""6.79""","""11.69""","""-6.20""","""775"""
"""0.24000000000000007""","""18.83""","""-5.65""","""-7.65""","""776"""
"""0.25000000000000006""","""8.51""","""-2.67""","""-14.95""","""777"""
"""0.26000000000000006""","""8.90""","""2.43""","""0.20""","""778"""
"""0.2700000000000001""","""1.29""","""2.24""","""-3.41""","""779"""
"""0.2800000000000001""","""-1.53""","""-0.71""","""1.84""","""780"""
"""0.2900000000000001""","""8.08""","""2.00""","""-8.16""","""781"""
"""0.3000000000000001""","""7.22""","""1.80""","""-4.67""","""782"""
"""0.3100000000000001""","""14.83""","""0.71""","""-8.39""","""783"""
"""0.3200000000000001""","""1.29""","""-3.80""","""-3.30""","""784"""
"""0.3300000000000001""","""4.39""","""-2.79""","""2.67""","""785"""
"""0.34000000000000014""","""2.35""","""-5.37""","""0.43""","""786"""
"""0.35000000000000014""","""7.37""","""-4.98""","""-4.31""","""787"""
"""0.36000000000000015""","""9.34""","""-4.63""","""-15.65""","""788"""
"""0.37000000000000016""","""8.12""","""-2.20""","""-1.22""","""789"""
"""0.38000000000000017""","""19.73""","""-3.77""","""-7.81""","""790"""
"""0.3900000000000002""","""8.51""","""1.65""","""1.61""","""791"""
"""0.4000000000000002""","""4.20""","""-2.08""","""2.16""","""792"""
"""0.4100000000000002""","""0.24""","""1.57""","""-3.88""","""793"""
"""0.4200000000000002""","""11.22""","""-5.88""","""-8.04""","""794"""
"""0.4300000000000002""","""10.28""","""-1.29""","""-1.61""","""795"""
"""0.4400000000000002""","""13.69""","""-0.27""","""-11.61""","""796"""
"""0.45000000000000023""","""14.79""","""-0.24""","""-7.37""","""797"""
"""0.46000000000000024""","""7.14""","""1.92""","""-8.20""","""798"""
"""0.47000000000000025""","""10.12""","""-0.43""","""-6.43""","""799"""
"""0.48000000000000026""","""2.04""","""-3.18""","""1.18""","""800"""
"""0.49000000000000027""","""5.49""","""-0.39""","""-0.16""","""801"""
"""0.5000000000000002""","""2.04""","""4.90""","""-5.10""","""802"""
"""0.5100000000000002""","""9.02""","""10.40""","""-17.38""","""803"""
"""0.5200000000000002""","""14.67""","""-11.10""","""-0.82""","""804"""
"""0.5300000000000002""","""3.10""","""2.04""","""-0.12""","""805"""
"""0.5400000000000003""","""20.01""","""-12.12""","""-8.47""","""806"""
"""0.5500000000000003""","""12.87""","""1.18""","""-8.98""","""807"""
"""0.5600000000000003""","""12.71""","""-4.31""","""-3.84""","""808"""
"""0.5700000000000003""","""13.38""","""-0.59""","""-13.81""","""809"""
"""0.5800000000000003""","""12.71""","""-5.88""","""-0.20""","""810"""
