""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""643397.0""","""12.71""","""3.18""","""-5.26"""
"""643498.0""","""4.39""","""-10.55""","""-7.14"""
"""643599.0""","""-3.3""","""2.31""","""1.1"""
"""643700.0""","""14.98""","""-20.01""","""20.01"""
"""643801.0""","""6.24""","""-8.9""","""3.33"""
"""643902.0""","""-4.75""","""1.53""","""3.92"""
"""644003.0""","""20.01""","""-20.01""","""20.01"""
"""644104.0""","""4.94""","""-17.5""","""20.01"""
"""644205.0""","""4.47""","""2.75""","""1.73"""
"""644306.0""","""-5.26""","""-12.08""","""-0.2"""
"""644407.0""","""2.75""","""0.43""","""11.89"""
"""644508.0""","""20.01""","""-7.18""","""-20.01"""
"""644609.0""","""-2.12""","""1.29""","""1.77"""
"""644710.0""","""-0.9""","""2.94""","""-6.12"""
"""644811.0""","""-17.26""","""-20.01""","""-20.01"""
"""644912.0""","""20.01""","""-7.34""","""3.06"""
"""645013.0""","""3.45""","""-8.04""","""0.47"""
"""645114.0""","""-5.3""","""0.35""","""2.59"""
"""645215.0""","""18.59""","""-18.83""","""-3.69"""
"""645316.0""","""15.61""","""-4.12""","""-16.67"""
"""645417.0""","""-8.24""","""-0.35""","""1.1"""
"""645518.0""","""3.37""","""-12.0""","""5.18"""
"""645619.0""","""20.01""","""20.01""","""10.16"""
"""645720.0""","""15.06""","""2.63""","""-2.9"""
"""645821.0""","""2.86""","""-12.75""","""-6.12"""
"""645922.0""","""-4.12""","""6.71""","""0.94"""
"""646023.0""","""11.65""","""-18.55""","""19.93"""
"""646124.0""","""6.59""","""-6.59""","""-1.37"""
"""6.462252E7""","""-6.16""","""7.73""","""2.04"""
"""646427.0""","""11.89""","""-7.85""","""6.35"""
"""646528.0""","""3.88""","""2.24""","""-1.96"""
"""646629.0""","""-5.1""","""4.28""","""5.02"""
"""646730.0""","""20.01""","""-20.01""","""-10.04"""
"""646831.0""","""20.01""","""-9.89""","""-20.01"""
"""646932.0""","""-5.77""","""-0.31""","""0.59"""
"""647033.0""","""1.22""","""-8.47""","""1.29"""
"""647134.0""","""11.34""","""20.01""","""12.91"""
"""647235.0""","""14.83""","""-1.37""","""-4.67"""
"""647336.0""","""-0.31""","""-11.26""","""-0.51"""
"""647437.0""","""-5.06""","""9.38""","""0.71"""
"""647538.0""","""3.22""","""-20.01""","""20.01"""
"""647639.0""","""5.22""","""-7.06""","""2.82"""
"""647740.0""","""-11.38""","""6.39""","""5.69"""
"""647841.0""","""20.01""","""-20.01""","""7.34"""
"""647942.0""","""11.38""","""-0.51""","""11.14"""
"""648043.0""","""4.71""","""-0.35""","""-1.77"""
"""648144.0""","""-7.65""","""-6.47""","""4.31"""
"""648245.0""","""1.57""","""-2.31""","""19.57"""
"""648346.0""","""20.01""","""-14.2""","""-20.01"""
"""648447.0""","""-8.83""","""-0.24""","""-1.84"""
"""648548.0""","""3.69""","""-9.22""","""0.08"""
"""648649.0""","""20.01""","""19.89""","""7.53"""
"""648750.0""","""12.59""","""4.2""","""-0.59"""
"""648851.0""","""-0.47""","""-10.94""","""-5.41"""
"""648952.0""","""-4.71""","""5.02""","""1.14"""
"""649053.0""","""12.16""","""1.65""","""19.18"""
"""649154.0""","""6.83""","""-6.71""","""-1.61"""
"""649255.0""","""-6.04""","""8.75""","""2.63"""
"""649356.0""","""20.01""","""-20.01""","""19.26"""
"""649457.0""","""11.69""","""-0.86""","""12.43"""
"""649558.0""","""3.88""","""-1.26""","""-1.37"""
"""649659.0""","""-6.94""","""-3.53""","""-3.84"""
"""649760.0""","""20.01""","""-20.01""","""-20.01"""
"""649861.0""","""17.1""","""-10.36""","""-12.12"""
"""649962.0""","""-11.85""","""0.39""","""3.8"""
"""650063.0""","""1.8""","""-10.08""","""-0.55"""
"""650164.0""","""16.32""","""-20.01""","""-20.01"""
"""650265.0""","""5.18""","""2.82""","""-2.16"""
"""650366.0""","""-3.33""","""-15.26""","""-8.43"""
"""650467.0""","""-1.45""","""2.16""","""4.9"""
"""650568.0""","""20.01""","""-5.69""","""-18.28"""
"""650669.0""","""-0.51""","""0.12""","""0.35"""
"""650770.0""","""-0.35""","""3.06""","""-0.86"""
"""650871.0""","""0.43""","""-20.01""","""-20.01"""
"""650972.0""","""20.01""","""-6.71""","""4.63"""
"""651073.0""","""-1.57""","""-7.77""","""3.33"""
"""651174.0""","""-4.55""","""10.12""","""6.86"""
"""651275.0""","""20.01""","""-20.01""","""-14.47"""
"""651376.0""","""9.14""","""-11.89""","""-6.79"""
"""651477.0""","""-17.22""","""6.43""","""11.02"""
"""651578.0""","""8.12""","""-5.65""","""-9.41"""
"""651679.0""","""20.01""","""-20.01""","""-20.01"""
"""651780.0""","""5.49""","""7.22""","""-1.69"""
"""651881.0""","""-2.24""","""-14.91""","""-7.37"""
"""651982.0""","""2.51""","""2.98""","""14.36"""
"""652083.0""","""20.01""","""-5.18""","""-20.01"""
"""652184.0""","""-1.22""","""-0.55""","""-1.73"""
"""652285.0""","""2.75""","""-1.96""","""-4.16"""
"""652386.0""","""13.42""","""18.99""","""4.59"""
"""652487.0""","""12.79""","""1.73""","""-5.06"""
"""652588.0""","""-2.55""","""-9.38""","""-0.08"""
"""652689.0""","""-0.71""","""6.28""","""1.53"""
"""652790.0""","""5.65""","""3.84""","""20.01"""
"""652891.0""","""8.2""","""-5.22""","""0.82"""
"""652992.0""","""-12.83""","""3.3""","""9.49"""
"""653093.0""","""20.01""","""2.35""","""-10.16"""
"""653194.0""","""20.01""","""-20.01""","""-20.01"""
"""653295.0""","""11.1""","""8.36""","""-4.82"""
"""653396.0""","""-8.28""","""-9.14""","""-8.24"""
"""653497.0""","""6.12""","""-2.86""","""-1.45"""
"""653598.0""","""7.06""","""7.85""","""10.59"""
"""653699.0""","""4.24""","""-3.06""","""0.67"""
"""653800.0""","""-8.04""","""8.98""","""6.75"""
"""653901.0""","""2.63""","""-5.96""","""-20.01"""
"""654002.0""","""-0.31""","""-12.91""","""14.24"""
"""654103.0""","""5.65""","""-0.75""","""0.08"""
"""654204.0""","""-4.75""","""-5.96""","""3.73"""
"""654305.0""","""20.01""","""-12.16""","""-2.43"""
"""654406.0""","""20.01""","""-20.01""","""-20.01"""
"""654507.0""","""1.22""","""2.75""","""0.51"""
"""654608.0""","""0.2""","""-6.67""","""1.18"""
"""654709.0""","""0.51""","""9.92""","""7.14"""
"""654810.0""","""12.75""","""-3.57""","""-1.84"""
"""654911.0""","""2.51""","""-12.94""","""6.04"""
"""655012.0""","""-8.55""","""-2.12""","""1.02"""
"""655113.0""","""-3.18""","""-0.47""","""20.01"""
"""655214.0""","""7.92""","""-7.85""","""5.18"""
"""655315.0""","""-8.0""","""2.43""","""5.45"""
"""655416.0""","""20.01""","""-19.22""","""-2.04"""
"""655517.0""","""18.32""","""-19.81""","""-7.06"""
"""655618.0""","""9.65""","""3.14""","""-3.88"""
"""655719.0""","""3.14""","""-8.08""","""-3.61"""
"""655820.0""","""-4.9""","""-7.49""","""8.16"""
"""655921.0""","""20.01""","""-5.53""","""-2.71"""
"""656022.0""","""4.12""","""-6.24""","""-0.86"""
"""656123.0""","""-6.63""","""8.59""","""1.84"""
"""656224.0""","""17.61""","""-20.01""","""-15.81"""
"""656325.0""","""20.01""","""-6.9""","""2.9"""
"""656426.0""","""3.77""","""-9.22""","""3.3"""
"""656527.0""","""-7.81""","""-0.16""","""4.55"""
"""656628.0""","""20.01""","""-20.01""","""-15.65"""
"""656729.0""","""14.75""","""-14.59""","""1.29"""
"""656830.0""","""-7.53""","""-4.16""","""1.22"""
"""656931.0""","""1.84""","""-13.69""","""-0.51"""
"""657032.0""","""20.01""","""-13.34""","""-12.94"""
"""657133.0""","""7.45""","""2.43""","""-5.33"""
"""657234.0""","""-0.94""","""-9.57""","""-2.47"""
"""657335.0""","""-4.08""","""-1.26""","""0.2"""
