Time [sec],N
0,10.33
0.101,10.74
0.202,10.55
0.303,10.43
0.404,10.64
0.505,10.56
0.606,10.55
0.707,10.56
0.808,10.21
0.909,8.91
1.01,10.19
1.111,10.03
1.212,10.12
1.313,12.03
1.414,9.87
1.515,9.82
1.616,10.51
1.717,9.97
1.818,10.1
1.919,10.85
2.02,11.55
2.122,10.17
2.222,11.85
2.323,8.92
2.424,9.39
2.525,10.36
2.627,11.92
2.727,15
2.828,12.27
2.929,9.46
3.03,9.07
3.132,9.57
3.232,15.23
3.333,15.81
3.434,10.75
3.535,7.94
3.637,9.07
3.737,8.46
3.838,13.4
3.939,13.1
4.04,7.94
4.141,8.92
4.242,7.65
4.343,9.44
4.444,11.24
4.545,15.31
4.647,8.89
4.747,9.72
4.848,8.43
4.949,7.97
5.05,11.6
5.152,15.54
5.252,7.49
5.353,7.88
5.454,8.85
5.555,9.8
5.657,12.93
5.757,16.76
5.858,9.48
5.959,7.55
6.06,9.11
6.162,8.77
6.262,12.55
6.363,15.85
6.464,7.64
6.565,8
6.667,8.48
6.767,9.61
6.868,13.35
6.969,16.68
7.07,8.4
7.172,10.16
7.272,7.58
7.373,8.33
7.474,12.67
7.575,14.53
7.677,8.85
7.777,8.08
7.878,9.22
7.979,10.13
8.08,13.12
8.181,17.51
8.282,14.45
8.383,5.97
8.484,8.59
8.585,9.98
8.686,12.66
8.787,15.46
8.888,15.56
8.989,8.15
9.09,7.9
9.191,10.33
9.292,11.52
9.393,8.79
9.494,12.21
9.595,9.18
9.696,7.85
9.797,10.61
9.898,12.95
9.999,9.26
10.1,8.64
10.201,9.27
10.302,8.66
10.403,12.51
10.504,14.79
10.605,6.05
10.706,8.32
10.807,9.78
10.908,7.26
11.009,11.97
11.11,15.04
11.211,8.29
11.312,7.68
11.413,9.09
11.514,10.79
11.615,14.02
11.716,17.13
11.817,11.93
11.918,7.27
12.019,8.58
12.12,8.67
12.221,13.32
12.322,16.31
12.423,13.79
12.524,8.45
12.625,8.77
12.726,10.2
12.827,11.54
12.928,11.34
13.029,14.57
13.13,9.27
13.231,7.22
13.332,12
13.433,13.15
13.534,7.79
13.635,11.61
13.736,8.44
13.837,8.79
13.938,11.12
14.039,15.38
14.14,9.18
14.241,9.03
14.342,9.22
14.443,8.56
14.544,12.23
14.645,14.67
14.746,8.8
14.847,7.65
14.948,8.81
15.049,9.77
15.15,13.77
15.251,15.84
15.352,8.74
15.453,8.67
15.554,8.79
15.655,8.32
15.756,11.52
15.857,14.4
15.958,7.35
16.059,7.71
16.16,8.93
16.261,10.06
16.362,11.71
16.463,11.35
16.564,8.58
16.665,11.32
16.766,10
16.867,9.34
16.968,9.03
17.069,11.59
17.17,14.82
17.271,13.28
17.372,9.15
17.473,10.16
17.574,10.21
17.675,10.28
17.776,9.55
17.877,17.46
17.978,9.62
18.079,10.8
18.18,10.86
18.281,10.11
18.382,10.62
18.483,11.96
18.584,8.28
18.685,9.53
18.786,10.08
18.887,10.32
18.988,10.46
19.089,10.78
19.19,10.47
19.291,10.59
19.392,10.3
19.493,10.26
19.594,10.12
19.695,10.79
19.796,9.59
19.897,12.38
19.998,11.67
20.099,9.26
20.2,10.08
20.301,10.66
20.402,8.84
20.503,10.7
20.604,11.19
20.705,13.77
20.806,9.79
20.907,10.18
21.008,9.32
21.109,9.42
21.21,10.25
21.311,10.68
21.412,14.95
21.513,9.79
21.614,10.92
21.715,8.57
21.816,9.49
21.917,9.9
22.018,11.26
22.119,16.41
22.22,8.77
22.321,8.98
22.422,7.66
22.523,9.46
22.624,11.21
22.725,10.28
22.826,14.72
22.927,12.83
23.028,10.34
23.129,9.44
23.23,8.58
23.331,11.43
23.432,9.55
23.533,9.34
23.634,10.84
23.735,8.32
23.836,10.16
23.937,10.59
24.038,10.45
24.139,17.13
24.24,13.62
24.341,8.73
24.442,9.07
24.543,8.95
24.644,11.62
24.745,11.34
24.846,8.31
24.947,11.03
25.048,9.13
25.149,8.98
25.25,9.46
25.351,11.98
25.452,17.04
25.553,11.21
25.654,8.43
25.755,8.54
25.856,9
25.958,11.04
26.059,11.55
26.16,9.36
26.261,12.46
26.362,8.67
26.463,9.54
26.564,9.41
26.665,12.4
26.766,15.4
26.867,12.71
26.968,8.62
27.069,9.26
27.17,8.98
27.271,11.5
27.372,13.23
27.473,9.48
27.574,9.87
27.675,8.03
27.776,8.09
27.877,10.61
27.978,11.09
28.079,17.67
28.18,15.36
28.281,7.76
28.382,8.2
28.483,9.22
28.584,11.43
28.685,12.72
28.786,7.45
28.887,10.67
28.988,9.03
29.089,8.49
29.19,10.68
29.291,9.75
29.392,9.04
29.493,12.93
29.594,10.3
29.695,8.84
29.796,8.98
29.897,12.89
29.998,16.51
30.099,10.88
30.2,8.15
30.301,9.9
30.402,10.05
30.503,12.06
30.604,12.18
30.705,7.97
30.806,10.23
30.907,9.6
31.008,9.11
31.109,8.66
31.21,12.59
31.311,16.68
31.412,12.99
31.513,9.54
31.614,9.19
31.715,8.76
31.816,11.48
31.917,11.05
32.018,8.3
32.119,11.9
32.22,9.61
32.321,8.62
32.422,9.24
32.523,11.95
32.624,18.58
32.725,12.74
32.826,9.47
32.927,9.95
33.028,8.88
33.129,11.22
33.23,13.04
33.331,7.14
33.432,9.82
33.533,9.52
33.634,10.37
33.735,9.32
33.836,11.88
33.937,17.23
34.038,13.21
34.139,7.99
34.24,9.81
34.341,8.81
34.442,12.25
34.543,11.78
34.644,6.17
34.745,9.78
34.846,9.19
34.947,8.6
35.048,8.15
35.149,13.08
35.25,16.34
35.351,10.23
35.452,10.13
35.553,9.17
35.654,8.56
35.755,11.47
35.856,10.23
35.957,11.47
36.058,13.29
36.159,9.32
36.26,9.22
36.361,8.14
36.462,11.36
36.563,11.65
36.664,8.6
36.765,10.56
36.866,8.81
36.967,9.92
37.068,9.76
37.169,12.25
37.27,14.48
37.371,7.28
37.472,9.85
37.573,9.41
37.674,9.69
37.775,9.23
37.876,11.67
37.977,18.72
38.078,10.71
38.179,10.29
38.28,10.05
38.381,9.36
38.482,10.24
38.583,10.3
38.684,13.64
38.785,10.05
38.886,12.13
38.987,9.55
39.088,10.2
