""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""220312.0""","""10.12""","""-6.08""","""-2.63"""
"""220413.0""","""4.04""","""-0.12""","""0.27"""
"""220514.0""","""20.01""","""-9.1""","""0.63"""
"""220615.0""","""10.04""","""-8.24""","""0.55"""
"""220716.0""","""-4.79""","""8.39""","""4.63"""
"""220817.0""","""17.34""","""-0.31""","""4.0"""
"""220918.0""","""11.1""","""-2.9""","""5.96"""
"""221019.0""","""10.2""","""-1.96""","""-5.37"""
"""221120.0""","""-1.65""","""4.94""","""-0.24"""
"""221221.0""","""20.01""","""-7.53""","""-4.59"""
"""221322.0""","""13.02""","""-12.0""","""5.18"""
"""221423.0""","""-6.24""","""0.31""","""-2.51"""
"""221524.0""","""3.73""","""-4.94""","""2.59"""
"""221625.0""","""10.4""","""-9.85""","""4.47"""
"""221726.0""","""14.4""","""2.35""","""-8.28"""
"""221827.0""","""2.28""","""-2.35""","""4.43"""
"""221928.0""","""14.12""","""-1.92""","""3.18"""
"""222029.0""","""5.18""","""-2.47""","""1.8"""
"""222130.0""","""-4.43""","""1.22""","""-1.06"""
"""222231.0""","""-1.29""","""-13.57""","""2.75"""
"""222332.0""","""14.2""","""-12.94""","""0.98"""
"""222433.0""","""4.39""","""7.88""","""-1.96"""
"""222534.0""","""20.01""","""-19.85""","""-0.39"""
"""222635.0""","""8.16""","""-11.92""","""4.47"""
"""222736.0""","""-3.49""","""9.02""","""-8.16"""
"""222837.0""","""20.01""","""1.65""","""9.77"""
"""222938.0""","""9.26""","""-2.59""","""5.69"""
"""223039.0""","""9.69""","""3.45""","""-5.53"""
"""223140.0""","""10.36""","""-1.88""","""-3.41"""
"""223241.0""","""13.26""","""-5.49""","""-2.79"""
"""223342.0""","""3.57""","""-2.79""","""3.37"""
"""223443.0""","""1.33""","""1.88""","""2.59"""
"""223544.0""","""2.35""","""-6.0""","""7.41"""
"""223645.0""","""4.0""","""-12.63""","""-0.63"""
"""223746.0""","""1.57""","""4.79""","""-2.43"""
"""223847.0""","""20.01""","""-8.24""","""-0.75"""
"""223948.0""","""7.06""","""-14.79""","""2.12"""
"""224049.0""","""2.71""","""4.94""","""-3.37"""
"""224150.0""","""20.01""","""-0.94""","""-20.01"""
"""224251.0""","""3.8""","""-1.69""","""4.39"""
"""224352.0""","""6.59""","""-14.32""","""-0.63"""
"""224453.0""","""-0.67""","""2.67""","""0.35"""
"""224554.0""","""20.01""","""-5.22""","""-1.69"""
"""224655.0""","""19.85""","""-12.08""","""5.81"""
"""224756.0""","""-7.81""","""6.35""","""-0.24"""
"""224857.0""","""20.01""","""-8.2""","""1.45"""
"""224958.0""","""5.53""","""-7.1""","""6.71"""
"""225059.0""","""14.12""","""2.31""","""-8.0"""
"""225160.0""","""1.73""","""6.32""","""-2.55"""
"""225261.0""","""20.01""","""-1.53""","""-6.04"""
"""225362.0""","""7.61""","""-5.18""","""3.3"""
"""225463.0""","""-5.06""","""3.33""","""-1.45"""
"""225564.0""","""11.81""","""-6.67""","""0.43"""
"""225665.0""","""11.3""","""-10.36""","""5.96"""
"""225766.0""","""14.04""","""5.1""","""-6.86"""
"""225867.0""","""2.82""","""3.18""","""-1.14"""
"""225968.0""","""20.01""","""-7.3""","""-4.12"""
"""226069.0""","""7.73""","""-3.53""","""2.55"""
"""226170.0""","""-0.59""","""4.08""","""-1.06"""
"""226271.0""","""6.47""","""-14.87""","""5.02"""
"""226372.0""","""12.08""","""-20.01""","""0.63"""
"""226473.0""","""7.45""","""7.53""","""-4.28"""
"""226574.0""","""19.85""","""-4.59""","""-7.65"""
"""226675.0""","""10.98""","""-6.67""","""2.59"""
"""226776.0""","""-5.37""","""2.04""","""-1.06"""
"""226877.0""","""15.34""","""10.59""","""-4.75"""
"""226978.0""","""1.73""","""-8.43""","""7.3"""
"""227079.0""","""11.57""","""-11.57""","""-1.22"""
"""227180.0""","""-0.24""","""2.55""","""-3.65"""
"""227281.0""","""20.01""","""-8.51""","""-6.0"""
"""227382.0""","""10.67""","""-15.77""","""3.33"""
"""227483.0""","""-4.2""","""7.96""","""-2.59"""
"""227584.0""","""20.01""","""-0.71""","""20.01"""
"""227685.0""","""10.04""","""1.41""","""4.08"""
"""227786.0""","""8.9""","""-9.85""","""-0.55"""
"""227887.0""","""1.53""","""2.28""","""-4.75"""
"""227988.0""","""20.01""","""-4.2""","""-4.35"""
"""228089.0""","""8.16""","""-11.92""","""5.61"""
"""228190.0""","""-5.96""","""5.26""","""-6.28"""
"""228291.0""","""-1.53""","""-20.01""","""2.39"""
"""228392.0""","""15.26""","""-12.47""","""3.96"""
"""228493.0""","""6.24""","""4.86""","""-5.96"""
"""228594.0""","""7.65""","""1.96""","""-3.96"""
"""228695.0""","""11.26""","""-7.88""","""-0.24"""
"""228796.0""","""8.67""","""-1.29""","""1.96"""
"""228897.0""","""-3.18""","""6.16""","""-4.04"""
"""228998.0""","""-0.98""","""-10.51""","""3.77"""
"""229099.0""","""9.65""","""-19.97""","""2.39"""
"""229200.0""","""6.55""","""5.92""","""-1.1"""
"""229301.0""","""11.77""","""-0.78""","""-0.16"""
"""229402.0""","""17.26""","""-4.35""","""3.02"""
"""229503.0""","""0.31""","""-2.82""","""-0.24"""
"""229604.0""","""8.79""","""10.75""","""-15.46"""
"""229705.0""","""1.92""","""-2.9""","""5.73"""
"""229806.0""","""13.85""","""-18.24""","""-1.65"""
"""229907.0""","""2.16""","""5.41""","""-3.18"""
"""230008.0""","""18.99""","""-19.14""","""-0.12"""
"""230109.0""","""16.71""","""-3.26""","""4.04"""
"""230210.0""","""-2.71""","""7.06""","""-0.67"""
"""230311.0""","""9.85""","""-1.29""","""13.06"""
"""230412.0""","""8.79""","""2.16""","""1.61"""
"""230513.0""","""1.53""","""-13.02""","""-1.29"""
"""230614.0""","""2.63""","""3.49""","""-0.94"""
"""230715.0""","""20.01""","""-14.59""","""-12.59"""
"""230816.0""","""18.95""","""-18.63""","""5.06"""
"""230917.0""","""-4.16""","""3.22""","""0.9"""
"""231018.0""","""20.01""","""-1.45""","""-0.47"""
"""231119.0""","""4.04""","""1.53""","""6.35"""
"""231220.0""","""6.94""","""-14.75""","""-0.2"""
"""231321.0""","""-0.94""","""4.08""","""1.45"""
"""231422.0""","""20.01""","""-20.01""","""-1.69"""
"""231523.0""","""15.69""","""-10.94""","""5.37"""
"""231624.0""","""-9.96""","""5.06""","""-0.82"""
"""231725.0""","""20.01""","""-10.87""","""-13.34"""
"""231826.0""","""5.37""","""-5.53""","""4.2"""
"""231927.0""","""5.88""","""-6.39""","""-1.41"""
"""232028.0""","""1.73""","""2.94""","""1.77"""
"""232129.0""","""20.01""","""-20.01""","""-4.86"""
"""232230.0""","""16.63""","""-7.57""","""5.22"""
"""232331.0""","""-6.83""","""9.65""","""-1.57"""
"""232432.0""","""20.01""","""-4.04""","""-1.69"""
"""232533.0""","""4.35""","""0.47""","""3.96"""
"""232634.0""","""3.1""","""-3.37""","""-3.77"""
"""232735.0""","""-0.04""","""-1.53""","""0.9"""
"""232836.0""","""20.01""","""2.67""","""2.82"""
"""232937.0""","""17.69""","""-13.18""","""2.31"""
"""233038.0""","""-16.2""","""7.57""","""0.31"""
"""233139.0""","""-5.3""","""-20.01""","""-20.01"""
"""233240.0""","""9.41""","""-4.67""","""3.37"""
"""233341.0""","""9.85""","""3.92""","""-5.22"""
"""233442.0""","""4.16""","""-0.04""","""-9.65"""
"""233543.0""","""8.83""","""-2.82""","""1.53"""
"""233644.0""","""6.75""","""-5.3""","""0.51"""
"""233745.0""","""-12.47""","""7.1""","""-0.75"""
"""233846.0""","""5.41""","""-0.08""","""-2.82"""
"""233947.0""","""20.01""","""-15.73""","""1.41"""
"""234048.0""","""6.08""","""5.69""","""-3.8"""
"""234149.0""","""3.02""","""-10.63""","""-2.63"""
"""234250.0""","""6.67""","""-0.43""","""1.49"""
"""234351.0""","""-4.82""","""-0.86""","""-1.53"""
"""234452.0""","""5.37""","""2.47""","""-1.14"""
"""234553.0""","""4.12""","""-17.69""","""2.94"""
"""234654.0""","""16.0""","""-14.67""","""1.29"""
"""234755.0""","""4.04""","""7.02""","""-4.94"""
"""234856.0""","""9.1""","""-10.75""","""1.22"""
"""234957.0""","""4.82""","""-15.1""","""3.41"""
"""235058.0""","""5.33""","""0.75""","""-3.06"""
"""235159.0""","""9.81""","""7.1""","""-20.01"""
"""235260.0""","""8.71""","""-1.69""","""0.63"""
"""235361.0""","""8.75""","""-11.69""","""1.8"""
"""235462.0""","""4.43""","""4.24""","""-3.61"""
"""235563.0""","""15.34""","""-9.41""","""-4.35"""
"""235664.0""","""10.2""","""-12.16""","""3.88"""
"""235765.0""","""1.1""","""3.37""","""-4.63"""
"""235866.0""","""3.92""","""10.94""","""2.47"""
"""235967.0""","""2.63""","""-1.37""","""4.71"""
"""236068.0""","""8.71""","""-13.69""","""1.18"""
"""236169.0""","""3.49""","""4.82""","""-3.1"""
"""236270.0""","""2.0""","""-12.63""","""1.37"""
"""236371.0""","""9.06""","""-5.53""","""4.2"""
"""236472.0""","""6.86""","""-4.75""","""0.24"""
"""236573.0""","""0.9""","""11.41""","""-9.81"""
"""236674.0""","""1.96""","""-7.73""","""4.24"""
"""236775.0""","""14.75""","""-16.4""","""0.82"""
"""236876.0""","""8.83""","""3.61""","""-3.45"""
